dataset	tissue	n	n_high	n_low	n_q4	n_q1
GSE123902	METASTASIS	5	2	3	0	2
GSE123902	PRIMARY	8	4	4	3	2
GSE131907	mBrain	10	5	5	3	3
GSE131907	mLN	7	4	3	1	2
GSE131907	tL/B	4	1	3	1	1
GSE189357	TUMOR	9	4	5	2	3
GSE205335	Bronchus	1	1	0	0	0
GSE205335	Bronchus,LN	1	0	1	0	1
GSE205335	Effusion,Lung	1	1	0	0	0
GSE205335	LN	13	6	7	4	4
GSE205335	Liver	1	1	0	1	0
GSE205335	Liver,LN	3	2	1	1	0
GSE205335	Lung	2	0	2	0	1
