set	set_class	symbol	in_rank	logFC	logCPM	FDR	ifn_overlap	expressed_logCPM_ge_0
HALLMARK_DNA_REPAIR	repair	Aaas	yes	-0.024349861	3.432527627	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ada	yes	0.232884795	1.286253893	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Adcy6	yes	-0.044906961	6.937130511	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Adrm1	yes	0.262380271	5.763962807	0.483253063	no	yes
HALLMARK_DNA_REPAIR	repair	Ago4	yes	0.00185496	5.538803952	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ak1	yes	-0.115188938	4.908841466	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ak3	yes	-0.059878096	7.554638988	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Alyref	yes	0.2166415	4.268551892	0.889516755	no	yes
HALLMARK_DNA_REPAIR	repair	Aprt	yes	0.016746503	4.691914256	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Arl6ip1	yes	0.064469764	7.470040547	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Bcam	yes	0.412092259	9.13746969	0.158664733	no	yes
HALLMARK_DNA_REPAIR	repair	Bcap31	yes	0.072590183	6.902757911	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Brf2	yes	0.428131072	3.218720736	0.546004831	no	yes
HALLMARK_DNA_REPAIR	repair	Cant1	yes	0.193139247	6.450302328	0.783580404	no	yes
HALLMARK_DNA_REPAIR	repair	Ccno	yes	-0.128801771	2.078449008	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Cda	yes	-1.669851398	0.321019312	0.130390507	no	yes
HALLMARK_DNA_REPAIR	repair	Cetn2	yes	-0.207426991	5.366453961	0.749684047	no	yes
HALLMARK_DNA_REPAIR	repair	Clp1	yes	0.054401117	4.135716209	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Cmpk2	yes	0.209050053	4.348662067	0.903648486	yes	yes
HALLMARK_DNA_REPAIR	repair	Cox17	yes	0.127206782	4.69357348	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Cstf3	yes	-0.194485329	4.563512939	0.896414272	no	yes
HALLMARK_DNA_REPAIR	repair	Dad1	yes	0.107056943	6.300478533	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Dctn4	yes	0.080719506	6.676894738	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ddb1	yes	0.017240794	8.403928667	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ddb2	yes	-0.290923803	4.79443516	0.519826358	no	yes
HALLMARK_DNA_REPAIR	repair	Dgcr8	yes	-0.070556704	5.460083349	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Dguok	yes	-0.07480008	4.384029109	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Dut	yes	0.2705188	3.622188846	0.861008345	no	yes
HALLMARK_DNA_REPAIR	repair	Edf1	yes	0.13035453	5.534181407	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Eif1b	yes	0.121263787	5.416541923	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ell	yes	-0.05529568	5.227909907	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ercc1	yes	0.216072009	3.739273524	0.968701732	no	yes
HALLMARK_DNA_REPAIR	repair	Ercc2	yes	0.297817659	4.745685512	0.500672648	no	yes
HALLMARK_DNA_REPAIR	repair	Ercc3	yes	-0.076344763	5.222173538	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ercc4	yes	-0.078812332	4.778888726	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ercc5	yes	-0.114097081	5.183730459	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ercc8	yes	0.336377154	2.983984324	0.818586596	no	yes
HALLMARK_DNA_REPAIR	repair	Fen1	yes	0.315187267	3.931516904	0.67130573	no	yes
HALLMARK_DNA_REPAIR	repair	Gmpr2	yes	0.099982952	4.548921714	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Gpx4	yes	-0.033363189	6.758424624	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Gtf2a2	yes	-0.176455298	4.530472677	0.962066368	no	yes
HALLMARK_DNA_REPAIR	repair	Gtf2b	yes	0.109763566	5.146659587	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Gtf2f1	yes	0.0	5.181367321	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Gtf2h1	yes	-0.002248064	5.262975174	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Gtf2h3	yes	0.132416503	3.572558079	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Gtf2h5	yes	0.110363623	4.778888726	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Gtf3c5	yes	0.032537813	4.869749495	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Guk1	yes	0.218418834	5.363330116	0.732761229	no	yes
HALLMARK_DNA_REPAIR	repair	Hcls1	yes	-0.059094748	4.941326428	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Hprt	yes	-0.095572104	5.684424042	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Impdh2	yes	0.034087706	4.666794148	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Itpa	yes	0.382445447	3.829568697	0.546666415	no	yes
HALLMARK_DNA_REPAIR	repair	Lig1	yes	0.453501688	4.088573226	0.266974487	no	yes
HALLMARK_DNA_REPAIR	repair	Mpc2	yes	0.065060075	4.803683236	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Mpg	yes	-0.181072834	4.031989697	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Mrpl40	yes	0.051405099	4.216414268	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Ncbp2	yes	0.174242079	5.541570386	0.869659486	no	yes
HALLMARK_DNA_REPAIR	repair	Nelfb	yes	0.058270153	6.516479405	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Nelfcd	yes	0.067208008	5.006852697	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Nelfe	yes	-0.087652682	4.377850534	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Nfx1	yes	-0.19991015	6.117908723	0.726998126	no	yes
HALLMARK_DNA_REPAIR	repair	Nme1	yes	0.371739308	4.620445408	0.336400648	no	yes
HALLMARK_DNA_REPAIR	repair	Nme3	yes	0.294202424	3.611696472	0.809701891	no	yes
HALLMARK_DNA_REPAIR	repair	Nme4	yes	-0.048498518	0.994791079	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Npr2	yes	-0.066393879	7.073360132	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Nt5c	yes	0.195983077	4.552583379	0.888817422	no	yes
HALLMARK_DNA_REPAIR	repair	Nt5c3	yes	-0.029041571	4.386082768	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Nudt21	yes	0.304854582	1.96212489	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Nudt9	yes	0.088188649	5.099878686	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Pcna	yes	0.126669718	4.973096008	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Pde4b	yes	0.546643568	7.275769546	0.081218925	yes	yes
HALLMARK_DNA_REPAIR	repair	Pde6g	yes	0.847996907	-1.611866493	1.0	no	no
HALLMARK_DNA_REPAIR	repair	Pnp	yes	0.278343241	5.897368682	0.414146776	yes	yes
HALLMARK_DNA_REPAIR	repair	Pola1	yes	0.255155112	3.666794148	0.861008345	no	yes
HALLMARK_DNA_REPAIR	repair	Pola2	yes	0.060488652	4.108610979	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polb	yes	0.307361982	3.479448674	0.753816293	no	yes
HALLMARK_DNA_REPAIR	repair	Pold1	yes	0.231570351	3.841591225	0.951938302	no	yes
HALLMARK_DNA_REPAIR	repair	Pold3	yes	0.103866973	4.905981812	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Pold4	yes	-0.067065439	4.371645385	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Pole4	yes	-0.032406305	5.000164251	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polh	yes	0.754999517	3.286253893	0.040578312	no	yes
HALLMARK_DNA_REPAIR	repair	Poll	yes	-0.092431287	3.384029109	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polr1c	yes	0.061359735	4.498557497	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polr1d	yes	0.023346807	5.345499416	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2a	yes	0.103087663	8.041141396	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2c	yes	0.180045742	5.170685038	0.90649188	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2d	yes	0.234811681	4.093608815	0.864466962	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2e	yes	-0.112953562	5.719050386	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2f	yes	0.450833046	4.190796734	0.232268842	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2g	yes	0.311183937	4.352868178	0.672857877	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2h	yes	0.229720657	3.14302101	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2i	yes	0.341036918	2.594037806	0.852606695	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2j	yes	0.167654197	4.261857239	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polr2k	yes	0.639824436	1.420554985	0.617767138	no	yes
HALLMARK_DNA_REPAIR	repair	Polr3c	yes	-0.144880188	4.469798504	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Polr3gl	yes	-0.091349643	4.875608163	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Pom121	yes	0.122037288	6.02145903	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Prim1	yes	0.11783649	2.412517666	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Rad51	yes	0.814857253	1.601127231	0.406765223	no	yes
HALLMARK_DNA_REPAIR	repair	Rad52	yes	-0.05466887	3.487122602	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Rae1	yes	0.148585865	4.775759235	1.0	no	yes
HALLMARK_DNA_REPAIR	repair	Rala	yes	-0.007240643	6.378366427	1.0	no	yes
