set	set_class	bridge_eligible	n_in_rank	n_expressed	n_ifn_overlap_expressed	n_decontaminated_expressed	mean_logFC	median_logFC	n_up	n_down	mean_perm_p	decontam_mean_logFC	decontam_median_logFC	decontam_n_up	decontam_n_down	decontam_mean_perm_p	nes	nes_nom_p	es	n_gsea	lead_genes	decontam_nes	decontam_nes_nom_p	decontam_lead_genes	loo_min_mean	loo_worst_gene	loo_sign_flip	nes_fdr_in_sweep	decontam_nes_fdr_bridge_family	bridge_score
HALLMARK_APOPTOSIS	damage_signal	yes	160	151	17	134	0.05369452560927152	0.056940272	88	61	0.41871625674865026	0.04045993579104478	0.042198735	74	58	0.5552889422115577	0.7671238525409867	0.4775224775224775	0.2615911245532356	160	Ccna1,Fasl,Prf1,Pmaip1,Top2a,Cdkn1a,Dnaja1,Brca1,Hspb1,Ccnd1,Plat,Gna15,Cd14,Mmp2,Timp1	0.7542903677208018	0.4805194805194805	Ccna1,Fasl,Prf1,Pmaip1,Top2a,Dnaja1,Brca1,Hspb1,Ccnd1,Plat,Gna15,Cd14,Mmp2,Timp1,Eno2	0.026807269721804507	Fasl	no	0.5151182151182151	0.5154845154845155	0.7542903677208018
HALLMARK_P53_PATHWAY	damage_signal	yes	191	184	12	172	0.018150662233695655	0.0446446815	105	78	0.7596480703859229	0.011842421488372097	0.04300427	97	74	0.8478304339132173	0.7273854138734274	0.4885114885114885	0.24263876811707824	191	Nhlh2,Sfn,Fgf13,Cdkn1a,Tnni1,Polh,Upp1,Gls2,Phlda3,Aen,Foxo3,Steap3,Tcn2,Rhbdf2,Ier5	0.7066203896052756	0.4875124875124875	Nhlh2,Sfn,Fgf13,Tnni1,Polh,Gls2,Phlda3,Aen,Foxo3,Steap3,Tcn2,Rhbdf2,Ier5,Zmat3,Bmp2	0.004576208684210532	Sfn	no	0.5151182151182151	0.5154845154845155	0.7066203896052756
HALLMARK_UV_RESPONSE_DN	damage_signal	yes	138	135	2	133	-0.06434203314074073	-0.047411721	58	76	0.3509298140371926	-0.06512453639849623	-0.047411721	57	75	0.3535292941411718	-0.9704467916475186	0.2807192807192807	-0.33918491883284496	138	Prkar2b,Bhlhe40,Pten,Dab2,Wdr37,Pik3cd,Ythdc1,Nfib,Fzd2,Notch2,Irs1,Mmp16,Abcc1,Mios,Map1b	-0.9748969480152986	0.2757242757242757	Prkar2b,Bhlhe40,Pten,Dab2,Wdr37,Pik3cd,Ythdc1,Nfib,Fzd2,Notch2,Irs1,Mmp16,Abcc1,Mios,Map1b	-0.0698754651590909	Kcnma1	no	0.5118998648410413	0.5154845154845155	-0.9748969480152986
HALLMARK_UV_RESPONSE_UP	damage_signal	yes	154	139	9	130	0.0017854440000000058	0.046408897	74	65	0.981003799240152	-0.004490965407692302	0.0111522355	68	62	0.9474105178964207	0.7162293695210094	0.4865134865134865	0.2450479099079093	154	Gal,Lhx2,Chrna5,Cxcl1,Fkbp4,Dnajb1,Ccne1,Dnaja1,Stip1,Nptxr,Hyal2,Rfc4,H2afx,Eno2,Msx1	0.7251716001693723	0.4825174825174825	Gal,Lhx2,Chrna5,Cxcl1,Fkbp4,Dnajb1,Ccne1,Dnaja1,Stip1,Nptxr,Hyal2,Rfc4,H2afx,Eno2,Msx1	-0.01717544858139534	Nr4a1	yes	0.5151182151182151	0.5154845154845155	0.7251716001693723
KEGG_Apoptosis	damage_signal	yes	138	128	8	120	0.0665773122578125	0.025422964	72	55	0.3535292941411718	0.06267786045833335	0.019147926	65	54	0.39832033593281346	1.0021050360020964	0.2177822177822178	0.35018661672364043	138	Cyct,Gzmb,Fasl,Prf1,Bcl2a1c,Spta1,Pmaip1,Birc5,Bbc3,Tnfrsf10b,Lmnb2,Capn1,Bak1,Lmnb1,Ctsw	0.9864231246785456	0.24575424575424576	Cyct,Gzmb,Fasl,Prf1,Bcl2a1c,Spta1,Pmaip1,Birc5,Bbc3,Tnfrsf10b	0.04571431620168067	Gzmb	no	0.421953046953047	0.5154845154845155	0.9864231246785456
KEGG_p53_signaling_pathway	damage_signal	yes	68	66	4	62	0.17413287230303032	0.086869293	40	25	0.08438312337532493	0.16565148409677416	0.07931550600000001	36	25	0.10677864427114576	1.3588649489960052	0.01998001998001998	0.5230120933163119	68	Cyct,Ccnb1,Sfn,Cdk1,Rrm2,Pmaip1,Cdkn1a,Ccne1,Bbc3,Chek1,Ccnd1,Rprm,Ccnb2,Gtse1,Steap3	1.33198438202701	0.03196803196803197	Cyct,Ccnb1,Sfn,Cdk1,Rrm2,Pmaip1,Ccne1,Bbc3,Chek1,Ccnd1,Rprm,Ccnb2,Gtse1,Steap3,Cdk6	0.1476083926065574	Ccnb1	no	0.051615051615051616	0.5154845154845155	1.33198438202701
custom_damage_arrest_transcripts	damage_signal	yes	15	15	2	13	-0.02188566300000001	-0.07592803	6	8	0.9010197960407919	-0.10208053730769232	-0.178505347	4	8	0.6126774645070986	0.619971013645008	0.46653346653346656	0.3150358222528482	15	Cdkn1a,Bbc3	-0.8376048465813147	0.35764235764235763	Polk,Gadd45b,Ccng1,Mdm2,Sesn1,Ddb2,Mgmt	-0.17567162974999997	Mgmt	no	0.5151182151182151	0.5154845154845155	-0.8376048465813147
HALLMARK_IL6_JAK_STAT3_SIGNALING	output	no	85	75	19	75	0.12337979210666669	0.096309807	49	25	0.1875624875024995	0.12337979210666669	0.096309807	49	25	0.1865626874625075	1.33137284411208	0.01998001998001998	0.49423090945376663	85	Cxcl11,Cxcl9,Cxcl2,Cxcl10,Il1r2,Ccl7,A2m,Cntfr,Cd14,Csf2,Stat2,Il12rb1,Hax1,Tnfrsf12a,Csf1				0.08608352206756756	Cxcl9	no	0.051615051615051616		0.12337979210666669
HALLMARK_INFLAMMATORY_RESPONSE	output	no	194	172	38	172	0.13458930794767443	0.016813913	94	77	0.03079384123175365	0.13458930794767443	0.016813913	94	77	0.030393921215756847	1.435878679442488	0.000999000999000999	0.4787229724303755	194	Cxcl11,Csf3,Vip,Cxcl9,Ccl5,Cxcl10,Ccl20,Cxcl5,Tnfrsf9,Best1,Marco,Tnfaip6,Hrh1,Aqp9,Cx3cl1				0.1185149543391813	Cxcl9	no	0.006193806193806194		0.13458930794767443
HALLMARK_INTERFERON_ALPHA_RESPONSE	output	no	89	88	88	88	0.22707937887500004	0.19037095	69	19	0.010997800439912017	0.22707937887500004	0.19037095	69	19	0.011597680463907219	1.5968160711031627	0.000999000999000999	0.5909965654560809	89	Cxcl11,Cxcl10,Rsad2,Oasl1,Isg15,Psmb9,Oas1a,Ifi44,Gbp3,Rtp4,B2m,Ly6e,Ube2l6,Ifitm1,Batf2				0.20046076896551726	Cxcl10	no	0.006193806193806194		0.22707937887500004
HALLMARK_INTERFERON_GAMMA_RESPONSE	output	no	181	175	175	175	0.21827260306285715	0.168937027	127	48	0.0007998400319936012	0.21827260306285715	0.168937027	127	48	0.0005998800239952009	1.5081012020314446	0.000999000999000999	0.5059747515109082	181	Cxcl11,Sectm1a,Mettl7b,Cxcl9,Ccl5,Cxcl10,Gzma,Oas3,Oas2,Tnfaip6,Ido1,Rsad2,Oasl1,Isg15,Zbp1				0.20295633195977011	Cxcl9	no	0.006193806193806194		0.21827260306285715
HALLMARK_TNFA_SIGNALING_VIA_NFKB	output	no	192	184	25	184	-0.02135738744565216	-0.003167283	89	92	0.7130573885222955	-0.02135738744565216	-0.003167283	89	92	0.7194561087782444	0.9117577228798835	0.36363636363636365	0.3040214268012981	192	Cxcl11,Ccl5,Cxcl2,Cxcl10,Ccl20,Cxcl5,Tnfrsf9,Cxcl1,Tnfaip6,Il23a,Phlda2,Plau,Areg,Nfil3,Cdkn1a				-0.03628453645355192	Nr4a1	no	0.5151182151182151		-0.02135738744565216
custom_phospho_proxy_ISG	output	no	13	13	13	13	1.1216853663846154	0.626672753	11	2	0.0001999600079984003	1.1216853663846154	0.626672753	11	2	0.0001999600079984003	1.5829084991565106	0.00999000999000999	0.8325153821372331	13	Cxcl9,Ccl5,Cxcl10,Gbp4,Rsad2,Isg15,Mx1,Ifit1,Oasl2				0.9748838323333331	Cxcl9	no	0.037851037851037855		1.1216853663846154
HALLMARK_E2F_TARGETS	proliferation	no	192	188	2	186	0.23052958255851064	0.1132319965	132	54	0.0001999600079984003	0.22523471148387098	0.11047728849999999	130	54	0.0003999200159968006	1.6677148150745598	0.000999000999000999	0.5560918485835809	192	Rad51ap1,Cdca3,Aurkb,Cenpm,Hmmr,Aurka,Gins1,Dlgap5,Cdk1,Rrm2,E2f8,Kif2c,Bub1b,Top2a,Spc24	1.6485500131697248	0.000999000999000999	Rad51ap1,Cdca3,Aurkb,Cenpm,Hmmr,Aurka,Gins1,Dlgap5,Cdk1,Rrm2,E2f8,Kif2c,Bub1b,Top2a,Spc24	0.21124310158918919	Rad51ap1	no	0.006193806193806194		1.6485500131697248
