gsm	title	genotype	vili	role	in_this_contrast
GSM1232580	WT no VILI	WT	none	Cldn4-intact baseline	yes
GSM1232581	Cldn4 KO no VILI	Cldn4 KO	none	Cldn4-null baseline	yes
GSM1232582	WT VILI	WT	40 cmH2O, 2 h	injury companion	no
GSM1232583	Cldn4 KO VILIlow	Cldn4 KO	40 cmH2O, 2 h	injury stratum, not a Cldn4-expression class	no
GSM1232584	Cldn4 KO VILIhigh	Cldn4 KO	40 cmH2O, 2 h	injury stratum, not a Cldn4-expression class	no
