set	set_class	left_out	left_out_logFC	left_out_FDR	mean_without	delta_vs_full
HALLMARK_DNA_REPAIR	repair	Impdh2	0.034087706	1.0	0.04964713952857142	0.00011035059240121353
HALLMARK_DNA_REPAIR	repair	Itpa	0.382445447	0.546666415	0.047158869949999994	-0.0023779189861702146
HALLMARK_DNA_REPAIR	repair	Lig1	0.453501688	0.266974487	0.04665132537142857	-0.00288546356474164
HALLMARK_DNA_REPAIR	repair	Mpc2	0.065060075	1.0	0.04942590832142857	-0.00011088061474164024
HALLMARK_DNA_REPAIR	repair	Mpg	-0.181072834	1.0	0.05118400052857142	0.001647211592401214
HALLMARK_DNA_REPAIR	repair	Mrpl40	0.051405099	1.0	0.04952344386428571	-1.3345071884496296e-05
HALLMARK_DNA_REPAIR	repair	Ncbp2	0.174242079	0.869659486	0.0486460368642857	-0.0008907520718845069
HALLMARK_DNA_REPAIR	repair	Nelfb	0.058270153	1.0	0.04947440776428571	-6.238117188449993e-05
HALLMARK_DNA_REPAIR	repair	Nelfcd	0.067208008	1.0	0.049410565942857136	-0.0001262229933130729
HALLMARK_DNA_REPAIR	repair	Nelfe	-0.087652682	1.0	0.05051671372857142	0.0009799247924012142
HALLMARK_DNA_REPAIR	repair	Nfx1	-0.19991015	0.726998126	0.05131855278571428	0.0017817638495440727
HALLMARK_DNA_REPAIR	repair	Nme1	0.371739308	0.336400648	0.04723534237142857	-0.002301446564741641
HALLMARK_DNA_REPAIR	repair	Nme3	0.294202424	0.809701891	0.04778917725714286	-0.0017476116790273513
HALLMARK_DNA_REPAIR	repair	Nme4	-0.048498518	1.0	0.05023704112857142	0.0007002521924012114
HALLMARK_DNA_REPAIR	repair	Npr2	-0.066393879	1.0	0.05036486513571428	0.0008280761995440727
HALLMARK_DNA_REPAIR	repair	Nt5c	0.195983077	0.888817422	0.04849074402142857	-0.0010460449147416395
HALLMARK_DNA_REPAIR	repair	Nt5c3	-0.029041571	1.0	0.05009806293571428	0.0005612739995440735
HALLMARK_DNA_REPAIR	repair	Nudt21	0.304854582	1.0	0.0477130904142857	-0.0018236985218845064
HALLMARK_DNA_REPAIR	repair	Nudt9	0.088188649	1.0	0.04926070422142856	-0.00027608471474165064
HALLMARK_DNA_REPAIR	repair	Pcna	0.126669718	1.0	0.048985839442857136	-0.0005509494933130729
HALLMARK_DNA_REPAIR	repair	Pola1	0.255155112	0.861008345	0.04806808662857143	-0.001468702307598782
HALLMARK_DNA_REPAIR	repair	Pola2	0.060488652	1.0	0.04945856134285714	-7.822759331307244e-05
