set	set_class	bridge_eligible	n_in_rank	n_expressed	n_ifn_overlap_expressed	n_decontaminated_expressed	mean_logFC	median_logFC	n_up	n_down	mean_perm_p	decontam_mean_logFC	decontam_median_logFC	decontam_n_up	decontam_n_down	decontam_mean_perm_p	nes	nes_nom_p	es	n_gsea	lead_genes	decontam_nes	decontam_nes_nom_p	decontam_lead_genes	loo_min_mean	loo_worst_gene	loo_sign_flip	nes_fdr_in_sweep	decontam_nes_fdr_bridge_family	bridge_score
KEGG_p53_signaling_pathway	damage_signal	yes	68	66	4	62	0.17413287230303032	0.086869293	40	25	0.08438312337532493	0.16565148409677416	0.07931550600000001	36	25	0.10677864427114576	1.3588649489960052	0.01998001998001998	0.5230120933163119	68	Cyct,Ccnb1,Sfn,Cdk1,Rrm2,Pmaip1,Cdkn1a,Ccne1,Bbc3,Chek1,Ccnd1,Rprm,Ccnb2,Gtse1,Steap3	1.33198438202701	0.03196803196803197	Cyct,Ccnb1,Sfn,Cdk1,Rrm2,Pmaip1,Ccne1,Bbc3,Chek1,Ccnd1,Rprm,Ccnb2,Gtse1,Steap3,Cdk6	0.1476083926065574	Ccnb1	no	0.051615051615051616	0.5154845154845155	1.33198438202701
KEGG_Base_excision_repair	repair	yes	33	33	0	33	0.11401479263636365	0.025036551	20	12	0.39832033593281346	0.11401479263636365	0.025036551	20	12	0.40611877624475107	1.1077893661455127	0.14885114885114886	0.4816372595175845	33	Pole2,Ung,Pole,Neil3,Lig1,Apex2,Fen1,Polb,Tdg,Pold1	1.1077893661455127	0.14885114885114886	Pole2,Ung,Pole,Neil3,Lig1,Apex2,Fen1,Polb,Tdg,Pold1	0.08210088521875	Pole2	no	0.3076257076257077	0.5154845154845155	1.1077893661455127
KEGG_Cytosolic_DNA-sensing_pathway	sensor	yes	60	45	9	36	0.2305520081111111	0.061359735	30	15	0.054789042191561686	0.09509487836111111	0.05035084	22	14	0.46290741851629674	1.3529340540062034	0.026973026973026972	0.5244424295909739	60	Ccl5,Cxcl10,Ccl4,Ifna14,Zbp1,Polr3d,Mb21d1,Polr2f,Pycard,Ifi202b,Polr2l,Ripk1,Polr2h,Irf7,Adar	1.1065174073951112	0.15184815184815184	Ccl4,Ifna14,Polr3d,Mb21d1,Polr2f,Pycard,Ifi202b,Polr2l	0.026027589142857143	Ccl4	no	0.06432029508952586	0.5154845154845155	1.1065174073951112
KEGG_Apoptosis	damage_signal	yes	138	128	8	120	0.0665773122578125	0.025422964	72	55	0.3535292941411718	0.06267786045833335	0.019147926	65	54	0.39832033593281346	1.0021050360020964	0.2177822177822178	0.35018661672364043	138	Cyct,Gzmb,Fasl,Prf1,Bcl2a1c,Spta1,Pmaip1,Birc5,Bbc3,Tnfrsf10b,Lmnb2,Capn1,Bak1,Lmnb1,Ctsw	0.9864231246785456	0.24575424575424576	Cyct,Gzmb,Fasl,Prf1,Bcl2a1c,Spta1,Pmaip1,Birc5,Bbc3,Tnfrsf10b	0.04571431620168067	Gzmb	no	0.421953046953047	0.5154845154845155	0.9864231246785456
KEGG_Homologous_recombination	repair	yes	38	37	0	37	0.05119406756756757	0.026201765	19	17	0.6872625474905019	0.05119406756756757	0.026201765	19	17	0.6934613077384523	0.8498207840047274	0.3776223776223776	0.35852582405923494	38	Brca1,Rad51,Rad54b,Bard1,Gm5136,Rad54l,Brip1,Eme1,Rbbp8,Rad51c,Nbn	0.8498207840047274	0.3776223776223776	Brca1,Rad51,Rad54b,Bard1,Gm5136,Rad54l,Brip1,Eme1,Rbbp8,Rad51c,Nbn	0.029484451666666665	Brca1	no	0.5151182151182151	0.5154845154845155	0.8498207840047274
HALLMARK_DNA_REPAIR	repair	yes	145	144	3	141	0.05568558404166665	0.0524980065	84	59	0.41371725654869024	0.04953678893617021	0.041794934	81	59	0.45710857828434315	0.8702782627345946	0.3916083916083916	0.30071567495450635	145	Pde6g,Rad51,Tyms,Polh,Polr2k,Pde4b,Rfc4,Taf12,Lig1,Polr2f,Brf2,Bcam,Taf13,Itpa,Nme1	0.8247424126077664	0.44555444555444557	Pde6g,Rad51,Tyms,Polh,Polr2k,Rfc4,Taf12,Lig1,Polr2f,Brf2,Bcam,Taf13,Itpa,Nme1,Polr2i	0.044070214192857136	Rad51	no	0.5151182151182151	0.5154845154845155	0.8247424126077664
KEGG_Nucleotide_excision_repair	repair	yes	43	43	0	43	0.05930154355813954	0.026201765	24	19	0.6184763047390522	0.05930154355813954	0.026201765	24	19	0.6230753849230154	0.7555023173800013	0.4645354645354645	0.3131581638610999	43	Pole2,Pole,Rfc4,Lig1,Gtf2h4,Ercc8,Ercc2,Pold1,Ercc1,Rad23b,Gtf2h3,Pcna,Gtf2h2,Gtf2h5,Pold3	0.7555023173800013	0.4645354645354645	Pole2,Pole,Rfc4,Lig1,Gtf2h4,Ercc8,Ercc2,Pold1,Ercc1,Rad23b,Gtf2h3,Pcna,Gtf2h2,Gtf2h5,Pold3	0.03368348911904762	Pole2	no	0.5151182151182151	0.5154845154845155	0.7555023173800013
HALLMARK_APOPTOSIS	damage_signal	yes	160	151	17	134	0.05369452560927152	0.056940272	88	61	0.41871625674865026	0.04045993579104478	0.042198735	74	58	0.5552889422115577	0.7671238525409867	0.4775224775224775	0.2615911245532356	160	Ccna1,Fasl,Prf1,Pmaip1,Top2a,Cdkn1a,Dnaja1,Brca1,Hspb1,Ccnd1,Plat,Gna15,Cd14,Mmp2,Timp1	0.7542903677208018	0.4805194805194805	Ccna1,Fasl,Prf1,Pmaip1,Top2a,Dnaja1,Brca1,Hspb1,Ccnd1,Plat,Gna15,Cd14,Mmp2,Timp1,Eno2	0.026807269721804507	Fasl	no	0.5151182151182151	0.5154845154845155	0.7542903677208018
custom_altNHEJ_MMEJ	repair	yes	9	9	0	9	0.1088792208888889	0.108117617	7	2	0.6292741451709658	0.1088792208888889	0.108117617	7	2	0.6144771045790842	0.7519388764250357	0.3776223776223776	0.42762656986964426	9	Lig1,Fen1,Nbn,Polq,Xrcc1	0.7519388764250357	0.3776223776223776	Lig1,Fen1,Nbn,Polq,Xrcc1	0.06580141250000002	Lig1	no	0.5151182151182151	0.5154845154845155	0.7519388764250357
custom_nuclear_envelope	structure	yes	20	20	0	20	0.059250745150000006	0.0542552095	11	8	0.7208558288342332	0.059250745150000006	0.0542552095	11	8	0.7366526694661067	0.7290496869814637	0.4435564435564436	0.3496924615753624	20	Lmnb2,Lmnb1,Nup210,Banf1,Nup50,Lmna,Emd,Nup98,Sun1,Tor1a	0.7290496869814637	0.4435564435564436	Lmnb2,Lmnb1,Nup210,Banf1,Nup50,Lmna,Emd,Nup98,Sun1,Tor1a	0.03904156894736841	Lmnb2	no	0.5151182151182151	0.5154845154845155	0.7290496869814637
