analysis	family	immune_family	score_family	k	cohorts	n_patients	effect	p	I2	stouffer_z	stouffer_p	cldn4_negative	is_full_family	n_family_units	n_q1	n_q4
q4q1	primary_malig_mixed_poolable	tnk	mean	1	GSE207422	6	-0.33333333333333337	0.7	0.0	-0.38532046640756773	0.7	True	False	4	3	3
q4q1	primary_malig_mixed_poolable	tnk	mean	1	GSE205335	12	-0.5555555555555556	0.13203463203463203	0.0	-1.5061267764250388	0.13203463203463212	True	False	4	6	6
q4q1	primary_malig_mixed_poolable	tnk	mean	1	GSE131907	11	-0.5333333333333333	0.17748917748917747	0.0	-1.3485262675679033	0.17748917748917747	True	False	4	6	5
q4q1	primary_malig_mixed_poolable	tnk	mean	1	GSE325414	13	-0.1428571428571429	0.7307692307692307	0.0	-0.3441024628830157	0.7307692307692306	True	False	4	7	6
q4q1	primary_malig_mixed_poolable	tnk	mean	2	GSE207422+GSE205335	18	-0.5053234742458727	0.05391381636673767	0.0	-1.497004282907833	0.13439214363641996	True	False	4	9	9
q4q1	primary_malig_mixed_poolable	tnk	mean	2	GSE207422+GSE131907	17	-0.48315820315546837	0.08043286822516786	0.0	-1.351254115831295	0.17661404478835008	True	False	4	9	8
q4q1	primary_malig_mixed_poolable	tnk	mean	2	GSE207422+GSE325414	19	-0.1883495596865002	0.49188745339585627	0.0	-0.486899789262325	0.6263293482745427	True	False	4	10	9
q4q1	primary_malig_mixed_poolable	tnk	mean	2	GSE205335+GSE131907	23	-0.5451932716846145	0.011690733930176339	0.0	-2.020949584974227	0.04328498421074708	True	False	4	12	11
q4q1	primary_malig_mixed_poolable	tnk	mean	2	GSE205335+GSE325414	25	-0.35713493501078813	0.12108645374720797	9.33416923664305	-1.2862257035729507	0.19836430303569863	True	False	4	13	12
q4q1	primary_malig_mixed_poolable	tnk	mean	2	GSE131907+GSE325414	24	-0.3312785205232205	0.14412876448384865	0.0	-1.1554963444557758	0.24788722871867896	True	False	4	13	11
q4q1	primary_malig_mixed_poolable	tnk	mean	3	GSE207422+GSE205335+GSE131907	29	-0.5166613018255046	0.010556301459159338	0.0	-2.012457429396688	0.04417173988155856	True	False	4	15	14
q4q1	primary_malig_mixed_poolable	tnk	mean	3	GSE207422+GSE205335+GSE325414	31	-0.35301980838664965	0.08358666096456849	0.0	-1.337604768262424	0.18102530925976024	True	False	4	16	15
q4q1	primary_malig_mixed_poolable	tnk	mean	3	GSE207422+GSE131907+GSE325414	30	-0.33157225823660935	0.1143070102891383	0.0	-1.2154191879362708	0.22420625337795053	True	False	4	16	14
q4q1	primary_malig_mixed_poolable	tnk	mean	3	GSE205335+GSE131907+GSE325414	36	-0.41223678396216046	0.022757040730630222	0.0	-1.8130215143253265	0.06982850311637305	True	False	4	19	17
q4q1	primary_malig_mixed_poolable	tnk	mean	4	GSE207422+GSE205335+GSE131907+GSE325414	42	-0.40459400181523114	0.01875113227900877	0.0	-1.8418322599393189	0.06549968968428824	True	True	4	22	20
q4q1	author/b/mean	b	mean	1	GSE131907	11	-0.8	0.030303030303030304	0.0	-2.166106752892329	0.0303030303030303	True	False	2	6	5
q4q1	author/b/mean	b	mean	1	GSE205335	12	0.16666666666666674	0.6991341991341992	0.0	0.3864894707293975	0.699134199134199	False	False	2	6	6
q4q1	author/b/mean	b	mean	2	GSE131907+GSE205335	23	-0.4298449017660391	0.4679765415483329	85.28815550803945	-1.2047245774947262	0.22830964475415705	True	True	2	12	11
q4q1	author/b/pct	b	pct	1	GSE131907	11	-0.8666666666666667	0.017316017316017316	0.0	-2.3799280793094164	0.01731601731601732	True	False	2	6	5
q4q1	author/b/pct	b	pct	1	GSE205335	12	-0.11111111111111116	0.8181818181818182	0.0	-0.22988411757923202	0.8181818181818182	True	False	2	6	6
q4q1	author/b/pct	b	pct	2	GSE131907+GSE205335	23	-0.6105522198746149	0.23988955190418026	83.81869458984322	-1.799882457798989	0.07187920014012077	True	True	2	12	11
q4q1	author/cd8/mean	cd8	mean	1	GSE131907	11	-0.5333333333333333	0.17748917748917747	0.0	-1.3485262675679033	0.17748917748917747	True	False	2	6	5
q4q1	author/cd8/mean	cd8	mean	1	GSE205335	12	-0.33333333333333337	0.3939393939393939	0.0	-0.8524950342746941	0.3939393939393938	True	False	2	6	6
q4q1	author/cd8/mean	cd8	mean	2	GSE131907+GSE205335	23	-0.43283683958976854	0.05605934288343836	0.0	-1.545362635596164	0.12225857278853305	True	True	2	12	11
q4q1	author/cd8/pct	cd8	pct	1	GSE131907	11	-0.6666666666666667	0.08225108225108226	0.0	-1.7377715119937625	0.08225108225108226	True	False	2	6	5
q4q1	author/cd8/pct	cd8	pct	1	GSE205335	12	-0.6666666666666667	0.06493506493506493	0.0	-1.8457049029212598	0.06493506493506485	True	False	2	6	6
q4q1	author/cd8/pct	cd8	pct	2	GSE131907+GSE205335	23	-0.6666666666666667	0.0009068355439834806	0.0	-2.5350489992194505	0.011243159834684388	True	True	2	12	11
q4q1	author/tnk/mean	tnk	mean	1	GSE131907	11	-0.5333333333333333	0.17748917748917747	0.0	-1.3485262675679033	0.17748917748917747	True	False	4	6	5
q4q1	author/tnk/mean	tnk	mean	1	GSE205335	12	-0.5555555555555556	0.13203463203463203	0.0	-1.5061267764250388	0.13203463203463212	True	False	4	6	6
q4q1	author/tnk/mean	tnk	mean	1	GSE207422	6	-0.33333333333333337	0.7	0.0	-0.38532046640756773	0.7	True	False	4	3	3
