rank	gene	uniprot	protein_name	is_bait	exclusive	stringent	n_cldn4	n_gfp	mean_lfq_cldn4	mean_lfq_gfp	log2fc	p_mod	fdr_mod	p_welch	fdr_welch	unique_peptides	razor_unique_peptides	categories	majority_protein_ids
1	CLDN4	O14493	Claudin-4	True	True	True	4	0	2.58958e+09		10.3761	1.86938e-17	4.09021e-14	5.17515e-05	0.00781719	3	4	TJ	O14493
2	OAS1	F1PLW6	2-5-oligoadenylate synthetase 1	False	True	True	4	0	9.9739e+07		5.76434	1.17202e-15	8.94719e-13	1.18591e-06	0.00128484	5	5	IFN;immune	F1PLW6
3	CLDN3	Q95KM5	Claudin-3	False	False	True	4	2	3.58205e+07	2.1424e+07	2.48622	0.00175442	0.0142975	0.0914742	0.236299	2	2	TJ	Q95KM5
4	MPP7	F1P8X0	Membrane palmitoylated protein 7	False	False	True	4	4	3.26212e+08	1.16051e+08	1.49544	3.3319e-06	0.000260364	0.000179386	0.0110431	11	11	TJ	F1P8X0
5	ISG15	E2R7R1	ISG15 ubiquitin-like modifier	False	False	True	4	4	2.74675e+08	1.22224e+08	1.26934	0.000463369	0.00528047	0.026421	0.121448	5	5	IFN;immune	E2R7R1
6	OAS2	F1PTR7	2-5-oligoadenylate synthetase 2	False	False	True	4	4	3.27488e+08	1.34852e+08	1.26165	7.0892e-05	0.0020961	0.0027246	0.0346736	4	5	IFN;immune	F1PTR7
7	KIF22	E2RRZ0	Kinesin-like protein	False	False	True	4	4	2.909e+08	1.28966e+08	1.19828	0.000256409	0.003643	0.00737172	0.0576047	11	11	trafficking	E2RRZ0;E2RRY9
8	CDC42	P60952	Cell division control protein 42 homolog	False	False	True	4	4	1.52822e+09	7.66028e+08	1.00497	0.000129527	0.00318432	0.000604164	0.0189299	8	10	TJ	P60952;J9P730
9	SYNPO	J9P7S2	Synaptopodin	False	False	True	4	4	4.9032e+08	2.5186e+08	1.0039	0.000539512	0.00596188	0.0131602	0.0794505	13	13	TJ	J9P7S2;E2RG15
10	PARD3B	F1PUY2	Par-3 family cell polarity regulator beta	False	True	False	2	0	7.28245e+07		2.65551	0.0135379	0.0563135	0.18175	0.356432	3	3	TJ	F1PUY2;J9P593
11	EPN2	F1P9H0	Epsin 2	False	True	False	2	0	5.62175e+07		2.46726	0.0137983	0.0563672	0.181876	0.356432	2	2	trafficking	F1P9H0
12	ICAM1	P33729	Intercellular adhesion molecule 1 (Fragment)	False	True	False	2	0	3.91615e+07		2.20558	0.0142583	0.0563672	0.182007	0.356432	2	2	IFN;TJ;immune	P33729;F1PB95
13	RABL3	E2R3T1	RAB, member of RAS oncogene family like 3	False	True	False	2	0	3.68715e+07		2.16383	0.0143046	0.0563672	0.181851	0.356432	2	2	trafficking	E2R3T1
14	OCLN	E2R3X4	Occludin	False	False	False	4	3	2.5294e+08	1.84427e+08	2.08407	0.0626793	0.150375	0.299517	0.497226	3	3	TJ	E2R3X4;Q28269;F1PZF7;J9P475
15	PRKCH	E2RGU7	Protein kinase C eta type	False	False	False	4	3	9.48045e+07	5.6103e+07	1.99816	0.021485	0.0719897	0.204293	0.381394	4	4	TJ	E2RGU7;J9NX03
16	CAPG	E2R413	Capping actin protein, gelsolin like	False	False	False	4	2	2.6649e+07	3.51015e+07	1.76305	0.036569	0.10407	0.245328	0.430712	2	2	immune	E2R413
17	SLC7A1	E2QU34	Cationic amino acid transporter 1	False	False	False	4	3	1.24156e+08	9.932e+07	1.75221	0.0706678	0.164491	0.311087	0.5083	3	3	immune	E2QU34
18	M6PR	E2R4C1	Mannose-6-phosphate receptor, cation dependent	False	False	False	4	3	8.964e+07	6.43957e+07	1.67061	0.0610905	0.147047	0.28674	0.47959	3	3	trafficking	E2R4C1
19	CGN	A7YH32	Cingulin	False	False	False	3	2	5.33243e+07	3.30925e+07	1.52748	0.170929	0.270881	0.406987	0.534185	4	4	TJ	A7YH32;F1PLU8
20	TGFBR1	J9NST9	Receptor protein serine/threonine kinase	False	False	False	3	2	4.73673e+07	2.91765e+07	1.49491	0.163956	0.263583	0.398722	0.527526	2	2	TJ	J9NST9;F1PS63
21	UBA52	P63050	Ubiquitin-60S ribosomal protein L40	False	False	False	4	3	7.26525e+07	6.25897e+07	1.47659	0.098836	0.211745	0.34026	0.51983	3	3	IFN;trafficking;immune	P63050;F1PDG4;J9NVT1
22	ARID5B	E2R9X2	AT-rich interactive domain-containing protein 5B	False	False	False	2	1	4.1493e+07	2.0248e+07	1.37954	0.175742	0.275461	0.415621	0.539691	2	2	IFN;immune	E2R9X2;A0A0A0MPC6;J9NV13
23	RAB3GAP2	E2R4W9	RAB3 GTPase activating non-catalytic protein subunit 2	False	False	False	3	2	4.91677e+07	3.84085e+07	1.33365	0.234776	0.337954	0.472029	0.594922	3	3	trafficking	E2R4W9
24	TAPBP	Q5TJE4	Tapasin	False	False	False	3	2	4.32127e+07	3.302e+07	1.32955	0.216119	0.318002	0.453407	0.57482	2	2	IFN;MHC;immune	Q5TJE4
25	ELF1	E2R9T4	E74 like ETS transcription factor 1	False	False	False	3	2	5.2058e+07	5.9868e+07	1.09089	0.36552	0.469066	0.585206	0.684722	3	3	IFN;immune	E2R9T4
26	RHOA	F6XY66	Transforming protein RhoA	False	False	False	4	4	4.46835e+09	2.20992e+09	0.990331	0.000511655	0.00577063	0.00727471	0.0574623	6	14	TJ	F6XY66;P24406;E2RLH2
