cohort,atlas,histology,purity_method,signature,spearman_rho,spearman_p,n_unadj,partial_rho,partial_p,n_partial
TCGA_LUAD_Firehose,Firehose,lung adenocarcinoma,ABSOLUTE,cytotoxic,-0.11607322969067288,0.008247228493628725,517,-0.12477886451772931,0.005070884842621925,504
TCGA_LUAD_Firehose,Firehose,lung adenocarcinoma,ABSOLUTE,exhaustion,-0.05868944342472188,0.1827361034165322,517,-0.0613224676787321,0.16969315541294952,504
TCGA_LUAD_Firehose,Firehose,lung adenocarcinoma,CPE,immune_tcell_effector,-0.11112883094729244,0.011454236225815555,517,-0.13012611825659826,0.003121055675000717,515
TCGA_LUAD_Firehose,Firehose,lung adenocarcinoma,CPE,cytotoxic,-0.11607322969067288,0.008247228493628725,517,-0.1358807174080606,0.002018749596562059,515
TCGA_LUAD_Firehose,Firehose,lung adenocarcinoma,CPE,exhaustion,-0.05868944342472188,0.1827361034165322,517,-0.06956045575052612,0.11523025992081053,515
TCGA_LUAD_Firehose,Firehose,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,immune_tcell_effector,-0.11112883094729244,0.011454236225815555,517,-0.1389474076184509,0.0015728131313056562,516
TCGA_LUAD_Firehose,Firehose,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,cytotoxic,-0.11607322969067288,0.008247228493628725,517,-0.14636557865610575,0.0008639465708701841,516
TCGA_LUAD_Firehose,Firehose,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,exhaustion,-0.05868944342472188,0.1827361034165322,517,-0.1044269893135902,0.017761568139385536,516
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ESTIMATE,immune_tcell_effector,-0.2237293435817787,4.203450309019791e-07,501,-0.20000626730691587,6.5844439495126465e-06,501
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ESTIMATE,cytotoxic,-0.1516380610862484,0.0006607856815627978,501,-0.09436165054701375,0.03490849420409551,501
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ESTIMATE,exhaustion,-0.19273122530059256,1.3995936568784484e-05,501,-0.17883608842420504,5.786520338380374e-05,501
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ABSOLUTE,immune_tcell_effector,-0.2237293435817787,4.203450309019791e-07,501,-0.2712274385591321,9.606035242875213e-10,493
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ABSOLUTE,cytotoxic,-0.1516380610862484,0.0006607856815627978,501,-0.20259675024401635,5.914080930722246e-06,493
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ABSOLUTE,exhaustion,-0.19273122530059256,1.3995936568784484e-05,501,-0.2679804039176097,1.5431520508809842e-09,493
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,CPE,immune_tcell_effector,-0.2237293435817787,4.203450309019791e-07,501,-0.258922291062004,4.211116632260192e-09,501
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,CPE,cytotoxic,-0.1516380610862484,0.0006607856815627978,501,-0.17863168197147616,5.9023863578377096e-05,501
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,CPE,exhaustion,-0.19273122530059256,1.3995936568784484e-05,501,-0.2512293916657602,1.2323290940145777e-08,501
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ESTIMATE_or_ABSOLUTE,immune_tcell_effector,-0.2237293435817787,4.203450309019791e-07,501,-0.20000626730691587,6.5844439495126465e-06,501
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ESTIMATE_or_ABSOLUTE,cytotoxic,-0.1516380610862484,0.0006607856815627978,501,-0.09436165054701375,0.03490849420409551,501
TCGA_LUSC_Firehose,Firehose,lung squamous cell carcinoma,ESTIMATE_or_ABSOLUTE,exhaustion,-0.19273122530059256,1.3995936568784484e-05,501,-0.17883608842420504,5.786520338380374e-05,501
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ESTIMATE,immune_tcell_effector,-0.3872333548804137,1.9818179340487578e-07,169,,,0
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ESTIMATE,cytotoxic,-0.4253592561284869,8.175411432441915e-09,169,,,0
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ESTIMATE,exhaustion,-0.44382924767540155,1.5040178409388296e-09,169,,,0
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ABSOLUTE,immune_tcell_effector,-0.3872333548804137,1.9818179340487578e-07,169,-0.3177689432608657,2.7009241614612864e-05,169
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ABSOLUTE,cytotoxic,-0.4253592561284869,8.175411432441915e-09,169,-0.36311180390653525,1.3150014504064124e-06,169
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ABSOLUTE,exhaustion,-0.44382924767540155,1.5040178409388296e-09,169,-0.3887239336426837,1.9183688269952536e-07,169
OncoSG_LUAD,OncoSG,lung adenocarcinoma,CPE,immune_tcell_effector,-0.3872333548804137,1.9818179340487578e-07,169,-0.3177689432608657,2.7009241614612864e-05,169
OncoSG_LUAD,OncoSG,lung adenocarcinoma,CPE,cytotoxic,-0.4253592561284869,8.175411432441915e-09,169,-0.36311180390653525,1.3150014504064124e-06,169
OncoSG_LUAD,OncoSG,lung adenocarcinoma,CPE,exhaustion,-0.44382924767540155,1.5040178409388296e-09,169,-0.3887239336426837,1.9183688269952536e-07,169
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,immune_tcell_effector,-0.3872333548804137,1.9818179340487578e-07,169,-0.3177689432608657,2.7009241614612864e-05,169
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,cytotoxic,-0.4253592561284869,8.175411432441915e-09,169,-0.36311180390653525,1.3150014504064124e-06,169
OncoSG_LUAD,OncoSG,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,exhaustion,-0.44382924767540155,1.5040178409388296e-09,169,-0.3887239336426837,1.9183688269952536e-07,169
