pool,cohorts,purity_method,signature,spearman_rho,spearman_p,n_unadj,partial_rho,partial_p,n_partial,n_vs_claimed,n_within_tolerance,sign_match
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ESTIMATE,immune_tcell_effector,-0.16592776429591,1.4307098820360214e-07,994,-0.16973512312548258,7.866922130070045e-08,990,-41,True,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ESTIMATE,cytotoxic,-0.13416462545271107,2.1977747747853602e-05,994,-0.13014807727079797,4.038932850775364e-05,990,-41,True,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ESTIMATE,exhaustion,-0.12908559100950207,4.469828520013488e-05,994,-0.14640147909127518,3.778707206057551e-06,990,-41,True,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ABSOLUTE,immune_tcell_effector,-0.16592776429591,1.4307098820360214e-07,994,-0.19842703621481242,4.099699208274704e-10,976,-55,False,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ABSOLUTE,cytotoxic,-0.13416462545271107,2.1977747747853602e-05,994,-0.1646150314515239,2.3559045509488054e-07,976,-55,False,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ABSOLUTE,exhaustion,-0.12908559100950207,4.469828520013488e-05,994,-0.17447388333845226,4.1802046148762075e-08,976,-55,False,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,CPE,immune_tcell_effector,-0.16592776429591,1.4307098820360214e-07,994,-0.1940235441020875,7.047152530571557e-10,994,-37,True,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,CPE,cytotoxic,-0.13416462545271107,2.1977747747853602e-05,994,-0.15599978485261035,7.815003912551333e-07,994,-37,True,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,CPE,exhaustion,-0.12908559100950207,4.469828520013488e-05,994,-0.17088999495732973,6.02056929010984e-08,994,-37,True,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ESTIMATE_or_ABSOLUTE,immune_tcell_effector,-0.16592776429591,1.4307098820360214e-07,994,-0.1624056319838364,2.7058338647310107e-07,993,-38,True,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ESTIMATE_or_ABSOLUTE,cytotoxic,-0.13416462545271107,2.1977747747853602e-05,994,-0.1222808265494975,0.00011292269943018769,993,-38,True,True
PanCan_LUAD_LUSC,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan,ESTIMATE_or_ABSOLUTE,exhaustion,-0.12908559100950207,4.469828520013488e-05,994,-0.13446922755394247,2.1451647899637015e-05,993,-38,True,True
PanCan_plus_OncoSG,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan+OncoSG_LUAD,ESTIMATE,immune_tcell_effector,-0.20033195440412538,5.4040061093881044e-12,1163,-0.16973512312548258,7.866922130070045e-08,990,-41,True,True
PanCan_plus_OncoSG,TCGA_LUAD_PanCan+TCGA_LUSC_PanCan+OncoSG_LUAD,ESTIMATE,cytotoxic,-0.17734281801075344,1.1311403122583865e-09,1163,-0.13014807727079797,4.038932850775364e-05,990,-41,True,True
