sampleId,TACSTD2,immune_tcell_effector,cytotoxic,exhaustion,ESTIMATE_Aran,ABSOLUTE_Aran,CPE_Aran,ABSOLUTE_GDC,ESTIMATE_or_ABSOLUTE
TCGA-05-4244-01,0.3994,-0.5437375000000001,-0.17365,-0.4713583333333334,0.782,0.44,0.7019,0.44,0.782
TCGA-05-4249-01,-0.1299,-0.6651875,-0.7971750000000002,0.07935833333333334,0.7271,0.49,0.64,0.49,0.7271
TCGA-05-4250-01,0.0898,0.9081375,1.0812,0.4261000000000001,0.684,0.5,0.637,0.5,0.684
TCGA-05-4382-01,0.4749,0.2922125,0.029362500000000003,0.5331083333333334,0.5209,0.23,0.381,0.21,0.5209
TCGA-05-4384-01,-0.3975,-0.7150375000000001,-0.41615,-0.6243916666666666,0.7606,0.48,0.6937,0.49,0.7606
TCGA-05-4389-01,0.009,0.9783875000000001,1.0466875,0.3020166666666667,0.7246,0.48,0.6365,0.48,0.7246
TCGA-05-4390-01,-0.2846,-0.93055,-1.1978875,-0.7791916666666666,0.8053,0.57,0.7245,0.57,0.8053
TCGA-05-4395-01,1.1064,0.1812375,0.731975,-0.30086666666666667,0.8025,0.61,0.7424,0.61,0.8025
TCGA-05-4396-01,0.0443,-0.7133875,-0.9009375000000001,-0.79935,0.8915,0.77,0.8575,0.82,0.8915
TCGA-05-4397-01,-0.2513,-0.4138250000000001,-0.4549000000000001,-0.43625833333333336,0.8408,0.87,0.7943,0.87,0.8408
TCGA-05-4398-01,0.6091,0.6893374999999999,0.041825,0.322425,0.6367,0.33,0.5172,0.33,0.6367
TCGA-05-4402-01,0.8651,-0.7655124999999999,-0.7030875,-0.22786666666666663,0.7248,0.44,0.6367,0.44,0.7248
TCGA-05-4403-01,0.7746,-0.2958,-0.1583875,-0.08708333333333335,0.6871,0.46,0.5991,0.46,0.6871
TCGA-05-4405-01,-0.1163,-0.6091,-0.6762375,-0.11385833333333333,0.6544,0.38,0.592,0.38,0.6544
TCGA-05-4410-01,0.4565,0.98395,0.6490125,0.5406666666666667,0.6949,0.24,0.5286,0.24,0.6949
TCGA-05-4415-01,-3.6934,0.6322375,0.5754625,-0.46530833333333343,0.9014,0.67,0.8018,0.67,0.9014
TCGA-05-4417-01,-0.9012,0.7092375,0.6944874999999999,0.5505166666666668,0.5176,0.4,0.5416,0.4,0.5176
TCGA-05-4418-01,-0.4794,0.6133249999999999,0.6689375,0.44420833333333337,0.7182,0.52,0.656,0.55,0.7182
TCGA-05-4420-01,1.1679,-1.0728125,-0.7638125,-1.0577499999999997,0.8695,0.61,0.7413,0.59,0.8695
TCGA-05-4422-01,-0.4091,0.851825,0.601775,0.5469583333333333,0.7567,0.62,0.7019,0.62,0.7567
TCGA-05-4424-01,-0.493,-0.05504999999999999,-0.349475,0.009166666666666675,0.6589,0.24,0.5353,0.24,0.6589
TCGA-05-4425-01,0.2553,0.4009125,0.07996249999999999,0.25876666666666664,0.618,0.61,0.6944,0.61,0.618
TCGA-05-4426-01,1.2916,-0.7355875,-0.8195625,-0.410275,0.8136,0.71,0.8361,0.7,0.8136
TCGA-05-4427-01,0.0266,0.184875,0.10182500000000001,-0.28633333333333333,0.7404,0.46,0.6325,0.47,0.7404
TCGA-05-4430-01,-0.3466,0.13345,0.34,0.24100000000000002,0.5803,0.21,0.4406,0.2,0.5803
TCGA-05-4432-01,-0.6441,0.3108875,0.3012625,0.23899999999999996,0.7616,0.43,0.6573,0.36,0.7616
TCGA-05-4433-01,0.2579,0.252375,0.140475,-0.08671666666666666,0.7108,0.62,0.6843,0.62,0.7108
TCGA-05-4434-01,1.2397,0.7694875,0.43828750000000005,0.6972583333333334,0.5637,0.29,0.4379,0.45,0.5637
TCGA-05-5423-01,0.0436,-0.10276249999999998,0.19118750000000004,0.3980833333333333,0.6329,0.59,0.645,0.59,0.6329
TCGA-05-5425-01,-0.4886,1.2109625000000002,1.226825,0.8300833333333334,0.632,0.38,0.523,0.71,0.632
TCGA-05-5428-01,0.81,-0.65195,-0.4538375,-0.8020916666666666,0.738,0.63,0.7199,0.63,0.738
TCGA-05-5429-01,1.1812,-1.248525,-1.325825,-1.4453916666666664,0.8666,0.72,0.7911,0.82,0.8666
TCGA-05-5715-01,0.815,-1.2166249999999998,-1.2318500000000001,-1.0825083333333334,0.6889,0.74,0.6809,0.73,0.6889
TCGA-35-3615-01,-1.9875,-0.299275,-0.49475,-0.4457416666666667,0.8239,0.69,0.7943,0.69,0.8239
TCGA-35-4122-01,0.6349,1.26065,1.4821875000000002,0.9846583333333334,0.4966,0.22,0.3716,0.21,0.4966
TCGA-35-4123-01,0.0271,1.8390875000000002,1.7708000000000002,1.2151750000000001,0.5317,0.4,0.5422,0.4,0.5317
