sampleId,TACSTD2,immune_tcell_effector,cytotoxic,exhaustion,ESTIMATE_Aran,ABSOLUTE_Aran,CPE_Aran,ABSOLUTE_GDC,ESTIMATE_or_ABSOLUTE
TCGA-18-3406-01,0.3732,0.5039125,0.7882,0.50165,0.6446,0.31,0.5279,0.48,0.6446
TCGA-18-3407-01,0.852,-0.243975,-0.22381249999999997,-0.03385833333333333,0.7797,0.29,0.6126,0.29,0.7797
TCGA-18-3408-01,0.0612,0.32330000000000003,0.4018125,0.017508333333333348,0.7818,0.76,0.7141,0.76,0.7818
TCGA-18-3409-01,-1.7061,-0.24546250000000003,-0.65385,0.15261666666666665,0.6125,0.54,0.6749,0.54,0.6125
TCGA-18-3410-01,0.124,1.078975,1.0140875,0.6900666666666666,0.7334,0.66,0.7645,0.65,0.7334
TCGA-18-3411-01,-0.2775,0.06536249999999999,0.4106375,-0.09001666666666665,0.7729,0.53,0.6655,0.53,0.7729
TCGA-18-3412-01,1.7147,-0.37802499999999994,-0.4014125,-0.48635000000000006,0.8637,0.78,0.9025,0.78,0.8637
TCGA-18-3414-01,0.8071,-0.181425,0.09028749999999999,-0.18540833333333331,0.8294,0.76,0.8835,0.77,0.8294
TCGA-18-3415-01,0.1739,0.866575,1.3273875,0.401775,0.7437,0.48,0.6181,0.48,0.7437
TCGA-18-3416-01,0.9634,2.0308374999999996,1.9503375000000003,1.5850000000000002,0.7258,0.51,0.6465,0.51,0.7258
TCGA-18-3417-01,0.2257,-0.6048375,0.0128125,-0.34754166666666664,0.7185,0.3,0.6331,0.31,0.7185
TCGA-18-3419-01,1.0855,0.7572375,0.5993625,0.13027499999999997,0.8417,0.57,0.7034,0.57,0.8417
TCGA-18-3421-01,0.4501,1.0657625,1.2494,0.03312500000000001,0.8139,0.47,0.6573,0.47,0.8139
TCGA-18-4083-01,-0.0732,0.369925,0.297775,0.5140916666666666,0.8214,0.69,0.8171,0.68,0.8214
TCGA-18-4086-01,0.5874,0.21088749999999995,0.43715,0.22728333333333336,0.7593,0.6,0.6836,0.6,0.7593
TCGA-18-4721-01,-1.3037,0.947475,1.2720874999999998,0.9107750000000001,0.6517,0.39,0.5327,0.39,0.6517
TCGA-18-5592-01,-0.2695,0.09972499999999998,0.6051749999999999,-0.21055833333333332,0.9038,0.84,0.8393,0.85,0.9038
TCGA-18-5595-01,0.1712,-1.10505,-0.9674625,-1.024875,0.9549,0.86,0.9493,0.86,0.9549
TCGA-21-1070-01,0.6991,1.5128750000000002,1.1392125,1.1442583333333332,0.6819,0.5,0.6078,0.5,0.6819
TCGA-21-1071-01,-0.3405,0.06675,-0.09710000000000002,0.003233333333333329,0.8032,0.29,0.7243,0.29,0.8032
TCGA-21-1072-01,-0.3868,-0.0889875,-0.5878749999999999,-0.4787166666666666,0.9017,0.74,0.8646,0.74,0.9017
TCGA-21-1075-01,-1.1108,-2.0527499999999996,-2.2517500000000004,-1.58715,0.9691,0.75,0.874,0.75,0.9691
TCGA-21-1076-01,0.4855,0.4969125,0.2648125,1.256575,0.4538,0.2,0.3107,0.2,0.4538
TCGA-21-1077-01,-0.059,-0.8942625,-0.7830874999999999,-0.01886666666666665,0.8133,0.34,0.6037,0.34,0.8133
TCGA-21-1078-01,1.4339,-1.6009749999999998,-1.2672250000000003,-1.7153333333333334,0.9729,0.92,0.9869,0.92,0.9729
TCGA-21-1079-01,-0.1666,-0.7781,-0.8531875,-0.29126666666666673,0.792,0.6,0.7281,0.6,0.792
TCGA-21-1080-01,1.7082,0.23903749999999999,0.3600875,-0.09673333333333332,0.8791,0.78,0.8744,0.77,0.8791
TCGA-21-1081-01,0.7163,-1.2237875,-0.944225,-0.8245916666666667,0.8696,0.49,0.6573,0.49,0.8696
TCGA-21-1082-01,1.0003,0.38325000000000004,0.267525,0.215,0.7604,0.69,0.6851,0.69,0.7604
TCGA-21-1083-01,-0.4225,0.7398125,0.6273500000000001,0.6739333333333333,0.7886,0.58,0.7129,0.58,0.7886
TCGA-21-5782-01,0.7955,0.23337499999999997,0.3722125,0.1408666666666666,0.8151,0.48,0.6888,0.48,0.8151
TCGA-21-5783-01,-0.7872,-0.9839624999999999,-1.079375,-0.5756249999999999,0.8852,0.57,0.7261,0.57,0.8852
TCGA-21-5784-01,1.3746,0.2743875,1.0901375,0.23130833333333337,0.7286,0.19,0.3985,0.18,0.7286
TCGA-21-5786-01,-0.7542,-0.2591375,-0.3677,-0.3309,0.8599,0.56,0.7458,0.58,0.8599
TCGA-21-5787-01,-0.511,1.5626375000000001,1.9748375,1.3511499999999999,0.6725,0.5,0.614,0.5,0.6725
TCGA-21-A5DI-01,0.8387,-0.34405,-0.3304875,-0.8430249999999999,0.9174,,0.8983,0.3,0.9174
TCGA-22-0940-01,0.4173,1.5074,1.6538750000000002,1.225075,0.6421,0.25,0.4622,0.4,0.6421
TCGA-22-0944-01,0.1505,-1.0758875000000003,-1.3162875,-1.1903833333333333,0.9343,0.49,0.6573,0.66,0.9343
TCGA-22-1000-01,1.0902,0.610925,0.4972,0.96735,0.4517,0.18,0.2998,0.18,0.4517
TCGA-22-1002-01,0.2827,-0.2250375,0.339775,0.17851666666666666,0.7068,0.21,0.6123,0.38,0.7068
TCGA-22-1005-01,-0.3226,1.6473750000000003,1.724275,1.5486333333333333,0.4767,0.23,0.3405,0.12,0.4767
TCGA-22-1011-01,1.5811,0.39498750000000005,0.33030000000000004,0.78815,0.685,0.36,0.5828,0.36,0.685
TCGA-22-1012-01,0.1248,-0.26695,-0.0683875,-0.21335833333333332,0.851,0.32,0.6215,0.32,0.851
TCGA-22-1016-01,0.1563,-0.4688125,-0.14966250000000003,0.29975833333333335,0.6344,0.33,0.495,0.33,0.6344
TCGA-22-1017-01,-0.4086,0.38568749999999996,0.35198749999999995,0.29656666666666665,0.8259,0.34,0.774,0.34,0.8259
TCGA-22-4591-01,-0.1058,-0.4334749999999999,-0.4263125,-0.8623,0.9257,0.73,0.8583,0.73,0.9257
TCGA-22-4593-01,-1.1291,-0.613475,-0.6138625,-0.8434416666666668,0.8193,,0.7136,0.77,0.8193
TCGA-22-4594-01,-1.0965,0.3705125,0.5240249999999999,0.6391916666666666,0.6485,0.24,0.4618,0.24,0.6485
