purity_method,signature,meta_partial_rho,meta_p,meta_total_n,n_cohorts
ESTIMATE,immune_tcell_effector,-0.17884014614420146,1.419825654592355e-08,990,2
ESTIMATE,cytotoxic,-0.13296662854558597,2.7185549507087543e-05,990,2
ESTIMATE,exhaustion,-0.15788270673254728,5.902979160665673e-07,990,2
ABSOLUTE,immune_tcell_effector,-0.21371159295570516,2.557928369968332e-13,1145,3
ABSOLUTE,cytotoxic,-0.1940218535571464,3.510499981377489e-11,1145,3
ABSOLUTE,exhaustion,-0.19846194315917037,1.2097943058394879e-11,1145,3
CPE,immune_tcell_effector,-0.21416207291210554,1.4727060812022973e-13,1163,3
CPE,cytotoxic,-0.1907931845372677,5.317536238531764e-11,1163,3
CPE,exhaustion,-0.1966948765864162,1.2872330555782654e-11,1163,3
ESTIMATE_or_ABSOLUTE,immune_tcell_effector,-0.193578453926614,2.7924030673359e-11,1162,3
ESTIMATE_or_ABSOLUTE,cytotoxic,-0.1610591248190295,3.4495742087019616e-08,1162,3
ESTIMATE_or_ABSOLUTE,exhaustion,-0.18249359974469748,3.682452582839297e-10,1162,3
