pool,purity_method,signature,n,claimed_n,n_delta,partial_rho,partial_p,sign_negative,p_lt_0.05,n_within_pm50_of_1031,verdict
PanCan_LUAD_LUSC,ESTIMATE,immune_tcell_effector,990,1031,-41,-0.16973512312548258,7.866922130070045e-08,True,True,True,MATCH
PanCan_LUAD_LUSC,ESTIMATE,cytotoxic,990,1031,-41,-0.13014807727079797,4.038932850775364e-05,True,True,True,MATCH
PanCan_LUAD_LUSC,ESTIMATE,exhaustion,990,1031,-41,-0.14640147909127518,3.778707206057551e-06,True,True,True,MATCH
PanCan_LUAD_LUSC,ABSOLUTE,immune_tcell_effector,976,1031,-55,-0.19842703621481242,4.099699208274704e-10,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_LUAD_LUSC,ABSOLUTE,cytotoxic,976,1031,-55,-0.1646150314515239,2.3559045509488054e-07,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_LUAD_LUSC,ABSOLUTE,exhaustion,976,1031,-55,-0.17447388333845226,4.1802046148762075e-08,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_LUAD_LUSC,CPE,immune_tcell_effector,994,1031,-37,-0.1940235441020875,7.047152530571557e-10,True,True,True,MATCH
PanCan_LUAD_LUSC,CPE,cytotoxic,994,1031,-37,-0.15599978485261035,7.815003912551333e-07,True,True,True,MATCH
PanCan_LUAD_LUSC,CPE,exhaustion,994,1031,-37,-0.17088999495732973,6.02056929010984e-08,True,True,True,MATCH
PanCan_LUAD_LUSC,ESTIMATE_or_ABSOLUTE,immune_tcell_effector,993,1031,-38,-0.1624056319838364,2.7058338647310107e-07,True,True,True,MATCH
PanCan_LUAD_LUSC,ESTIMATE_or_ABSOLUTE,cytotoxic,993,1031,-38,-0.1222808265494975,0.00011292269943018769,True,True,True,MATCH
PanCan_LUAD_LUSC,ESTIMATE_or_ABSOLUTE,exhaustion,993,1031,-38,-0.13446922755394247,2.1451647899637015e-05,True,True,True,MATCH
PanCan_plus_OncoSG,ESTIMATE,immune_tcell_effector,990,1031,-41,-0.16973512312548258,7.866922130070045e-08,True,True,True,MATCH_sign_OncoSG_dropped_no_public_ESTIMATE
PanCan_plus_OncoSG,ESTIMATE,cytotoxic,990,1031,-41,-0.13014807727079797,4.038932850775364e-05,True,True,True,MATCH_sign_OncoSG_dropped_no_public_ESTIMATE
PanCan_plus_OncoSG,ESTIMATE,exhaustion,990,1031,-41,-0.14640147909127518,3.778707206057551e-06,True,True,True,MATCH_sign_OncoSG_dropped_no_public_ESTIMATE
PanCan_plus_OncoSG,ABSOLUTE,immune_tcell_effector,1145,1031,114,-0.2125111776904755,3.7849401234246004e-13,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_plus_OncoSG,ABSOLUTE,cytotoxic,1145,1031,114,-0.1876779197873145,1.5759484502019744e-10,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_plus_OncoSG,ABSOLUTE,exhaustion,1145,1031,114,-0.19374968374313048,3.875418018286586e-11,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_plus_OncoSG,CPE,immune_tcell_effector,1163,1031,132,-0.20330822729406245,2.631329679083371e-12,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_plus_OncoSG,CPE,cytotoxic,1163,1031,132,-0.17679025847891475,1.2966067261697493e-09,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_plus_OncoSG,CPE,exhaustion,1163,1031,132,-0.18311563763860253,3.2035196506788997e-10,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_plus_OncoSG,ESTIMATE_or_ABSOLUTE,immune_tcell_effector,1162,1031,131,-0.18722672722136408,1.2800350031879404e-10,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_plus_OncoSG,ESTIMATE_or_ABSOLUTE,cytotoxic,1162,1031,131,-0.16072080838920236,3.665665220978819e-08,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
PanCan_plus_OncoSG,ESTIMATE_or_ABSOLUTE,exhaustion,1162,1031,131,-0.16476866924447933,1.634369211597626e-08,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
Firehose_LUAD_LUSC,ESTIMATE,immune_tcell_effector,1014,1031,-17,-0.16727801202194081,8.542843593688336e-08,True,True,True,MATCH
Firehose_LUAD_LUSC,ESTIMATE,cytotoxic,1014,1031,-17,-0.12561442950060886,6.0985105026447384e-05,True,True,True,MATCH
Firehose_LUAD_LUSC,ESTIMATE,exhaustion,1014,1031,-17,-0.14211254881575508,5.609719976264936e-06,True,True,True,MATCH
Firehose_LUAD_LUSC,ABSOLUTE,immune_tcell_effector,997,1031,-34,-0.20021581623449486,1.8244938477426086e-10,True,True,True,MATCH
Firehose_LUAD_LUSC,ABSOLUTE,cytotoxic,997,1031,-34,-0.16509541194426824,1.6077159268517274e-07,True,True,True,MATCH
Firehose_LUAD_LUSC,ABSOLUTE,exhaustion,997,1031,-34,-0.17670791811953562,1.976564823164132e-08,True,True,True,MATCH
Firehose_LUAD_LUSC,CPE,immune_tcell_effector,1016,1031,-15,-0.19191102963103576,7.095101135365831e-10,True,True,True,MATCH
Firehose_LUAD_LUSC,CPE,cytotoxic,1016,1031,-15,-0.15248062518209482,1.0583364619757209e-06,True,True,True,MATCH
Firehose_LUAD_LUSC,CPE,exhaustion,1016,1031,-15,-0.16835937550254326,6.824843982349885e-08,True,True,True,MATCH
Firehose_LUAD_LUSC,ESTIMATE_or_ABSOLUTE,immune_tcell_effector,1017,1031,-14,-0.1601666551666478,2.8644358199925004e-07,True,True,True,MATCH
Firehose_LUAD_LUSC,ESTIMATE_or_ABSOLUTE,cytotoxic,1017,1031,-14,-0.1179961409303242,0.0001634804634468121,True,True,True,MATCH
Firehose_LUAD_LUSC,ESTIMATE_or_ABSOLUTE,exhaustion,1017,1031,-14,-0.130547779678714,2.993891358198462e-05,True,True,True,MATCH
Firehose_plus_OncoSG,ESTIMATE,immune_tcell_effector,1014,1031,-17,-0.16727801202194081,8.542843593688336e-08,True,True,True,MATCH_sign_OncoSG_dropped_no_public_ESTIMATE
Firehose_plus_OncoSG,ESTIMATE,cytotoxic,1014,1031,-17,-0.12561442950060886,6.0985105026447384e-05,True,True,True,MATCH_sign_OncoSG_dropped_no_public_ESTIMATE
Firehose_plus_OncoSG,ESTIMATE,exhaustion,1014,1031,-17,-0.14211254881575508,5.609719976264936e-06,True,True,True,MATCH_sign_OncoSG_dropped_no_public_ESTIMATE
Firehose_plus_OncoSG,ABSOLUTE,immune_tcell_effector,1166,1031,135,-0.213743855425465,1.6675164817717937e-13,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
Firehose_plus_OncoSG,ABSOLUTE,cytotoxic,1166,1031,135,-0.1875926603424639,1.0934576660836399e-10,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
Firehose_plus_OncoSG,ABSOLUTE,exhaustion,1166,1031,135,-0.1950767628724899,1.86969696281732e-11,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
Firehose_plus_OncoSG,CPE,immune_tcell_effector,1185,1031,154,-0.20146871334332425,2.6161242417724274e-12,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
Firehose_plus_OncoSG,CPE,cytotoxic,1185,1031,154,-0.17356000522967877,1.838726213833529e-09,True,True,False,PARTIAL_MATCH_sign_ok_n_mismatch
