gsm	library	model	treatment	pair	n_cells	spearman_rho	spearman_p
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	TACSTD2_vs_CLDN4	1175	0.3853742295755685	6.738184246422683e-43
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	TACSTD2_vs_TJ_SIG	1175	0.43449818757149805	2.7210124093248937e-55
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	TACSTD2_vs_IFN_ISG	1175	0.13148237075149652	6.130573157840078e-06
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	TACSTD2_vs_MHC1_APM	1175	0.4673566202842435	8.403073715588043e-65
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	CLDN4_vs_TJ_SIG	1175	0.671362370367709	8.421727806427509e-155
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	CLDN4_vs_IFN_ISG	1175	0.1294146724174985	8.582396932352796e-06
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	CLDN4_vs_MHC1_APM	1175	0.42419516626388887	1.6141638076791112e-52
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	TJ_SIG_vs_IFN_ISG	1175	0.16726793689691788	8.010496258340213e-09
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	TJ_SIG_vs_MHC1_APM	1175	0.4990929886090774	4.999347411521304e-75
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	TACSTD2_vs_CLDN4	1793	0.20499190578172544	1.8291517377718073e-18
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	TACSTD2_vs_TJ_SIG	1793	0.26953005978182126	3.235081353653848e-31
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	TACSTD2_vs_IFN_ISG	1793	0.1180302437423328	5.389664426801635e-07
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	TACSTD2_vs_MHC1_APM	1793	0.3341570594619342	5.0321411352043244e-48
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	CLDN4_vs_TJ_SIG	1793	0.6275159680959296	6.68517431436475e-197
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	CLDN4_vs_IFN_ISG	1793	0.10277571858721116	1.2980499394408521e-05
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	CLDN4_vs_MHC1_APM	1793	0.2782544863183701	3.067751086641509e-33
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	TJ_SIG_vs_IFN_ISG	1793	0.11110974618739568	2.4036070175388693e-06
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	TJ_SIG_vs_MHC1_APM	1793	0.37881329058607094	2.8382644793211035e-62
GSM9128164	PC9_Osi	PC9	osimertinib	TACSTD2_vs_CLDN4	1217	0.6639399941993351	1.5008439409925925e-155
GSM9128164	PC9_Osi	PC9	osimertinib	TACSTD2_vs_TJ_SIG	1217	0.7654520479024121	7.179469431783906e-235
GSM9128164	PC9_Osi	PC9	osimertinib	TACSTD2_vs_IFN_ISG	1217	0.4935804331812699	9.979357208229076e-76
GSM9128164	PC9_Osi	PC9	osimertinib	TACSTD2_vs_MHC1_APM	1217	0.5845948452015562	1.8366270276123742e-112
GSM9128164	PC9_Osi	PC9	osimertinib	CLDN4_vs_TJ_SIG	1217	0.8617853144668359	0.0
GSM9128164	PC9_Osi	PC9	osimertinib	CLDN4_vs_IFN_ISG	1217	0.4500830361627582	9.5839520196716e-62
GSM9128164	PC9_Osi	PC9	osimertinib	CLDN4_vs_MHC1_APM	1217	0.3628862320488097	3.495434731178893e-39
GSM9128164	PC9_Osi	PC9	osimertinib	TJ_SIG_vs_IFN_ISG	1217	0.5311825672095535	1.486219623816829e-89
GSM9128164	PC9_Osi	PC9	osimertinib	TJ_SIG_vs_MHC1_APM	1217	0.5554415365560815	1.9144422063703544e-99
