contrast	feature	n_library	n_cells_treat	n_cells_ctrl	log2FC_pseudobulk	direction	mwu_p_cell	rank_biserial
DFCI282_osi_vs_veh	TACSTD2	1 vs 1	1175	1793	2.146947603498086	up	4.617188891730812e-75	0.3230876576758315
DFCI282_osi_vs_veh	CLDN4	1 vs 1	1175	1793	1.687853154687329	up	3.771549555674553e-17	0.16007357216598828
DFCI282_osi_vs_veh	TJ_SIG	1 vs 1	1175	1793	1.7041868589165976	up	5.913009730871443e-82	0.4114739352802268
DFCI282_osi_vs_veh	IFN_ISG	1 vs 1	1175	1793	0.10868253042860634	up	0.0005785346982342348	-0.07459030983375059
DFCI282_osi_vs_veh	MHC1_APM	1 vs 1	1175	1793	0.0957009340284447	up	0.007776077861984221	-0.05767773018001443
DFCI282_osi_vs_veh	PRIORITY6	1 vs 1	1175	1793	-0.6749287466519623	down	6.169328774077508e-24	-0.2186175552681231
PC9_osi_vs_veh	TACSTD2	1 vs 1	1217	1420	1.3906299571245162	up	4.3132148762459655e-76	0.4045823833717175
PC9_osi_vs_veh	CLDN4	1 vs 1	1217	1420	1.640548996687506	up	8.474308594924392e-106	0.4441231613179488
PC9_osi_vs_veh	TJ_SIG	1 vs 1	1217	1420	0.8046397450188668	up	1.056513131948643e-60	0.3676444038098765
PC9_osi_vs_veh	IFN_ISG	1 vs 1	1217	1420	0.8653578072797548	up	3.429445076238838e-65	0.3821079310703994
PC9_osi_vs_veh	MHC1_APM	1 vs 1	1217	1420	0.5939231393515356	up	1.6406092527503075e-07	0.1181090652377701
PC9_osi_vs_veh	PRIORITY6	1 vs 1	1217	1420	1.5374067005911192	up	2.0107191565849618e-23	0.22107294547895417
patient357_tumor_vs_LN	TACSTD2	1 vs 1	1401	88	3.7438793008866345	up	0.004485847521292045	0.09960417883330086
patient357_tumor_vs_LN	CLDN4	1 vs 1	1401	88	8.631032459260233	up	3.574382774062784e-05	0.16559600285510356
patient357_tumor_vs_LN	TJ_SIG	1 vs 1	1401	88	4.076631706753659	up	6.904449154484984e-05	0.20370190123937437
patient357_tumor_vs_LN	IFN_ISG	1 vs 1	1401	88	-0.3021950480443203	down	0.21055568058941898	-0.07917234442930376
patient357_tumor_vs_LN	MHC1_APM	1 vs 1	1401	88	-0.7906530108653835	down	0.588971242328282	-0.034301797417429114
patient357_tumor_vs_LN	PRIORITY6	1 vs 1	1401	88	-0.8786996967794353	down	0.03698882016276176	-0.12564077606904156
