gene	present_treat	present_ctrl	n_treat	n_ctrl	mean_log1p_treat	mean_log1p_ctrl	pct_pos_treat	pct_pos_ctrl	cpm_treat	cpm_ctrl	log2FC_pseudobulk	delta_mean_log1p	mwu_U	mwu_p	rank_biserial	welch_t	welch_p	contrast	model	kind	n_library_treat	n_library_ctrl	compartment	mwu_q_focal
TACSTD2	True	True	1175	1793	0.9349250086800034	0.3103875788386832	0.48851063829787233	0.18126045733407697	459.60489836005195	102.99990065419782	2.146947603498086	0.6245374298413202	1393724.0	4.617188891730812e-75	0.3230876576758315	17.22728506723912	7.225200429685958e-62	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	8.310940005115461e-74
CLDN4	True	True	1175	1793	0.8245390409427821	0.5198656433575284	0.46808510638297873	0.33351924149470163	448.47923721444135	138.5131701702239	1.687853154687329	0.3046733975852537	1222007.0	3.771549555674553e-17	0.16007357216598828	8.586540021326128	1.6796422062537968e-17	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	9.69827028602028e-17
CLDN1	True	True	1175	1793	0.3154694211200299	0.047909501825947845	0.2119148936170213	0.03513664249860569	148.2142674455482	12.446772917192419	3.4720536006680267	0.26755991929408207	1240401.5	1.9841833432673277e-53	0.17753580709852734	12.693219343669826	4.639657209989834e-35	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	1.1905100059603967e-52
CLDN7	True	True	1175	1793	0.5421290182894027	0.31530389572546325	0.3557446808510638	0.22643614054657	183.5094683212784	77.76378308814714	1.2280905399603226	0.2268251225639395	1199804.0	4.48756878718823e-16	0.13899585859904362	8.031990962616172	1.5880264345831274e-15	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	1.0097029771173519e-15
F11R	True	True	1175	1793	0.3185801970755025	0.18585280132855803	0.22638297872340427	0.13552704963747908	96.42239659529193	39.85251145046013	1.2538287017077387	0.13272739574694448	1150507.5	9.338239100289256e-11	0.0921977904617246	5.827572926598536	6.486274770022244e-09	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	1.680883038052066e-10
PARD3	True	True	1175	1793	0.32230504819106776	0.19303325937151308	0.25957446808510637	0.14891243725599554	68.80006547515525	38.482224523796745	0.8220251127352008	0.12927178881955467	1168211.5	2.757484816124596e-13	0.10900452112826486	5.903770627485505	4.10666918571639e-09	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	5.514969632249192e-13
OCLN	True	True	1175	1793	0.3896967168422274	0.14931969549463237	0.2731914893617021	0.10652537646402677	125.19565817876763	32.88688623992125	1.8968632912841183	0.24037702134759503	1230128.0	6.333043573635325e-32	0.16778298584329132	10.094122545329387	2.2918981021544857e-23	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	2.8498696081358965e-31
TJP1	True	True	1175	1793	0.7277751719188245	0.25246567064204584	0.4876595744680851	0.19854991634132738	190.28716993871936	63.48996093540353	1.5685936113734453	0.4753095012767786	1380432.0	5.286128085168931e-68	0.3104693192201351	16.793680321657884	5.027553981462895e-59	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	4.757515276652038e-67
IFI27	True	True	1175	1793	2.354010247889294	2.761422580297958	0.865531914893617	0.8878973786949247	1680.6142388001679	2697.7523868685403	-0.6824458239625425	-0.40741233240866404	787540.5	2.1776615147380916e-31	-0.2523734143418258	-9.269802448014895	3.724315274945487e-20	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	7.839581453057129e-31
OAS2	True	True	1175	1793	0.06219954865918338	0.0751116867662808	0.05702127659574468	0.0619074177356386	11.765066958576734	17.356967737736216	-0.5241266641246284	-0.012912138107097418	1047705.5	0.5453655197646163	-0.005394026414780928	-1.1263392626686242	0.26012332370687474	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc	0.5774458444566526
