gsm	library	model	treatment	n_raw	n_fail_umi10	n_fail_gene10	n_fail_mito25	median_mito_frac	n_qc
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	6469	643	634	226	0.06763059701492537	5317
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	9274	921	913	2813	0.19632492443243937	5455
GSM9128162	DFCI282_Ositreated	DFCI282	osimertinib	2608	261	261	1215	0.183541994440656	1175
GSM9128163	DFCI282_Vehicle	DFCI282	vehicle	2421	242	242	397	0.004101722723543888	1793
GSM9128164	PC9_Osi	PC9	osimertinib	1688	169	168	385	0.06546605758934526	1217
GSM9128165	PC9_Veh	PC9	vehicle	1631	162	162	67	0.013287977038375677	1420
