group	tismo_label	cell_line	gse_id	mouse_treatment	n_baseline	n_treated	n_responders	n_nonresponders	treated_classes	mean_baseline	mean_treated	median_baseline	median_treated	delta_mean	delta_median	direction	cancer_type	cancer_bucket
p53-2336R_GSE124821_end_antiCTLA4&antiPD1	p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)	p53-2336R	GSE124821	antiPD1; antiCTLA4;	8	5	0	5	Non-responders	2.3698386213059734	4.89586858502922	1.270607697105615	5.70570022526118	2.5260299637232464	4.435092528155565	up	Mammary cancer, NOS	Mammary (pooled)
YTN16_GSE146027_day7_antiCTLA4	YTN16_GSE146027_day7_antiCTLA4(n=9)	YTN16	GSE146027	antiCTLA4	4	5	5	0	Responders	1.6592985325519836	3.7022047505238502	1.5223377592462048	3.55899455449509	2.0429062179718667	2.036656795248885	up	Gastric adenocarcinoma	Gastric adenocarcinoma
YTN16_GSE146027_day14_antiCTLA4	YTN16_GSE146027_day14_antiCTLA4(n=9)	YTN16	GSE146027	antiCTLA4	4	5	5	0	Responders	2.1198041382353887	3.9712919617959046	2.23819823327546	4.0777397372373	1.8514878235605159	1.83954150396184	up	Gastric adenocarcinoma	Gastric adenocarcinoma
B16_GSE149825_birinapant_antiCTLA4&antiPD1	B16_GSE149825_birinapant_antiCTLA4&antiPD1(n=6)	B16	GSE149825	antiPD1; antiCTLA4; birinapant	3	3	3	0	Responders	0.034774497839035766	1.5004604337252934	0.0305043535475078	1.20306801734117	1.4656859358862575	1.1725636637936623	up	Melanoma	Melanoma
EMT6_GSE107801_antiTGFb_trap_antiPDL1	EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)	EMT6	GSE107801	M7824 (anti_PDL1_TGFb_Trap)	10	10	10	0	Responders	0.23495080701674637	0.97220228367741	0.11088854003094015	0.963871624881366	0.7372514766606637	0.8529830848504258	up	Mammary carcinoma	Mammary (pooled)
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1	CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10)	CT26	GSE153239	antiGARP:TGFb FcD; antiPD1 FcS;	5	5	5	0	Responders	0.4301268946357755	0.9795424785165496	0.482335868270211	0.188559601295096	0.5494155838807742	-0.29377626697511505	up	Colorectal carcinoma	Colorectal carcinoma
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1	p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)	p53-2225L	GSE124821	antiPD1; antiCTLA4;	8	5	0	5	Non-responders	6.989574430276287	7.509093416883822	7.15319223645996	7.83853904395933	0.5195189866075349	0.6853468074993705	up	Mammary cancer, NOS	Mammary (pooled)
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1	T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)	T11	GSE124821	antiPD1; antiCTLA4;	4	4	4	0	Responders	0.21360330766742103	0.6973077323139635	0.12344802595222384	0.5215886282212195	0.48370442464654245	0.3981406022689957	up	Mammary cancer, NOS	Mammary (pooled)
D3UV2_GSE159344_antiPD1	D3UV2_GSE159344_antiPD1(n=6)	D3UV2	GSE159344	antiPD1	3	3	3	0	Responders	0.10005597973651033	0.5758237067181168	0.143115171814098	0.0870459270131905	0.47576772698160646	-0.0560692448009075	up	Melanoma	Melanoma
T11_GSE124821_day7_antiCTLA4&antiPD1	T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)	T11	GSE124821	antiPD1; antiCTLA4;	4	4	0	4	Non-responders	0.29420518717486	0.7654152631990858	0.272059894797978	0.802872662137829	0.4712100760242258	0.530812767339851	up	Mammary cancer, NOS	Mammary (pooled)
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1	CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10)	CT26	GSE153239	antiGARP:TGFb WT; antiPD1 FcS;	5	5	5	0	Responders	0.46691004130120745	0.8992465962764014	0.145664471531024	0.771318410885129	0.4323365549751939	0.625653939354105	up	Colorectal carcinoma	Colorectal carcinoma
BNL-MEA_GSE148947_antiPD1	BNL-MEA_GSE148947_antiPD1(n=6)	BNL-MEA	GSE148947	antiPD1	3	3	0	3	Non-responders	0.671056938695246	1.0991225739881736	0.235470966397632	0.991084062016367	0.4280656352929276	0.755613095618735	up	Hepatocellular carcinoma	Hepatocellular carcinoma
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1	p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)	p53-2336R	GSE124821	antiPD1; antiCTLA4;	3	5	0	5	Non-responders	1.3966837133176833	1.7834035121096157	1.40668142223428	1.70730611724121	0.3867197987919324	0.30062469500693	up	Mammary cancer, NOS	Mammary (pooled)
