group	direction_tacstd2	delta_mean_tacstd2	direction_cldn4	delta_mean_cldn4	cancer_type	cell_line
YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2	up	0.05829669496273836	down	-0.02148235918793557	Melanoma	YUMM1.7
YTN16_GSE146027_day7_antiCTLA4	up	3.1251777367730127	up	2.0429062179718667	Gastric adenocarcinoma	YTN16
YTN16_GSE146027_day21_antiCTLA4	up	0.6992851664390192	down	-1.720785199342501	Gastric adenocarcinoma	YTN16
YTN16_GSE146027_day14_antiCTLA4	up	2.3472821376747928	up	1.8514878235605159	Gastric adenocarcinoma	YTN16
YTN16_GSE146027_day10_antiPD1	up	0.13272693570410565	down	-0.44446856121180667	Gastric adenocarcinoma	YTN16
YTN16_GSE146027_anti_IL17_day10_antiPD1	up	0.14262664707550998	up	0.2889862848691599	Gastric adenocarcinoma	YTN16
T11_GSE124821_UV_end_antiCTLA4&antiPD1	down	-0.025685554832725388	down	-0.145102157030699	Mammary cancer, NOS	T11
T11_GSE124821_UV_day7_antiCTLA4&antiPD1	up	0.039252604588447426	up	0.292322312708338	Mammary cancer, NOS	T11
T11_GSE124821_UV_day3_antiCTLA4&antiPD1	up	0.20131959859231305	up	0.21908412155718351	Mammary cancer, NOS	T11
T11_GSE124821_end_antiCTLA4&antiPD1	down	-0.007456505808091887	down	-0.08747412920558256	Mammary cancer, NOS	T11
T11_GSE124821_day7_antiCTLA4&antiPD1	up	0.07571875577420442	up	0.4712100760242258	Mammary cancer, NOS	T11
T11_GSE124821_day3_antiCTLA4&antiPD1	down	-0.08335262046099307	down	-0.2751690998150079	Mammary cancer, NOS	T11
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1	up	0.25193150657899543	up	0.48370442464654245	Mammary cancer, NOS	T11
T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1	up	0.2914873136687537	up	0.15048876244312323	Mammary cancer, NOS	T11
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1	up	0.13301109456003404	up	0.07446754855833526	Mammary cancer, NOS	T11
p53-2336R_GSE124821_end_antiCTLA4&antiPD1	up	2.0178215314083214	up	2.5260299637232464	Mammary cancer, NOS	p53-2336R
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1	up	0.17639883432466702	up	0.3867197987919324	Mammary cancer, NOS	p53-2336R
p53-2225L_GSE124821_end_antiCTLA4&antiPD1	down	-0.09427974684657858	down	-0.09757175907946358	Mammary cancer, NOS	p53-2225L
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1	down	-0.11670709699906867	up	0.5195189866075349	Mammary cancer, NOS	p53-2225L
MC38_GSE93017_antiPDL1	up	0.09954429880361666	down	-0.007248704996566435	Colorectal carcinoma	MC38
MC38_GSE172162_exercise_antiPD1	down	-0.012811111085799826	down	-0.003917428591661776	Colorectal carcinoma	MC38
