analysis	n_up	n_down	n_tie	wilcoxon_p	binom_p
Tacstd2 lock (official 64)	49	15	0	5.8398482923347564e-05	2.436457216293327e-05
Cldn4 on same 64 (primary)	34	28	2	0.07785245359948166	0.52577336017565
Cldn4 median-delta on 64	35	21	8	0.08375507672805667	0.08142681460950618
Cldn4 |Δ|≥0.1	25	14	0	0.04750477915149531	0.10812902140605732
Cldn4 collapse to 17 cell lines	11	6	0	0.050537109375	0.332305908203125
