n	n_up	n_down	n_tie	mean_delta	median_delta	wilcoxon_stat	wilcoxon_p	binom_k	binom_n	binom_p	cancer_bucket	n_groups
29	14	15	0	0.05764435256135967	-0.013089217227410188	195.0	0.6391207613050938	14	29	1.0	Mammary (pooled)	29
14	7	5	2	0.13330752056713	0.0002959490452905167	30.0	0.480176889906077	7	12	0.7744140625	Melanoma	14
10	5	5	0	0.12756432888147	0.08954962517532788	17.0	0.322265625	5	10	1.0	Colorectal carcinoma	10
5	3	2	0	0.403625313169447	0.2889862848691599	5.0	0.625	3	5	1.0	Gastric adenocarcinoma	5
2	2	0	0	0.37545772362768826	0.37545772362768826	0.0	0.5	2	2	0.5	Hepatocellular carcinoma	2
2	2	0	0	0.20714677084783334	0.20714677084783334	0.0	0.5	2	2	0.5	Lung carcinoma	2
2	1	1	0	0.007801746947246446	0.007801746947246446	1.0	1.0	1	2	1.0	Sarcoma	2
