group	tismo_label	cell_line	gse_id	mouse_treatment	n_baseline	n_treated	n_responders	n_nonresponders	treated_classes	mean_baseline	mean_treated	median_baseline	median_treated	delta_mean	delta_median	direction	cancer_type
YTN16_GSE146027_day7_antiCTLA4	YTN16_GSE146027_day7_antiCTLA4(n=8)	YTN16	GSE146027	antiCTLA4	4	4	4	0	Responders	2.3768808529397325	5.502058589712745	2.294341856359835	5.473743315593585	3.1251777367730127	3.17940145923375	up	Gastric adenocarcinoma
B16_GSE149825_birinapant_antiCTLA4&antiPD1	B16_GSE149825_birinapant_antiCTLA4&antiPD1(n=6)	B16	GSE149825	antiPD1; antiCTLA4; birinapant	3	3	3	0	Responders	0.09546354910708764	2.603828633159003	0.0769801658363189	2.87369761434297	2.5083650840519156	2.7967174485066515	up	Melanoma
YTN16_GSE146027_day14_antiCTLA4	YTN16_GSE146027_day14_antiCTLA4(n=7)	YTN16	GSE146027	antiCTLA4	4	3	3	0	Responders	3.053852539184915	5.401134676859708	2.9203353916298447	5.60905462777988	2.3472821376747928	2.6887192361500354	up	Gastric adenocarcinoma
p53-2336R_GSE124821_end_antiCTLA4&antiPD1	p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)	p53-2336R	GSE124821	antiPD1; antiCTLA4;	8	5	0	5	Non-responders	0.1517336046719925	2.169555136080314	0.08224873848357489	0.785441743949315	2.0178215314083214	0.70319300546574	up	Mammary cancer, NOS
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1	KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)	KPB25L	GSE124821	antiPD1; antiCTLA4;	4	3	3	0	Responders	1.9996642373180524	3.03820159527341	1.9400286385005052	3.35069624041099	1.0385373579553576	1.4106676019104847	up	Mammary cancer, NOS
D3UV2_GSE159344_antiPD1	D3UV2_GSE159344_antiPD1(n=6)	D3UV2	GSE159344	antiPD1	3	3	3	0	Responders	0.24713071252132446	1.0959844052158763	0.240623292519232	0.33371567818056	0.8488536926945518	0.09309238566132802	up	Melanoma
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17)	LLC	GSE155972	antiPD1; antiCTL4;	10	7	7	0	Responders	0.2803433444414772	1.004972502977412	0.1774847596373155	0.29875589613712	0.7246291585359348	0.1212711364998045	up	Lung carcinoma
YTN16_GSE146027_day21_antiCTLA4	YTN16_GSE146027_day21_antiCTLA4(n=7)	YTN16	GSE146027	antiCTLA4	3	4	4	0	Responders	3.9768461088323135	4.676131275271333	5.13789844844457	4.666019879078795	0.6992851664390192	-0.4718785693657752	up	Gastric adenocarcinoma
EMT6_GSE107801_antiTGFb_trap_antiPDL1	EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)	EMT6	GSE107801	M7824 (anti_PDL1_TGFb_Trap)	10	10	10	0	Responders	0.09675844901627804	0.7434342386994304	0.07247072518300346	0.30734664094950903	0.6466757896831523	0.23487591576650557	up	Mammary carcinoma
CT26_ERP114266_day14_antiCTLA4&antiPDL1	CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10)	CT26	ERP114266	antiPDL1; antiCTL4;	5	5	5	0	Responders	0.24323700806081897	0.655811996830405	0.254270149685212	0.321343881739544	0.4125749887695861	0.06707373205433198	up	Colorectal carcinoma
