cell_line	n_groups	mean_delta	cancer_type	direction
p53-2336R	2	1.4563748812575894	Mammary cancer, NOS	up
EMT6	2	0.49047552449361265	Mammary carcinoma	up
D3UV2	1	0.47576772698160646	Melanoma	up
YTN16	5	0.403625313169447	Gastric adenocarcinoma	up
BNL-MEA	2	0.37545772362768826	Hepatocellular carcinoma	up
p53-2225L	2	0.21097361376403567	Mammary cancer, NOS	up
LLC	2	0.20714677084783334	Lung carcinoma	up
CT26	7	0.18487262191820206	Colorectal carcinoma	up
B16	11	0.13712191405855323	Melanoma	up
T11	9	0.13150353998738432	Mammary cancer, NOS	up
402230	2	0.007801746947246446	Sarcoma	up
MC38	3	-0.006155021537571454	Colorectal carcinoma	down
YUMM1.7	1	-0.02148235918793557	Melanoma	down
E0771	1	-0.03612687105161638	Mammary adenocarcinoma	down
4T1	7	-0.06788087035080512	Mammary carcinoma	down
D4M.3A.3	1	-0.09632113449793633	Melanoma	down
KPB25L	6	-0.5527001185217086	Mammary cancer, NOS	down
