cohort	min_epithelial	n_patients	n_mpr_pcr	n_non_mpr	metric	value	p_exact	mpr_mean	non_mean
IIT_EGFRmut	20	11	4	7	spearman_TACSTD2_CLDN4	0.936364			
IIT_EGFRmut	20	11	4	7	TACSTD2_log2cpm	0.455701	0.260606	9.840441	9.384740
IIT_EGFRmut	20	11	4	7	CLDN4_log2cpm	0.541750	0.193939	9.861106	9.319356
IIT_EGFRmut	20	11	4	7	TACSTD2_detect	-0.008296	0.900000	0.806437	0.814732
IIT_EGFRmut	20	11	4	7	CLDN4_detect	0.024062	0.487879	0.860875	0.836813
Real_EGFRWT	20	24	6	18	spearman_TACSTD2_CLDN4	0.341739			
Real_EGFRWT	20	24	6	18	TACSTD2_log2cpm	0.315286	0.399247	9.601710	9.286424
Real_EGFRWT	20	24	6	18	CLDN4_log2cpm	-0.366788	0.316102	9.273922	9.640710
Real_EGFRWT	20	24	6	18	TACSTD2_detect	0.026890	0.700296	0.782481	0.755592
Real_EGFRWT	20	24	6	18	CLDN4_detect	0.023638	0.685318	0.811665	0.788026
Real_EGFRWT	50	20	5	15	spearman_TACSTD2_CLDN4	0.222556			
Real_EGFRWT	50	20	5	15	TACSTD2_log2cpm	0.471987	0.263867	9.657133	9.185146
Real_EGFRWT	50	20	5	15	CLDN4_log2cpm	-0.009378	0.980070	9.551971	9.561349
Real_EGFRWT	50	20	5	15	TACSTD2_detect	0.036028	0.633385	0.761200	0.725172
Real_EGFRWT	50	20	5	15	CLDN4_detect	0.048907	0.456592	0.818442	0.769536
