accession	subset	n	TACSTD2_median	CLDN4_median	spearman_rho	note
GSE253564	all	32	78.95320000000001	52.81285	0.6873167155425219	Pretreatment tumor FPKM; GEO has arm labels only, not MPR
GSE253564	Arm1	16	69.3615	50.7155	0.7147058823529412	Durvalumab monotherapy arm
GSE253564	Arm2	16	93.94125	59.44325	0.6411764705882353	Durvalumab plus SBRT arm
GSE255144	baseline	3	564.67	133.42	0.5	One-patient HPD model; three culture replicates
GSE255144	hyperprogression	3	5.29	51.31	-0.5	Same patient after ICI hyperprogression
GSE260598	lung_tumor_nest_CD68neg	6	17.814253895	3.521918112	0.7714285714285715	Leftover lung GeoMx; not an ICI-outcome cohort
GSE260598	lung_stroma_CD68neg	6	2.2417827839999998	1.2982084244999998	0.08571428571428572	Leftover lung GeoMx stroma AOIs
GSE270711	tumor	3	47.34502461	2.247923382	1.0	Three surgical LUAD samples; not ICI-treated
GSE270711	adjacent	3	33.75058785	1.046801804	1.0	Matched adjacent tissue
