accession	sample	group	patient	TACSTD2	CLDN4
GSE248249	GSM7908985	pre	01	5.80795	5.56787
GSE248249	GSM7908986	post	01	6.40599	4.66109
GSE248249	GSM7908987	post	02	8.45764	6.06256
GSE248249	GSM7908988	post	03	9.18048	7.51547
GSE248249	GSM7908989	post	04	3.72053	4.85912
GSE248249	GSM7908990	post	05	3.90332	3.25343
GSE248249	GSM7908991	pre	06	11.5275	7.20475
GSE248249	GSM7908992	post	06	10.0073	6.70634
GSE248249	GSM7908993	post	07	4.94185	4.90921
GSE248249	GSM7908994	pre	08	4.79713	5.26493
GSE248249	GSM7908995	post	08	8.04275	5.70789
GSE248249	GSM7908996	pre	09	5.23584	6.69352
GSE248249	GSM7908997	post	09	5.07454	5.13076
GSE248249	GSM7908998	post	10	10.5941	3.92619
GSE248249	GSM7908999	post	11	4.97254	5.86459
GSE248249	GSM7909000	pre	12	3.68153	4.14891
GSE248249	GSM7909001	post	12	3.36883	3.56715
GSE248249	GSM7909002	post	13	5.23573	3.91188
GSE248249	GSM7909003	pre	14	4.83684	6.19578
GSE248249	GSM7909004	post	14	4.50206	4.58271
GSE248249	GSM7909005	post	15	7.94888	6.85491
GSE248249	GSM7909006	post	16	4.20634	4.59125
GSE248249	GSM7909007	post	17	3.32271	3.54111
GSE248249	GSM7909008	post	18	6.44173	4.32669
GSE248249	GSM7909009	pre	19	3.14193	4.8338
GSE248249	GSM7909010	post	19	3.41433	4.8181
GSE248249	GSM7909011	pre	20	4.55022	5.65674
GSE248249	GSM7909012	post	20	6.14075	6.81299
GSE248249	GSM7909013	post	21	3.92197	5.1415
GSE248249	GSM7909014	post	22	6.5436	6.76038
GSE248249	GSM7909015	post	23	4.74803	5.78336
GSE248249	GSM7909016	post	24	5.36692	4.80222
GSE248249	GSM7909017	pre	25	4.00333	5.10562
GSE248249	GSM7909018	post	25	4.46588	4.40187
GSE248249	GSM7909019	pre	26	6.07197	5.71311
GSE248249	GSM7909020	post	26	4.68536	4.82793
GSE248249	GSM7909021	pre	27	4.74391	6.44483
GSE248249	GSM7909022	post	27	5.51469	5.35796
GSE248249	GSM7909023	post	28	5.11172	4.2602
GSE248249	GSM7909024	pre	29	5.17384	5.58578
GSE248249	GSM7909025	post	29	3.55612	3.3328
GSE248249	GSM7911924	pre	23	5.17142	6.86526
GSE225620	pre1	pre		2.0	1.0
GSE225620	pre2	pre		1.0	0.0
GSE225620	pre3	pre		1.0	1.0
GSE225620	pre4	pre		0.0	0.0
GSE225620	pre5	pre		10.0	0.0
GSE225620	pre6	pre		9.0	3.0
GSE225620	pre7	pre		12.0	0.0
GSE225620	pre8	pre		3.0	0.0
GSE225620	pre9	pre		1.0	0.0
GSE225620	pre10	pre		64.0	0.0
GSE225620	pre11	pre		25.0	2.0
GSE225620	pre12	pre		13.0	0.0
GSE225620	pre13	pre		89.0	1.0
GSE225620	pre14	pre		15.0	0.0
GSE225620	pre15	pre		0.0	0.0
GSE225620	pre16	pre		4.0	1.0
GSE225620	pre17	pre		52.0	5.0
GSE225620	post1	post		2.0	0.0
GSE225620	post2	post		0.0	0.0
GSE225620	post3	post		3.0	0.0
GSE225620	post4	post		0.0	0.0
GSE225620	post5	post		1.0	2.0
GSE225620	post6	post		2.0	0.0
GSE225620	post7	post		14.0	1.0
GSE225620	post8	post		2.0	1.0
GSE225620	post9	post		5.0	5.0
GSE225620	post10	post		0.0	0.0
GSE225620	post11	post		10.0	0.0
GSE225620	post12	post		4.0	1.0
GSE225620	post13	post		3.0	0.0
GSE225620	post14	post		30.0	0.0
