accession	sample	group	patient	TACSTD2	CLDN4
GSE253564	durva001	Arm2	durva001	17.768	21.277
GSE253564	durva003	Arm2	durva003	194.638	187.3
GSE253564	durva006	Arm2	durva006	134.584	37.67
GSE253564	durva007	Arm2	durva007	1.195	3.324
GSE253564	durva008	Arm1	durva008	58.209	34.37
GSE253564	durva009	Arm2	durva009	13.416	32.606
GSE253564	durva012	Arm1	durva012	27.16	49.532
GSE253564	durva017	Arm2	durva017	156.855	68.953
GSE253564	durva018	Arm2	durva018	37.372	52.107
GSE253564	durva021	Arm2	durva021	282.755	61.311
GSE253564	durva023	Arm1	durva023	67.881	39.463
GSE253564	durva026	Arm1	durva026	6.259	1.696
GSE253564	durva027	Arm1	durva027	107.808	138.115
GSE253564	durva028	Arm1	durva028	214.636	32.288
GSE253564	durva029	Arm2	durva029	370.545	67.8
GSE253564	durva030	Arm1	durva030	70.842	51.899
GSE253564	durva033	Arm1	durva033	218.951	130.397
GSE253564	durva036	Arm1	durva036	223.134	77.5427
GSE253564	durva037	Arm2	durva037	3.70023	4.58341
GSE253564	durva038	Arm1	durva038	165.77	66.3561
GSE253564	durva039	Arm2	durva039	77.0724	25.6335
GSE253564	durva040	Arm1	durva040	28.7496	27.774
GSE253564	durva042	Arm2	durva042	63.3996	75.1548
GSE253564	durva044	Arm2	durva044	92.9111	137.3
GSE253564	durva045	Arm1	durva045	21.0694	18.5742
GSE253564	durva046	Arm2	durva046	94.9714	120.587
GSE253564	durva053	Arm1	durva053	24.5957	31.1131
GSE253564	durva055	Arm1	durva055	33.7522	53.5187
GSE253564	durva056	Arm2	durva056	104.393	57.5755
GSE253564	durva057	Arm1	durva057	80.834	134.742
GSE253564	durva060	Arm2	durva060	161.465	61.8809
GSE253564	durva061	Arm1	durva061	92.1476	132.763
GSE255144	ADK17A	baseline	single_HPD_patient	564.67	153.51
GSE255144	ADK17B	baseline	single_HPD_patient	606.29	133.42
GSE255144	ADK17C	baseline	single_HPD_patient	539.33	87.03
GSE255144	ADK18A	hyperprogression	single_HPD_patient	3.0	51.31
GSE255144	ADK18B	hyperprogression	single_HPD_patient	9.09	49.82
GSE255144	ADK18C	hyperprogression	single_HPD_patient	5.29	61.22
GSE260598	43728_stroma_001_pos	lung_other	43728	1.89896613	0.63298871
GSE260598	43728_stroma_002_pos	lung_other	43728	0.682033285	1.250394356
GSE260598	43728_stroma_003_pos	lung_other	43728	2.159899123	0.664584345
GSE260598	43728_stroma_001_neg	lung_stroma_CD68neg	43728	3.115437324	1.453870751
GSE260598	43728_stroma_002_neg	lung_stroma_CD68neg	43728	1.735248393	1.575422883
GSE260598	43728_stroma_003_neg	lung_stroma_CD68neg	43728	2.799991091	1.57072671
GSE260598	43728_tumor_004_pos	lung_other	43728	6.824753423	2.353363249
GSE260598	43728_tumor_005_pos	lung_other	43728	8.709535577	1.352937565
GSE260598	43728_tumor_006_pos	lung_other	43728	6.652663908	1.936223078
GSE260598	43728_tumor_004_neg	lung_tumor_nest_CD68neg	43728	17.89797316	3.670041143
GSE260598	43728_tumor_005_neg	lung_tumor_nest_CD68neg	43728	17.73053463	1.393113435
GSE260598	43728_tumor_006_neg	lung_tumor_nest_CD68neg	43728	15.10977463	2.457044658
GSE260598	43881_stroma_001_pos	lung_other	43881	2.285736395	1.371441837
GSE260598	43881_stroma_002_pos	lung_other	43881	2.119548964	0.770745078
GSE260598	43881_stroma_003_pos	lung_other	43881	1.30937252	0.79700936
GSE260598	43881_stroma_001_neg	lung_stroma_CD68neg	43881	2.24535246	0.938965574
GSE260598	43881_stroma_002_neg	lung_stroma_CD68neg	43881	2.238213108	0.826007218
GSE260598	43881_stroma_003_neg	lung_stroma_CD68neg	43881	1.602738276	1.142546098
GSE260598	43881_tumor_004_pos	lung_other	43881	5.645172421	1.129034484
GSE260598	43881_tumor_005_pos	lung_other	43881	24.73376137	6.068506507
GSE260598	43881_tumor_006_pos	lung_other	43881	14.54534007	11.48316321
GSE260598	43881_tumor_004_neg	lung_tumor_nest_CD68neg	43881	10.58996789	3.373795081
GSE260598	43881_tumor_005_neg	lung_tumor_nest_CD68neg	43881	35.18610517	9.371009945
GSE260598	43881_tumor_006_neg	lung_tumor_nest_CD68neg	43881	18.50217219	7.162855498
GSE270711	C4	adjacent	4	33.75058785	1.046801804
GSE270711	C5	adjacent	5	30.72593047	0.616151746
GSE270711	C6	adjacent	6	57.26419063	1.341698601
GSE270711	T4	tumor	4	47.34502461	2.247923382
GSE270711	T5	tumor	5	41.36690947	1.258233068
GSE270711	T6	tumor	6	58.63178349	4.636505534
