metric	family	sum_high	sum_low	delta	n_detected	log2_fold	cohort	patient	universe	split	receiver	mean_id	pop	n_high	n_low	n_recv	n_high_used	n_low_used	n_recv_used	expr_max	n_mal
pathway_sum	barrier_inhibitory	0.0954426580668527	0	0.0954426580668527	3	NA	GSE189357	TD3	barrier_pathway	top10	CD8	trimean	FALSE	66	66	1160	66	66	200	3.78978394865538	664
pathway_sum	barrier_inhibitory	0.0110145271934265	0	0.0110145271934265	3	NA	GSE123902	LX680	barrier_pathway	top10	CD8	trimean	FALSE	25	25	78	25	25	78	4.71949044301739	258
pathway_sum	barrier_inhibitory	0.0418749734306163	0.0494800610138599	-0.00760508758324366	3	-0.240759004224594	GSE123902	LX682	barrier_pathway	top10	CD8	trimean	FALSE	42	42	767	42	42	200	3.98041791650281	421
pathway_sum	barrier_inhibitory	0.0834406106123069	0	0.0834406106123069	3	NA	GSE205335	P1015	barrier_pathway	top10	CD8	trimean	FALSE	29	29	123	29	29	123	3.71162284333971	291
pathway_sum	barrier_inhibitory	0.369232720493531	0.0249080876222802	0.344324632871251	4	3.88984424212978	GSE205335	P1017	barrier_pathway	top10	CD8	trimean	FALSE	218	218	1036	200	200	200	3.87565676020009	2186
pathway_sum	barrier_inhibitory	0.377221786276867	0.00476820859240528	0.372453577684462	4	6.30582184037626	GSE205335	P1018	barrier_pathway	top10	CD8	trimean	FALSE	118	118	1015	118	118	200	3.87268178292185	1180
pathway_sum	barrier_inhibitory	0.279510376980141	0	0.279510376980141	4	NA	GSE205335	P1027	barrier_pathway	top10	CD8	trimean	FALSE	131	131	1783	131	131	200	4.39840779213456	1318
pathway_sum	barrier_inhibitory	0.0751546370433157	0	0.0751546370433157	3	NA	GSE205335	P1030	barrier_pathway	top10	CD8	trimean	FALSE	60	60	44	60	60	44	4.10890864785841	603
pathway_sum	barrier_inhibitory	0.245348457731523	0.212298460240358	0.0330499974911656	3	0.208738294912821	GSE205335	P1062	barrier_pathway	top10	CD8	trimean	FALSE	18	18	535	18	18	200	3.59108382482171	188
pathway_sum	barrier_inhibitory	0.351335590480675	0.142119189732799	0.209216400747875	4	1.30574836119501	GSE205335	P1063	barrier_pathway	top10	CD8	trimean	FALSE	13	13	525	13	13	200	3.76740243665322	131
pathway_sum	barrier_inhibitory	0.28204400735123	0.0747974173489987	0.207246590002232	4	1.91485992219302	GSE205335	P1072	barrier_pathway	top10	CD8	trimean	FALSE	40	40	161	40	40	161	3.99880951773718	406
pathway_sum	barrier_inhibitory	0.233071643841311	0	0.233071643841311	4	NA	GSE205335	P1079	barrier_pathway	top10	CD8	trimean	FALSE	54	54	230	54	54	200	4.34615075302077	543
pathway_sum	barrier_inhibitory	0.546772128281809	0.0104710219564546	0.536301106325354	4	5.70646554423242	GSE205335	P1084	barrier_pathway	top10	CD8	trimean	FALSE	19	19	838	19	19	200	4.15009397164243	196
pathway_sum	barrier_inhibitory	0.232904488102847	0.386564866915556	-0.153660378812708	4	-0.73097208290221	GSE205335	P1090	barrier_pathway	top10	CD8	trimean	FALSE	56	56	218	56	56	200	3.96169643183666	566
pathway_sum	barrier_inhibitory	0.186694003428225	0	0.186694003428225	4	NA	GSE205335	P1119	barrier_pathway	top10	CD8	trimean	FALSE	122	122	489	122	122	200	3.91723109463352	1222
pathway_sum	barrier_inhibitory	0.277444940780494	0.0208330679640307	0.256611872816463	3	3.7352542782333	GSE131907	BRONCHO_11	barrier_pathway	top10	CD8	trimean	FALSE	20	20	155	20	20	155	3.73956810564794	203
pathway_sum	barrier_inhibitory	0.748560424849054	0.167391041653468	0.581169383195586	3	2.16089645680171	GSE131907	EBUS_12	barrier_pathway	top10	CD8	trimean	FALSE	25	25	33	25	25	33	3.44974090401994	257
pathway_sum	barrier_inhibitory	0.21769062190507	0	0.21769062190507	4	NA	GSE131907	EBUS_15	barrier_pathway	top10	CD8	trimean	FALSE	25	25	114	25	25	114	3.61481782008955	256
pathway_sum	barrier_inhibitory	0.0619405654236976	0	0.0619405654236976	3	NA	GSE131907	EBUS_49	barrier_pathway	top10	CD8	trimean	FALSE	11	11	370	11	11	200	3.30140016268966	114
