universe	split	receiver	mean_id	pop	metric	family	filter	n	n_gse123902	n_gse131907	n_gse205335	n_gse189357	mean_delta	median_delta	cohort_mean_123902	cohort_mean_131907	cohort_mean_205335	cohort_mean_189357	n_cohorts_positive	all4_positive	p_signflip_greater	p_signflip_less	p_signflip_two	p_wilcox	cliff	cliff_notie	cohen_d	n_pos	n_neg	n_zero	median_expr_max	eligible	eligible_fold
edges14	q4q1	TNK	trunc10	FALSE	edge_sum	barrier_inhibitory	all	64	13	21	21	9	0.032649115948482	0.0191871583743346	0.0126468964408538	0.0291646347553331	0.0520846466569791	0.0243220952570216	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.00000000204153293437859	0.71875	0.741935483870968	0.765865912593361	54	8	2	5.16647943924791	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_sum	barrier_inhibitory	drop_zero_delta	62	13	20	20	9	0.0337023132371427	0.02012356976165	0.0126468964408538	0.0306228664930998	0.054688878989828	0.0243220952570216	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.00000000204153293437859	0.741935483870968	0.741935483870968	0.785507180162568	54	8	0	5.16969960159803	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_sum	barrier_inhibitory	detected_ge3	56	11	19	18	8	0.0372486833413048	0.022998132541295	0.0150326255419091	0.0322053174203454	0.0606415749681126	0.0271397507174349	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.00000000460461755933325	0.75	0.75	0.852470723988765	49	7	0	5.18094196640579	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_sum	barrier_inhibitory	min_arm_30	58	10	18	21	9	0.0345810956410805	0.0191871583743346	0.016515044757321	0.0293264812499836	0.0520846466569791	0.0243220952570216	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.00000000325949785339753	0.724137931034483	0.75	0.792634134911055	49	7	2	5.16647943924791	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_sum	barrier_inhibitory	min_arm_50	51	7	17	18	9	0.0355037758498995	0.0196650873710878	0.0139046709622701	0.0299510254777719	0.054738532287426	0.0243220952570216	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.0000000119948192512312	0.764705882352941	0.795918367346939	0.814506127794534	44	5	2	5.17402014058296	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_sum	barrier_inhibitory	min_recv_50	62	12	20	21	9	0.033656462995455	0.02012356976165	0.0134214735127663	0.030648329322763	0.0520846466569791	0.0243220952570216	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.0000000027731140905636	0.741935483870968	0.766666666666667	0.783810626507626	53	7	2	5.16969960159803	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_sum	barrier_inhibitory	min_arm_30_detected	56	10	17	20	9	0.0358161347711191	0.02012356976165	0.016515044757321	0.0310515683823355	0.054688878989828	0.0243220952570216	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.00000000325949785339753	0.75	0.75	0.815778016849578	49	7	0	5.17047968072926	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_sum	barrier_inhibitory	both_arms_positive	53	10	18	18	7	0.0361101335091659	0.0205820521522121	0.0137883892119078	0.0314585587132951	0.0570624935403167	0.0260820347573862	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.000000036620510423541	0.773584905660377	0.773584905660377	0.796346973300961	47	6	0	5.18786379222863	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_mean_detected	barrier_inhibitory	all	62	13	20	20	9	0.00609636951783985	0.00468154117368925	0.00307604725577	0.00615506463286332	0.00869826946299776	0.00454662376264881	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.000000000781151096636085	0.741935483870968	0.741935483870968	0.938309729020195	54	8	0	5.16969960159803	TRUE	FALSE
edges14	q4q1	TNK	trunc10	FALSE	edge_mean_detected	barrier_inhibitory	drop_zero_delta	62	13	20	20	9	0.00609636951783985	0.00468154117368925	0.00307604725577	0.00615506463286332	0.00869826946299776	0.00454662376264881	4	TRUE	0.0000999900009999	1	0.0000999900009999	0.000000000781151096636085	0.741935483870968	0.741935483870968	0.938309729020195	54	8	0	5.16969960159803	TRUE	FALSE
