interaction_name	n	mean_delta	c1	c2	c3	c4	p_signflip_greater
JAM1_ITGAL_ITGB2	19	0.0503171726799216	0.000979615268794945	0.014661055718828	0.0702822208092336	0.0520361777948052	0.0000999900009999
NECTIN2_TIGIT	19	0.0273970846840426	0.0138756057820068	0.0505051105012074	0.0238225871402468	0.00490190974500571	0.0000999900009999
CDH1_ITGAE_ITGB7	19	0.0138952235620032	0.0115895292612196	0.0133518006100379	0.0156185822262892	0	0.0010998900109989
CDH1_KLRG1	19	0.0247293614037862	0	0.0333024990742786	0.0248452749873152	0.0385045705270419	0.0001999800019998
LGALS9_HAVCR2	19	0.00206534618872224	-0.00273891480940814	0.00819911659189834	0.000993578403078785	0	0.1999800019998
LGALS9_CD44	19	0.0226562261627427	-0.00768638119410435	0.0516131875375508	0.0199490257775098	0	0.0193980601939806
LGALS9_CD45	19	0.0366933729348347	-0.0126208154090145	0.0772319241846481	0.0344573349867746	0	0.0162983701629837
