section	dataset	histology	source	n_raw	has_CLDN4	has_CD8A	has_KRT8	status	contrast_ok	n_qc	median_umi	n_epi	epi_genes	um_per_px	n_CLDN4_pos	n_CD8A_pos	pct_CLDN4_pos	pct_CD8A_pos	pct_CLDN4_pos_epi	iqr_CLDN4_epi	CD8A_high_rule	n_CD8A_high	n_epi_with_nbr	sd_nbCD8A_epi	lag_rho_ring1	lag_p_ring1	lag_n_ring1	lag_rho_ring1_lo	lag_rho_ring1_hi	lag_rho_annulus	lag_p_annulus	lag_n_annulus	lag_rho_annulus_lo	lag_rho_annulus_hi	n_Q1	n_Q4	CLDN4_Q1	CLDN4_Q4	mean_nbCD8A_Q4	mean_nbCD8A_Q1	delta_nbCD8A_Q4_minus_Q1	delta_nbCD8A_lo	delta_nbCD8A_hi	n_delta_Q4	n_delta_Q1	p_nbCD8A_Q4_vs_Q1	morisita_horn_Q4epi_CD8hi	frac_Q4_with_CD8hi_nbr	lag_rho_KRT8resid_ring1	lag_p_KRT8resid_ring1	lag_n_KRT8resid_ring1	lag_rho_KRT8resid_lo	lag_rho_KRT8resid_hi	delta_nbCD8A_residQ4_minus_Q1	delta_nbCD8A_resid_lo	delta_nbCD8A_resid_hi	n_interface_epi	lag_rho_interface	lag_p_interface	lag_n_interface	lag_rho_interface_lo	lag_rho_interface_hi	delta_nbCD8A_interface_Q4_minus_Q1	delta_nbCD8A_interface_lo	delta_nbCD8A_interface_hi	n_interface_Q1	n_interface_Q4
10x_LUSC_FFPE	10x_CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma	LUSC	https://www.10xgenomics.com/datasets/human-lung-cancer-ffpe-2-standard	3858	1	1	1	ok	1	3830	13844.0	1915	KRT8,KRT19,EPCAM	0.2147402628606651	2628	712	68.61618798955614	18.59007832898173	89.34725848563968	0.5013690339446104	gt0	712	1915	0.1026853162550057	0.0397294201972217	0.0821863610855137	1915.0	-0.0050729461512417	0.0843726080419192	0.0290582101311498	0.2037122482330852	1915.0	-0.0157556360948649	0.0737555473260404	478.0	478.0	0.5532725443304544	1.0552555828342576	0.0901790363383626	0.0909490117600051	-0.0007699754216424	-0.0149375473998743	0.0133975965565893	478.0	478.0	0.0667982652863958	0.5114738408285386	0.6924686192468619	0.0225305735532995	0.3244103080988947	1915.0	-0.0222852556293165	0.0672560359088593	-0.0066258541070861	-0.0210311435945332	0.0077794353803609	1047.0	0.0398063538089499	0.1980940131357254	1047.0	-0.0208289507053863	0.1001498971673335	-0.0089557183654267	-0.0311664313753267	0.0132549946444733	261.0	261.0
10x_NEC_11mm_FFPE	10x_CytAssist_11mm_FFPE_Human_Lung_Cancer	lung_neuroendocrine	https://www.10xgenomics.com/datasets/human-lung-cancer-11-mm-capture-area-ffpe-2-standard	6195	1	1	1	no_contrast:no_CLDN4_contrast	0	6195	66268.0	3098	KRT8,KRT19,EPCAM	0.2509158572709672	1357	974	21.904761904761905	15.722356739305893	21.69141381536475	0.0	gt0	974	3097	0.0316400919743297																																											
GSE189487_TD1_IAC	GSE189487	LUAD_IAC	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	4095	1	1	1	ok	1	4092	8291.0	2046	KRT8,KRT18,KRT19,EPCAM	0.5	3136	541	76.63734115347019	13.220918866080156	92.17986314760508	0.6971464754646048	gt0	541	2046	0.1165590809022628	-0.035815681118883	0.10532453956173	2046.0	-0.0790283243599434	0.0075313098892786	-0.035815681118883	0.10532453956173	2046.0	-0.0790283243599434	0.0075313098892786	511.0	511.0	1.19614343445756	1.895374824902364	0.0921469454811797	0.1096166034250502	-0.0174696579438705	-0.031979004727081	-0.0029603111606599	511.0	511.0	0.0266817202070808	0.3335847521542466	0.5459882583170255	-0.0340738926652384	0.1233750292912586	2046.0	-0.0772950603793738	0.0092751047643971	-0.0120311343631344	-0.0263333343319603	0.0022710656056914	1296.0	-0.0290900652717079	0.2953518027288008	1296.0	-0.0834105921829661	0.0254028254878735	-0.0052191734221456	-0.0245884122395285	0.0141500653952372	324.0	324.0
GSE189487_TD2_IAC	GSE189487	LUAD_IAC	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	4992	1	1	1	ok	1	4409	6414.0	2205	KRT8,KRT18,KRT19,EPCAM	0.5	4112	327	93.26377863461104	7.416647765933318	96.14512471655328	0.6437833935202673	gt0	327	2204	0.1034079477391974	-0.0096174331510011	0.651800874212357	2204.0	-0.0513496044242551	0.0321482670829759	-0.0096174331510011	0.651800874212357	2204.0	-0.0513496044242551	0.0321482670829759	551.0	551.0	1.6758070046106714	2.3203626111359186	0.0622559061112293	0.0673516230014071	-0.0050957168901777	-0.0173609458143834	0.0071695120340279	551.0	551.0	0.5322487030458998	0.3203681483716331	0.3502722323049002	-0.0126050643370516	0.5542156322871692	2204.0	-0.0543292619773267	0.0291630750376679	-0.0059764487525553	-0.0186408614901959	0.0066879639850852	1894.0	-0.0144883823689062	0.5285946141558115	1894.0	-0.0594905978465746	0.0305726058131303	-0.0078189037899362	-0.0211119190144532	0.0054741114345807	473.0	473.0
GSE189487_TD3_MIA	GSE189487	LUAD_MIA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	1140	1	1	1	ok	1	1137	5894.0	569	KRT8,KRT18,KRT19,EPCAM	0.5	584	109	51.363236587511	9.586631486367637	66.95957820738137	1.3821090037396973	gt0	109	567	0.121978021239746	-0.0293711705420806	0.4851856360599049	567.0	-0.111444152281854	0.0530997599704998	-0.0293711705420806	0.4851856360599049	567.0	-0.111444152281854	0.0530997599704998	141.0	141.0	0.0	1.3866694783484217	0.0631011151097717	0.0806186978915121	-0.0175175827817403	-0.0475819476442694	0.0125467820807887	141.0	141.0	0.4821739311744871	0.2114216098439222	0.3333333333333333	-0.027427232542854	0.5145482087853477	567.0	-0.1095223931597465	0.055039579299093	-0.008567417228436	-0.0408162802743669	0.0236814458174949	465.0	-0.0032853167039082	0.9436734355635416	465.0	-0.094191060328189	0.0876747587162665	0.0085249303447751	-0.0238790988101257	0.040928959499676	116.0	116.0
GSE189487_TD5_AIS	GSE189487	LUAD_AIS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	1700	1	1	1	ok	1	1699	9788.0	850	KRT8,KRT18,KRT19,EPCAM	0.499993750117185	1318	314	77.5750441436139	18.48145968216598	93.88235294117648	0.6323239127047235	gt0	314	848	0.1344292061463826	-0.0371256179497494	0.2801903201482624	848.0	-0.1041880330770455	0.0302728689443269	-0.0371256179497494	0.2801903201482624	848.0	-0.1041880330770455	0.0302728689443269	212.0	212.0	1.18589993688206	1.8176379761027368	0.1088367939645248	0.127804710593671	-0.0189679166291461	-0.0444883317018577	0.0065524984435653	212.0	212.0	0.310504983005997	0.3003928862945162	0.6084905660377359	-0.0576985339147633	0.0931272425829085	848.0	-0.1245375993976112	0.0096618195724752	-0.0270169619025542	-0.0539084319725483	-0.00012549183256	650.0	-0.0302371394681666	0.4415425539815666	650.0	-0.1068905848349448	0.0467736207270215	-0.0132560600712065	-0.0440435482959596	0.0175314281535464	162.0	162.0
GSE189487_TD6_MIA	GSE189487	LUAD_MIA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	3911	1	1	1	ok	1	3909	8267.0	1955	KRT8,KRT18,KRT19,EPCAM	0.5	2910	196	74.44359171143515	5.014070094653364	84.24552429667519	0.7315890607692654	gt0	196	1954	0.0693630746667015	-0.0098557780628622	0.663274058207982	1954.0	-0.0541760684695627	0.0345032691432739	-0.0098557780628622	0.663274058207982	1954.0	-0.0541760684695627	0.0345032691432739	488.0	488.0	0.7586219118173895	1.4907148117644125	0.0350392539518998	0.0323094625583994	0.0027297913935004	-0.006226678396937	0.0116862611839378	488.0	488.0	0.8601678129114153	0.2034559635095691	0.2315573770491803	-0.0100002883859363	0.6586472219640643	1954.0	-0.0543201677224929	0.0343589159089095	0.0032432315959919	-0.0059917679178919	0.0124782311098759	1759.0	-0.0018969221489332	0.9366339334856316	1759.0	-0.0486305226530497	0.0448449657219004	0.0038045183695374	-0.0059225309603426	0.0135315676994176	439.0	439.0
GSE189487_TD8_AIS	GSE189487	LUAD_AIS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	1760	1	1	1	ok	1	1760	16965.5	880	KRT8,KRT18,KRT19,EPCAM	0.499993750117185	1733	257	98.4659090909091	14.602272727272728	99.54545454545456	0.4002548645687902	gt0	257	880	0.0793202012107634	0.0500648135623279	0.1378136808996408	880.0	-0.0160751907832273	0.1157685963629685	0.0500648135623279	0.1378136808996408	880.0	-0.0160751907832273	0.1157685963629685	220.0	220.0	1.8842073385162372	2.2870463519016155	0.0774431379100731	0.0689568021973978	0.0084863357126753	-0.0065473961281574	0.023520067553508	220.0	220.0	0.1950715524305661	0.483870204008757	0.6681818181818182	0.0614568027379558	0.0684193754183506	880.0	-0.0046488962625032	0.1270276992850567	0.0110371305585962	-0.0037572707333319	0.0258315318505243	727.0	0.0573755161033466	0.1221954442444851	727.0	-0.0154016699787959	0.1295479806565681	0.0121113565389162	-0.0039805963070513	0.0282033093848838	181.0	181.0
GSE273378_LM_SD_1216_1	GSE273378	LUAD_stageI	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273378	2401	1	1	1	ok	1	2400	6557.5	1200	KRT8,KRT18,EPCAM	0.4262226146325406	1537	322	64.04166666666666	13.416666666666666	80.91666666666667	1.2601224132331776	gt0	322	1199	0.1247490964875279	0.063500638127559	0.0278967191975903	1199.0	0.0069122650792534	0.1196836009576878	0.0779905274083896	0.006895599745667	1199.0	0.0214721106391631	0.1340120471497488	299.0	299.0	0.742249148332318	2.011789369868985	0.0950908179442439	0.0803444745726422	0.0147463433716017	-0.0042849958681573	0.0337776826113608	299.0	299.0	0.0256619685021548	0.3707992606698779	0.5351170568561873	0.0659925463339339	0.0223008644519808	1199.0	0.0094144968980603	0.1221494124089859	0.0152442083979713	-0.0037048135356547	0.0341932303315974	917.0	0.0906146382168602	0.0060344948178394	917.0	0.02602815335133	0.1544477729038193	0.029070584256911	0.0070531617115334	0.0510880068022886	229.0	229.0
GSE273378_LM_SD_16	GSE273378	LUAD_stageI	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273378	2756	1	1	1	no_contrast:no_CD8A_contrast	0	2755	4965.0	1378	KRT8,KRT18,EPCAM	0.4262774681599721	2514	54	91.25226860254084	1.9600725952813067	97.2423802612482	0.6173816365723557	gt0	54	1378	0.0671151249619216																																											
