lineage	clusters	is_barrier_lineage
Lineage1	6 → 13 → 0 → 17 → 23 → 12 → 7 → 24 → 19 → 22 → 8	False
Lineage2	6 → 13 → 0 → 18 → 20 → 3 → 10 → 2 → 1	False
Lineage3	6 → 13 → 0 → 18 → 20 → 3 → 10 → 9	False
Lineage4	6 → 13 → 0 → 17 → 23 → 12 → 26	False
Lineage5	6 → 13 → 0 → 18 → 20 → 3 → 11	False
Lineage6	6 → 13 → 0 → 18 → 20 → 21	True
Lineage7	6 → 13 → 0 → 16 → 15	False
Lineage8	6 → 13 → 4 → 14 → 5	False
Lineage9	6 → 13 → 25	False
