a	b	connectivity
0	1	0.15437336554005318
0	2	0.014646713375888612
0	3	0.26709527351324946
0	4	0.08670400380293279
0	5	0.005539431994901099
0	6	0.07551058787842811
0	7	0.203737341219608
0	9	0.043712792793520514
0	10	0.041200675676361584
0	12	0.29959255548729913
0	13	0.1007197652162221
0	14	0.005955055643978312
0	15	0.0009120355490777594
0	16	0.1749284183131143
0	17	0.42504952555058373
0	18	0.12556809435960586
0	19	0.007619909910036766
0	20	0.07186125882025636
0	21	0.30143054662525803
0	22	0.12520346671968535
0	23	0.7597563058858292
0	24	0.3367644732543654
0	25	0.024296627027431517
1	2	0.46356971722084145
1	3	0.011062810761437841
1	4	0.19959101126358259
1	5	0.0037802569436069
1	6	0.030930510087901607
1	7	0.016926100464999896
1	8	0.0006624696855185869
1	9	0.0971795091940682
1	10	0.15876419816007656
1	11	0.0027977025561983296
1	12	0.01513716301747958
1	13	0.21489351259579217
1	14	0.00047412046120447887
1	15	0.028754765268725693
1	16	0.0756337462219815
1	17	0.23345180481666522
1	18	0.011284066976666597
1	19	0.10313394548566245
1	20	0.11216090669578245
1	21	0.029767784048875073
1	22	0.018740323247467494
1	23	0.13833832110817224
1	24	0.03388509908445071
1	25	0.011606468890285644
1	26	0.001277441544528294
2	3	0.4237148954965991
2	4	0.035276584847708105
2	5	0.10531132554422465
2	6	0.009967261305232006
2	7	0.04318053664141629
2	8	0.1460195055114821
2	9	0.3835538058967084
2	10	0.30795421480699986
2	11	0.012371283225088965
2	12	0.11655234280447323
2	13	0.059005143759844815
2	14	0.009676310731970037
2	15	0.05957469147953445
2	16	0.014938131594868339
2	17	0.04206008359483263
2	18	0.03151421621548978
2	19	0.04085900241338315
2	20	0.01664791774126893
2	21	0.016954321135280018
2	22	0.024413024249563983
2	23	0.021036671697100242
2	24	0.008057009752334235
2	26	0.20422492801474873
3	4	0.04451662261025985
3	5	0.07548963102108336
3	6	0.17846209360043197
3	7	0.23888526512755637
3	8	0.02790960249175528
3	9	0.29640196491101706
3	10	0.4477544018357531
3	12	0.180881453027054
3	13	0.06544615008774127
3	14	0.028763307979738386
3	15	0.02643114787327311
3	16	0.3731197041443721
3	17	0.06661203210277737
3	18	0.45337533428764826
3	19	0.03067055241567086
3	20	0.05842185948093449
3	21	0.25898741315907586
3	22	0.12497979168110118
3	23	0.002742655167939798
3	24	0.37920606030430604
3	25	0.05541730670762928
4	5	0.31437534493275626
4	6	0.10419886760305822
4	7	0.018919564609360433
4	9	0.17056784226706914
4	10	0.13493022822179532
4	11	0.0896464218404957
4	12	0.06152703938003393
4	13	0.12637159790063565
4	14	0.08479356687668542
4	15	0.0019479603201400706
4	16	0.1499929446507854
4	17	0.05286904282056808
4	18	0.010621509956132173
4	19	0.0027124823812703126
4	20	0.03039287487447459
4	21	0.05571405529136814
4	23	0.25226086145813914
4	24	0.0029418176263339836
4	25	0.07784049439279721
5	6	0.025310499394860502
5	8	0.0034333018542621573
5	9	0.10926086061117204
5	10	0.003400033425441788
5	11	0.02658207950799943
5	12	0.019612387929682507
5	13	0.007827228000443427
5	14	0.4717760665621411
5	15	0.006773811766517229
5	16	0.05373890668103669
5	18	0.00769481248915773
5	21	0.0017938826661840106
6	7	0.8101940811227863
6	9	0.04056601298404595
6	10	0.00539435827066106
6	11	0.033958345099368084
6	12	0.2941898803219056
6	13	0.2321474827258102
6	14	0.0077968875844848925
6	15	0.01381765019798674
6	16	0.06591530909261822
6	17	0.03254150087656269
6	18	0.01953325521165689
6	21	0.0024395169742866844
6	22	0.0023418213592975826
6	23	0.010195929918172551
6	24	0.10858813991569777
6	25	0.028781653597584233
7	9	0.170837159912754
7	10	0.2537274943735934
7	12	0.5588193351691582
7	13	0.12933795411089866
7	15	0.012637392576908706
7	16	0.21820564516129032
7	17	0.03266551574270813
7	18	0.43641129032258064
7	19	0.023462972597988206
7	20	0.04600721434123591
7	21	0.046853972887393625
7	22	0.030841787301949166
7	23	0.3566823045905707
7	24	0.47712604627104294
7	25	0.01246889400921659
7	26	0.028819613511868535
8	9	0.0364711958539948
8	10	0.07944500802304294
8	11	0.022586018809856834
8	15	0.003956913527016425
8	19	0.0036732638118181144
8	22	0.42007600708721365
8	24	0.0009959578265279435
9	10	0.8343210135274032
9	11	0.043639845507390196
9	12	0.23485374533460635
9	13	0.10571532926984255
9	14	0.08352618972052143
9	15	0.028782673484774278
9	16	0.10745531434315729
9	17	0.003719916383511247
9	18	0.06539221432067138
9	19	0.1102175225243574
9	20	0.02806744138763757
9	21	0.053356837451836156
9	22	0.11634268519596482
9	23	0.00895999090451507
9	24	0.1992270086446111
9	25	0.017749315315610803
9	26	0.21098242733650577
10	11	0.004193842882208155
10	12	0.2722929207911734
10	13	0.1862932272265007
10	16	0.06034599866182762
10	18	0.44335541122122635
10	20	0.07642394408843176
10	21	0.13075527317412175
10	22	0.09682886711077063
10	23	0.009758749783599746
10	24	0.029589212171847627
10	26	0.065107432518507
11	13	0.001379237047303638
11	14	0.006061688871763048
11	16	0.007798280818808678
11	17	0.01079851760089525
11	23	0.010403956380862538
12	13	0.7774523756154726
12	14	0.09839155961361729
12	17	0.2581372463570106
12	18	0.2969165389871216
12	19	0.03433605746047055
12	20	0.03206077654441527
12	21	0.17631460180621994
12	22	0.04513432288090122
12	23	0.240517479422623
12	24	0.1768857537395086
12	26	0.1566501640366373
13	15	0.00386612392410209
13	16	0.09742632288737267
13	17	0.5336408537393849
13	18	0.0562147983911546
13	20	0.00603208491772555
13	21	0.045049435827267295
13	22	0.0035382547573937855
13	23	0.014442203312631364
13	24	0.027246968607957583
13	25	0.1487684485994484
13	26	0.00755717808560333
15	16	0.04736175956751371
15	21	0.14885763035377125
15	24	0.009824989369802686
16	17	0.011300502743423355
16	18	0.024831367870417106
16	20	0.019895011607020934
16	21	0.34733447082546626
16	22	0.04667946186240954
16	24	0.06327293154152931
16	25	0.010783908332295429
17	18	0.15404369529192888
17	20	0.06454391062414619
17	21	0.24689518647249337
17	23	0.5502883036656215
17	24	0.0015237558363945484
18	19	0.024697865892619165
18	20	0.11899610325853499
18	21	0.41710604435093274
18	23	0.008834236646206086
18	24	0.05625064966563875
19	22	0.10943860010369057
19	23	0.013536330344993196
19	24	0.04104310075449832
19	25	0.010725930330508894
20	21	0.7096643053512287
20	22	0.001857938994093323
20	23	0.03033442703817752
20	24	0.013796415795789194
20	25	0.003004552773305202
20	26	0.001984138623880794
21	22	0.015137073522429038
21	23	0.1338684939639818
22	23	0.03262112118475392
22	24	0.06294242306520237
22	25	0.014099102766605332
23	24	0.036702003559311
24	25	0.023265574827692762
