label	family	cohorts	unit_kind	k	n	n_malignant	n_epithelial_like	rho_mean	p_mean	rho_pct	p_pct	n_spearman	spearman_ok	merge_ok	r_rb	p_q4q1	n_q1	n_q4	n_compared	delta_median	thin_q4q1	q4q1_ok	clear_q4_drop	rho_neg_sig	cellchat_trigger	note	malignant_only_filter
GSE117570	patient_malignant	GSE117570	patient	1	2	2	0					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	True
GSE143423	patient_malignant	GSE143423	patient	1	2	2	0					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	True
GSE117570+GSE143423	patient_malignant	GSE117570+GSE143423	patient	2	4	4	0	-1.0	0.0	-0.39999999999999997	0.6	4	False	False			0	0	0		True	False	False	False	False	n=4<5; Spearman not a claim	True
GSE117570	patient_mixed	GSE117570	patient	1	2	2	0					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	False
GSE143423	patient_mixed	GSE143423	patient	1	2	2	0					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	False
GSE146100	patient_mixed	GSE146100	patient	1	1	0	1					1	False	False			0	0	0		True	False	False	False	False	n=1<5; Spearman not a claim	False
GSE149655	patient_mixed	GSE149655	patient	1	2	0	2					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	False
GSE117570+GSE143423	patient_mixed	GSE117570+GSE143423	patient	2	4	4	0	-1.0	0.0	-0.39999999999999997	0.6	4	False	False			0	0	0		True	False	False	False	False	n=4<5; Spearman not a claim	False
GSE117570+GSE146100	patient_mixed	GSE117570+GSE146100	patient	2	3	2	1	0.5	0.6666666666666666	-0.5	0.6666666666666666	3	False	False			0	0	0		True	False	False	False	False	n=3<5; Spearman not a claim	False
GSE117570+GSE149655	patient_mixed	GSE117570+GSE149655	patient	2	4	2	2	-0.39999999999999997	0.6	0.39999999999999997	0.6	4	False	False			0	0	0		True	False	False	False	False	n=4<5; Spearman not a claim	False
GSE143423+GSE146100	patient_mixed	GSE143423+GSE146100	patient	2	3	2	1	-0.5	0.6666666666666666	0.5	0.6666666666666666	3	False	False			0	0	0		True	False	False	False	False	n=3<5; Spearman not a claim	False
GSE143423+GSE149655	patient_mixed	GSE143423+GSE149655	patient	2	4	2	2	0.0	1.0	0.0	1.0	4	False	False			0	0	0		True	False	False	False	False	n=4<5; Spearman not a claim	False
GSE146100+GSE149655	patient_mixed	GSE146100+GSE149655	patient	2	3	0	3	-0.5	0.6666666666666666	0.5	0.6666666666666666	3	False	False			0	0	0		True	False	False	False	False	n=3<5; Spearman not a claim	False
GSE117570+GSE143423+GSE146100	patient_mixed	GSE117570+GSE143423+GSE146100	patient	3	5	4	1	-0.39999999999999997	0.5046315754686912	-0.19999999999999998	0.7470600781046621	5	True	False			0	0	0		True	False	False	False	False	n=5<8; merge threshold not met	False
GSE117570+GSE143423+GSE149655	patient_mixed	GSE117570+GSE143423+GSE149655	patient	3	6	4	2	-0.4285714285714286	0.3965014577259473	-0.08571428571428573	0.8717434402332361	6	True	False	-1.0	0.3333333333333333	2	2	4	-0.15995036907606958	True	True	False	False	False	n=6<8; merge threshold not met; Q4 vs Q1 thin	False
GSE117570+GSE146100+GSE149655	patient_mixed	GSE117570+GSE146100+GSE149655	patient	3	5	2	3	-0.09999999999999999	0.8728885715695384	0.3	0.623837664781073	5	True	False			0	0	0		True	False	False	False	False	n=5<8; merge threshold not met	False
GSE143423+GSE146100+GSE149655	patient_mixed	GSE143423+GSE146100+GSE149655	patient	3	5	2	3	-0.09999999999999999	0.8728885715695384	0.09999999999999999	0.8728885715695384	5	True	False			0	0	0		True	False	False	False	False	n=5<8; merge threshold not met	False
GSE117570+GSE143423+GSE146100+GSE149655	patient_mixed	GSE117570+GSE143423+GSE146100+GSE149655	patient	4	7	4	3	-0.25	0.5887244480896832	0.0	1.0	7	True	False	-1.0	0.3333333333333333	2	2	4	-0.15995036907606958	True	True	False	False	False	n=7<8; merge threshold not met; Q4 vs Q1 thin	False
