sample	CLDN4	CXCL10	CXCL13	CXCL9	CXCR3
TCGA-05-4244-01	13.9765	7.8388	6.5946	8.1449	7.1676
TCGA-05-4249-01	13.9391	7.6826	8.1015	8.9358	6.3712
TCGA-05-4250-01	14.8158	9.6004	9.7678	11.7447	8.0441
TCGA-05-4382-01	13.8596	10.6885	8.4027	11.7174	7.0195
TCGA-05-4384-01	12.5602	6.9938	5.6922	7.8949	5.791
TCGA-05-4389-01	13.0411	10.0536	8.7932	11.5938	8.2857
TCGA-05-4390-01	13.6111	7.4698	7.6179	8.8521	5.0964
TCGA-05-4395-01	13.7728	9.775	7.5305	10.0571	5.568
TCGA-05-4396-01	12.9442	8.2882	6.5929	8.8844	5.491
TCGA-05-4397-01	11.8123	10.9947	6.7358	10.2977	5.0261
TCGA-05-4398-01	14.5304	11.0082	9.3481	11.4627	7.7613
TCGA-05-4402-01	13.6874	9.1479	7.5747	8.1693	6.4884
TCGA-05-4403-01	13.6806	9.217	6.8348	10.0682	6.3801
TCGA-05-4405-01	14.0004	7.4425	6.7328	7.7661	5.9838
TCGA-05-4410-01	13.7489	9.9934	9.4508	12.6001	7.396
TCGA-05-4415-01	7.7377	8.3966	6.2833	10.2025	5.9925
TCGA-05-4417-01	12.169	10.1877	9.9554	11.4632	7.6566
TCGA-05-4418-01	12.4972	10.3723	10.3672	11.3175	6.6445
TCGA-05-4420-01	13.5723	6.2666	5.9234	6.9395	4.4958
TCGA-05-4422-01	13.3203	10.446	9.1133	11.1493	7.9176
TCGA-05-4424-01	12.3135	9.1767	7.486	10.0079	6.1607
TCGA-05-4425-01	12.2492	10.6879	7.3757	12.0882	7.222
TCGA-05-4426-01	12.6853	7.086	3.8418	7.7058	5.7721
TCGA-05-4427-01	13.2546	9.1804	7.111	9.8888	5.727
TCGA-05-4430-01	13.9001	9.4588	8.0313	10.1288	6.7487
TCGA-05-4432-01	12.9188	8.9591	8.7757	11.0657	6.8769
TCGA-05-4433-01	13.1981	9.1048	6.5731	10.9742	7.0123
TCGA-05-4434-01	13.5778	10.9017	10.7119	12.0338	7.7908
TCGA-05-5420-01	12.009	12.9258	11.853	13.5852	7.9699
TCGA-05-5423-01	14.1244	9.4645	7.796	7.8336	6.8119
TCGA-05-5425-01	13.4637	11.0087	10.5946	13.0641	7.3764
TCGA-05-5428-01	14.305	10.111	7.1347	8.6038	4.6173
TCGA-05-5429-01	14.186	7.2089	6.4013	6.8988	5.0316
TCGA-05-5715-01	14.3544	5.8963	5.9336	7.0291	5.1438
TCGA-35-3615-01	12.6068	8.5729	9.1355	8.9384	5.2738
TCGA-35-4122-01	13.5875	12.6621	11.5941	11.1756	7.6796
TCGA-35-4123-01	13.6557	12.7067	12.2243	11.6711	8.5393
TCGA-35-5375-01	13.1634	10.499	10.3463	11.3102	5.9026
