accession,uid,title,summary,pdat,taxon,n_samples,gdsType,gpl
GSE150255,200150255,IFN-γ induces ZEB1 expression through STAT1-dependent upregulation of JMJD3 to promote lung adenocarcinoma cell aggressiveness,"Active IFN-g signaling is a common feature of tumors responding to PD-1 checkpoint blockade. IFN-g exhibits both anti- and pro-tumor activities. Here, we demonstrated that IFN-g induced ZEB1 expression and promoted epithelial-to-mesenchymal-transition in lung adenocarcinoma cells. ZEB1 was required for IFN-g-promoted EMT, cell migration, and metastasis. We performed a transcriptome analysis using RNA-seq to comprehensively describe the altered epithelial cell phenotype following IFN-g treatment.",2023/05/01,Homo sapiens,8,Expression profiling by high throughput sequencing,20795
GSE164146,200164146,Integrative single-cell RNA and T-cell receptor analyses reveal transcriptional features of antigen-reactive tumor-infiltrating regulatory T cells in patients with lung cancer,"Background: T-cell receptor (TCR) stimulation is essential to complete differentiation of tumor-infiltrating regulatory T cells (T-Tregs). Therefore, elucidation of TCR-dependent regulatory network involved in activation and proliferation of T-Tregs will facilitate discovery of novel antitumor remedy. Here, we investigated transcriptional features specific for antigen-reactive Tregs by harnessing single-cell RNA and TCR analyses of human Tregs derived from patients with non-small cell lung cancer (NSCLC).  Methods: Assuming Tregs undergo clonal expansion in response to antigens, we sought for transcriptional features specific for antigen-reactive Tregs by comparing gene expression of Tregs with unique TCR clonotypes and those with expanded TCR clonotypes. To verify the identified molecule, multiplex immunohistochemistry and flow cytometry were used.  Results: We found that the proportion of Tregs with expanded clonotypes was much higher in the tumor than in the periphery blood. We also found that T-Tregs with shared clonotypes were transcriptionally more similar to each other than to those with different clonotypes. Finally, we identified SYNGR2, TNFRSF18, DUSP4, and CTLA4 as core signature genes for T-Tregs with expanded clonotypes and confirmed their existences expressed on human T-Tregs. Interestingly, T-Treg-specific co-regulatory network revealed that SYNGR2, TNFRSF18 and DUSP4 are potential coordinators between TCR-dependent activation and cell proliferation.  Conclusions: Our study shed light on regulatory insights of TCR-dependent Treg activation and differentiation in tumor and therapeutic strategies for patients with NSCLC.",2023/01/01,Homo sapiens,12,Expression profiling by high throughput sequencing; Other,20795
GSE180941,200180941,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [RNA-seq],"The pleiotropic cytokine interferon-gamma (IFNγ) is known to be associated with cytostatic, anti-proliferation, and pro-apoptosis functions in cancer cells. However, cancer cells can become resistant to IFNγ, and the underlying mechanism is not fully understood. To investigate the potential IFNγ resistant mechanisms, we performed IFNγ sensitivity screens in more than 40 cancer cell lines and characterized the sensitive and resistant cell lines. By applying CRISPR screening and transcriptomic profiling in both IFNγ sensitive and resistant cells, we discovered that activation of double-strand break (DSB) repair genes could result in IFNγ resistance in cancer cells. In addition, suppression of single-strand break (SSB) repair genes increased the essentiality of DSB repair genes after IFNγ treatment. The relationship between the activation of DSB repair genes and IFNγ resistance was further confirmed in clinical tumor profiles from The Cancer Genome Atlas (TCGA) and immune checkpoint blockade (ICB) cohorts. Our study provides a comprehensive resource to elucidate IFNγ resistance in cancer and has the potential to inform combinational therapeutic strategies to overcome immunotherapy resistance.",2023/02/28,Homo sapiens,22,Expression profiling by high throughput sequencing,24676
GSE180942,200180942,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [CRISPR screen],"The pleiotropic cytokine interferon-gamma (IFNγ) is known to be associated with cytostatic, anti-proliferation, and pro-apoptosis functions in cancer cells. However, cancer cells can become resistant to IFNγ, and the underlying mechanism is not fully understood. To investigate the potential IFNγ resistant mechanisms, we performed IFNγ sensitivity screens in more than 40 cancer cell lines and characterized the sensitive and resistant cell lines. By applying CRISPR screening and transcriptomic profiling in both IFNγ sensitive and resistant cells, we discovered that activation of double-strand break (DSB) repair genes could result in IFNγ resistance in cancer cells. In addition, suppression of single-strand break (SSB) repair genes increased the essentiality of DSB repair genes after IFNγ treatment. The relationship between the activation of DSB repair genes and IFNγ resistance was further confirmed in clinical tumor profiles from The Cancer Genome Atlas (TCGA) and immune checkpoint blockade (ICB) cohorts. Our study provides a comprehensive resource to elucidate IFNγ resistance in cancer and has the potential to inform combinational therapeutic strategies to overcome immunotherapy resistance.",2023/02/28,Homo sapiens,27,Other,20795
GSE185204,200185204,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scRNA-seq],"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy.",2023/02/14,Homo sapiens,40,Expression profiling by high throughput sequencing; Other,24676
GSE185205,200185205,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scTCR-seq],"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy.",2023/02/14,Homo sapiens,36,Other,24676
GSE185206,200185206,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy.",2023/02/13,Homo sapiens,108,Expression profiling by high throughput sequencing; Other,20301;24676
GSE186446,200186446,Systematic lineage tracing reveals clonal progenitors and long-term persistence of1 tumor-specific T cells during immune checkpoint blockade,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy.",2023/02/14,Homo sapiens,32,Expression profiling by high throughput sequencing,20301
GSE189045,200189045,The expression profiles of exosomal miRNAs associated with response to anti-PD-1/PD-L1 monotherapy in advanced NSCLC patients.,Exosomal miRNAs involved in response to anti-PD-1/PD-L1 monotherapy in advanced NSCLC patients were successfully identified through the microoarray analysis.,2023/01/12,Homo sapiens,23,Non-coding RNA profiling by array,21263
GSE189804,200189804,"A549 NRF NT, mock and knockout RNAseq","The NRF2 pathway is frequently activated in various cancer types, yet a comprehensive analysis of its effects across different malignancies is currently lacking. We developed a robust NRF2 activity metric and utilized it to conduct a pan-cancer wide analysis of oncogenic NRF2 signaling. We identified a distinct immunoevasive phenotype where high NRF2 activity is associated with low interferon-gamma (IFNγ), HLA-I expression and T-cell infiltration spanning non-small cell lung cancer (NSCLC) and squamous malignancies of head and neck area, cervix and esophagus. In squamous cell cancers, NRF2 overactive tumors comprise a molecular phenotype with SOX2/TP63 amplification, TP53 mutation and CDKN2A loss. These immune-cold NRF2 hyperactive diseases are associated with upregulation of immunomodulatory NAMPT, WNT5A, SPP1, SLC7A11 and SLC2A1 that represent candidate NRF2 target genes, suggesting direct modulation of the tumor immune milieu. Based on single-cell mRNA data, coupled with a priori information on intercellular ligand-receptor interactions, cancer cells of this subtype exhibit decreased expression of IFNγ responsive ligands, and increased expression of immunosuppressive ligands NAMPT, SPP1 and WNT5A that mediate signaling in intercellular crosstalk. As we observed differential cytokine mRNA expression with IFNγ treatment in NSCLC adenocarcinoma subtype, we explored the cytokine secretome in vitro. We found that secreted neutrophil chemoattractants interleukin-8 (CXCL8) and ENA-78 (CXCL5) are elevated in NRF2 overactive cells, suggesting contribution of immunosuppressive neutrophils in NRF2 driven immune escape. Importantly, as overactive NRF2 is associated with immune-cold characteristics, our results highlight the utility of NRF2 pathway activation as a putative biomarker for stratifying immune-checkpoint blockade responders and non-responders across NSCLC and squamous cancers.",2023/03/22,Homo sapiens,9,Expression profiling by high throughput sequencing,18573
