accession,title,n_samples,study_category,n_suppl_files,suppl_total_bytes,under_2gb,n_processed_files,processed_files,n_gsm_in_matrix,has_expression_table,n_table_rows,char_keys,outcome_keys,has_outcome_annotation,mentions_outcome_text,peeked_file,has_TACSTD2,has_CLDN4,peek_error,usable_maybe
GSE150255,IFN-γ induces ZEB1 expression through STAT1-dependent upregulation of JMJD3 to promote lung adenocarcinoma cell aggressiveness,8,bulk_or_other,1,1153433,True,1,GSE150255_SBC_BC190046_gene_expression.txt.gz,8,False,1,cell line;ifn-g treatment time;tissue,,False,False,GSE150255_SBC_BC190046_gene_expression.txt.gz,False,True,,False
GSE185204,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scRNA-seq],40,single_cell;blood_or_pbmc,49,1177453488,True,48,GSE185204_multimer_MSK1263_A1-A4_RNA_A1_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_barcodes.tsv.gz;GSE185204_mu,40,False,1,cell type;patient;region,,False,False,GSE185204_multimer_MSK1263_R1-R6_RNA_R6_barcodes.tsv.gz,False,False,,False
GSE185205,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scTCR-seq],36,single_cell;blood_or_pbmc,1,32505856,True,0,,36,False,1,cell type;patient;region,,False,False,,,,,False
GSE185206,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade,108,single_cell;blood_or_pbmc,1,979369984,True,0,,0,False,0,,,False,False,,,,,False
GSE186446,Systematic lineage tracing reveals clonal progenitors and long-term persistence of1 tumor-specific T cells during immune checkpoint blockade,32,single_cell;blood_or_pbmc,1,1258291,True,1,GSE186446_fcount_aggr.txt.gz,32,False,1,involved by tumor?;patient number;region characterization,,False,False,GSE186446_fcount_aggr.txt.gz,False,False,,False
GSE189804,"A549 NRF NT, mock and knockout RNAseq",9,single_cell;cell_line,2,1191936,True,2,GSE189804_A549_counts.txt.gz;GSE189804_IFNy_A549_counts.txt.gz,9,False,1,cell line;cell type;genotype;treatment,,False,False,GSE189804_A549_counts.txt.gz,False,False,,False
GSE213902,The utility of circulating CX3CR1+ CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in patients with non-small cell lung cancer,6,single_cell;blood_or_pbmc,8,42472448,True,8,GSE213902_MQpool1_barcodes.tsv.gz;GSE213902_MQpool1_features.tsv.gz;GSE213902_MQpool1_filtered_contig_annotations.csv.gz;GSE213902_MQpool1_matrix.mtx.gz;GSE213902_MQpool2_barcodes.tsv.gz;GSE213902_MQpool2_features.tsv.gz;GSE213902_MQpool2_filtered_contig_annotations.csv.gz;GSE213902_MQpool2_matrix.mtx.gz,6,False,1,antibodies/tags;cell type;cell type (sorted);disease state;library type;treatment,,False,True,GSE213902_MQpool1_barcodes.tsv.gz,False,False,,False
GSE216297,Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer,286,platelet,1,1677721,True,1,GSE216297_TEP_Count_Matrix.RData.gz,286,False,1,diagnosis;tissue;treatment,,False,True,GSE216297_TEP_Count_Matrix.RData.gz,False,False,,False
GSE217451,Tumoral and stromal hMENA isoforms influence tertiary lymphoid structure localization and predict response to immunocheckpoint blockade in lung cancer patients,9,bulk_or_other,1,634880,True,1,GSE217451_siMENA_H1650_fpkm_table_RAP.csv.gz,9,False,1,cell line;cell type;time;treatment,,False,True,GSE217451_siMENA_H1650_fpkm_table_RAP.csv.gz,True,True,,True
GSE218402,"Norepinephrine inhibits CD8+ T cell infiltration and function, inducing anti-PD-1 mAb resistance in lung adenocarcinoma",8,cell_line,2,1069056,True,2,GSE218402_ADO_DEGs_PBMC.txt.gz;GSE218402_NE_DEGs_A549.txt.gz,8,False,1,cell line;cell type;time;treatment,,False,False,GSE218402_ADO_DEGs_PBMC.txt.gz,True,False,,False
GSE223779,Single-cell transcriptomic analysis uncovers intratumoral heterogeneity and drug-tolerant persister in ALK-rearranged lung adenocarcinoma,6,single_cell,1,965738496,True,0,,6,False,1,cell line;cell type;disease;genotype;sex;stage;treatment,,False,True,,,,,False
GSE224099,A Population of Tumor-Infiltrating CD4+ T-cells Co-expressing CD38 and CD39  is Associated with Checkpoint Inhibitor Resistance,12,single_cell;cell_line;blood_or_pbmc,1,5242880,True,1,GSE224099_counts.txt.gz,12,False,1,cell line;cell type;patient id;time;treatment,,False,True,GSE224099_counts.txt.gz,True,True,,True
GSE224216,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [RNA-seq],9,chromatin;targeted_panel,1,808960,True,1,GSE224216_rsem.merged.gene_tpm_H2030.tsv.gz,9,False,1,cell line;cell type;treatment,,False,True,GSE224216_rsem.merged.gene_tpm_H2030.tsv.gz,True,True,,True
GSE224246,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [ATAC-seq],8,chromatin;targeted_panel,1,4508876,True,0,,8,False,1,cell line;cell type;treatment,,False,True,,,,,False
GSE229353,PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells,7,single_cell,1,162529280,True,0,,7,False,1,cell type;pathology;tissue;treatment,pathology,True,True,,,,,False
GSE235048,Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients,15,blood_or_pbmc;flow_or_cytof,1,1153433,True,1,GSE235048_24CFlow_TPM.txt.gz,15,False,1,cell type;treatment,,False,True,GSE235048_24CFlow_TPM.txt.gz,True,False,,False
