accession,file,size_token,size_bytes,is_processed_candidate
GSE150255,GSE150255_SBC_BC190046_gene_expression.txt.gz,1.1M,1153433,True
GSE185204,GSE185204_RAW.tar,904M,947912704,False
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A1_barcodes.tsv.gz,15K,15360,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A1_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A1_matrix.mtx.gz,17M,17825792,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A2_barcodes.tsv.gz,17K,17408,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A2_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A2_matrix.mtx.gz,17M,17825792,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A3_barcodes.tsv.gz,1.5K,1536,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A3_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A3_matrix.mtx.gz,1.0M,1048576,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A4_barcodes.tsv.gz,7.2K,7372,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A4_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A4_matrix.mtx.gz,5.5M,5767168,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_barcodes.tsv.gz,18K,18432,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_matrix.mtx.gz,17M,17825792,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_barcodes.tsv.gz,15K,15360,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_features.tsv.gz,298K,305152,True
