cohort	n	n_high	n_low	label_fdr0.05	label_fdr0.25	tj_up_fdr0.05	krt_up_fdr0.05	emt_down_fdr0.05	hallmark_emt_dir	gobp_emt_dir	hallmark_emt	gobp_emt	hallmark_apical_junction	gobp_keratinization	kegg_tight_junction	tacstd2_vs_purity_rho	tacstd2_vs_purity_p
TCGA-LUAD	515	129	129	keratin_TJ_up_Hallmark_EMT_opposite	keratin_TJ_up_Hallmark_EMT_opposite	True	True	False	up	down	NES=+1.546 p=0.001998 FDR=0.002664	NES=-1.383 p=0.02697 FDR=0.02697	NES=+2.193 p=0.000999 FDR=0.001499	NES=+2.699 p=0.000999 FDR=0.001499	NES=+2.036 p=0.000999 FDR=0.001499	0.007390157000782001	0.8688112903914171
TCGA-LUSC	502	126	126	supportive	supportive	True	True	True	down	down	NES=-1.352 p=0.01598 FDR=0.01598	NES=-1.693 p=0.004995 FDR=0.005994	NES=+1.600 p=0.000999 FDR=0.001332	NES=+3.182 p=0.000999 FDR=0.001332	NES=+1.698 p=0.000999 FDR=0.001332	-0.07364538495115974	0.1024142234474498
