gene	rho	p	n	present	cohort	split	q
CLDN1	0.37361466684697303	1.6649890944346714e-18	515	True	TCGA-LUAD	quartile	9.434938201796472e-18
CLDN4	0.4597517150956402	2.68425122314192e-28	515	True	TCGA-LUAD	quartile	2.281613539670632e-27
CLDN7	0.0538237615658068	0.22270320817576725	515	True	TCGA-LUAD	quartile	0.2912272722298495
F11R	0.18204252886903163	3.239529527331292e-05	515	True	TCGA-LUAD	quartile	6.884000245578995e-05
PARD3	-0.019941307854869632	0.6516396294509457	515	True	TCGA-LUAD	quartile	0.6923671062916298
OCLN	0.04723098107703001	0.2846939507270391	515	True	TCGA-LUAD	quartile	0.34569979731140466
TJP1	0.036003033421313765	0.4148903773851091	515	True	TCGA-LUAD	quartile	0.47020909436979025
KRT5	0.1753143778656543	6.337775118557005e-05	515	True	TCGA-LUAD	quartile	0.00011971353001718786
KRT17	0.29254848137326256	1.2740891605516272e-11	515	True	TCGA-LUAD	quartile	3.6099192882296105e-11
KRT7	0.34818567121594857	4.0043119879938936e-16	515	True	TCGA-LUAD	quartile	1.7018325948974047e-15
KRT8	0.19280030292042072	1.052439365416044e-05	515	True	TCGA-LUAD	quartile	2.5559241731532496e-05
KRT18	0.11768522877660206	0.007506217288243013	515	True	TCGA-LUAD	quartile	0.012760569390013122
KRT19	0.4753456015075414	2.1655832564304585e-30	515	True	TCGA-LUAD	quartile	3.6814915359317796e-29
CDH1	0.3448049274639434	8.002562016420548e-16	515	True	TCGA-LUAD	quartile	2.7208710855829865e-15
VIM	0.10304129022993729	0.019339278424730436	515	True	TCGA-LUAD	quartile	0.029887975747310672
ZEB1	-0.06616519782928729	0.1337381979868094	515	True	TCGA-LUAD	quartile	0.18946244714797997
SNAI2	0.007630861128689832	0.8628451712793662	515	True	TCGA-LUAD	quartile	0.8628451712793662
CLDN1	0.37361466684697303	1.6649890944346714e-18	515	True	TCGA-LUAD	median	9.434938201796472e-18
CLDN4	0.4597517150956402	2.68425122314192e-28	515	True	TCGA-LUAD	median	2.281613539670632e-27
CLDN7	0.0538237615658068	0.22270320817576725	515	True	TCGA-LUAD	median	0.2912272722298495
F11R	0.18204252886903163	3.239529527331292e-05	515	True	TCGA-LUAD	median	6.884000245578995e-05
PARD3	-0.019941307854869632	0.6516396294509457	515	True	TCGA-LUAD	median	0.6923671062916298
OCLN	0.04723098107703001	0.2846939507270391	515	True	TCGA-LUAD	median	0.34569979731140466
TJP1	0.036003033421313765	0.4148903773851091	515	True	TCGA-LUAD	median	0.47020909436979025
KRT5	0.1753143778656543	6.337775118557005e-05	515	True	TCGA-LUAD	median	0.00011971353001718786
KRT17	0.29254848137326256	1.2740891605516272e-11	515	True	TCGA-LUAD	median	3.6099192882296105e-11
KRT7	0.34818567121594857	4.0043119879938936e-16	515	True	TCGA-LUAD	median	1.7018325948974047e-15
KRT8	0.19280030292042072	1.052439365416044e-05	515	True	TCGA-LUAD	median	2.5559241731532496e-05
KRT18	0.11768522877660206	0.007506217288243013	515	True	TCGA-LUAD	median	0.012760569390013122
