term	rho	p	n_x	n_genes_present	cohort	split	bucket	expected	primary	source	enrichr_name	n_y	q
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.10866512579651133	0.013612787035023995	515	197	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	TNF-alpha Signaling via NF-kB	200	0.029170257932194275
HALLMARK_HYPOXIA	0.0981559503096391	0.025915103474953537	515	190	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Hypoxia	200	0.04893379452215209
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.13785428801216826	0.0017138967058596855	515	72	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Cholesterol Homeostasis	74	0.004471034884851353
HALLMARK_MITOTIC_SPINDLE	-0.01375832146975768	0.7554341738034337	515	196	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Mitotic Spindle	199	0.7814836280725177
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.16692862513556428	0.00014137890969335553	515	42	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Wnt-beta Catenin Signaling	42	0.0004712630323111851
HALLMARK_TGF_BETA_SIGNALING	0.11199197858437364	0.010980076022360818	515	54	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	TGF-beta Signaling	54	0.024400168938579596
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.06883698390590605	0.11870907811289973	515	87	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	IL-6/JAK/STAT3 Signaling	87	0.17372060211643864
HALLMARK_DNA_REPAIR	-0.0023911644595342382	0.9568296961069201	515	140	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	DNA Repair	150	0.9568296961069201
HALLMARK_G2M_CHECKPOINT	-0.09876411917052365	0.025003371952727244	515	184	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	G2-M Checkpoint	200	0.04893379452215209
HALLMARK_APOPTOSIS	0.23611777153751307	5.887055556409108e-08	515	158	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apoptosis	161	3.211121212586786e-07
HALLMARK_NOTCH_SIGNALING	0.20215524150409644	3.7584063349321697e-06	515	32	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Notch Signaling	32	1.610745572113787e-05
HALLMARK_ADIPOGENESIS	0.039865304104856523	0.36660638265858103	515	189	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Adipogenesis	200	0.42300736460605504
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.1516822776519052	0.0005526265751235426	515	192	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Estrogen Response Early	200	0.0016578797253706278
HALLMARK_ESTROGEN_RESPONSE_LATE	0.19999842741457444	4.786148116102277e-06	515	196	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Estrogen Response Late	200	1.9144592464409108e-05
HALLMARK_ANDROGEN_RESPONSE	0.072421775845167	0.1006575133315413	515	96	TCGA-LUAD	quartile	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Androgen Response	100	0.15485771281775584
