term	es	nes	nom_p	n_set_in_rank	mean_t	lead_genes	n_lead	cohort	split	n_high	n_low	n_rank_genes	bucket	expected	primary	source	enrichr_name	n	fdr_all	fdr_primary
GOBP_CORNIFICATION	0.6903157687148694	1.6414867713917274	0.008991008991008992	8	2.113865191429437	CDSN,TMEM79,LIPK,KLK5,CASP14	5	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		9	0.014196329985803672	0.009808373444737083
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.4326288833108622	1.7345717384948176	0.000999000999000999	76	0.9296639967356399	CLDN4,EPHA2,CLDN1,CLDN9,MICALL2,CLDN12,CLDN16,LSR,EPHB2,ILDR1,PLEC,CLDN8,F11R,MARVELD3,CLDN23,CLDN6,PRKCH,GRHL2,PDCD6IP,EXT1,CLDN3,POF1B,CLDN17,OCEL1	24	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		82	0.002140716426430712	0.0014985014985014985
KRT_EPITHELIAL	0.8214571549559604	2.336742800094332	0.000999000999000999	17	4.605048049284694	KRT19,KRT16,KRT7,KRT15,KRT17,KRT14,KRT4,KRT8,KRT5,KRT6B,KRT10,KRT6A,KRT6C,KRT18,KRT20	15	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True	Fixed keratin cytokeratin panel (simple + squamous; not an MSigDB set)		17	0.002140716426430712	0.0014985014985014985
HALLMARK_P53_PATHWAY	0.4768471571895563	2.246408209634797	0.000999000999000999	190	1.139728153361714	PERP,ITGB4,EPHA2,SFN,PHLDA3,SDC1,S100A10,TP63,CLCA2,CD82,RAP2B,KRT17,PLXNB2,FUCA1,STEAP3,INHBB,TM4SF1,TGFA,GADD45A,TAX1BP3,ST14,VAMP8,PLK3,RRAD,FAS	75	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	p53 Pathway	200	0.002140716426430712	
HALLMARK_HEME_METABOLISM	0.26856588959798644	1.25091886586448	0.03896103896103896	190	0.22005053298807875	MBOAT2,BPGM,SLC10A3,SLC2A1,CAST,PDZK1IP1,ENDOD1,BLVRA,ICAM4,ERMAP,RHCE,MKRN1,CDR2,FBXO34,SLC22A4,IGSF3,TSPAN5,BLVRB,GDE1,SLC25A37,LAMP2,PGLS,UROD,GATA1,LRP10	55	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	heme Metabolism	200	0.051948051948051945	
HALLMARK_PEROXISOME	0.3592327363257473	1.5365816743635041	0.002997002997002997	101	0.44812874483313114	BCL10,SEMA3C,SCP2,SULT2B1,GSTK1,MVP,DHRS3,TSPO,HMGCL,CRABP2,ABCD3,SCGB1A1,FABP6,CRAT,EHHADH,HSD3B7,STS,DHCR24,ACOX1,PEX13,ABCB9,PEX11A,YWHAH,FIS1,PRDX5	33	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Pperoxisome	104	0.005619380619380619	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.47747749167112774	2.4168146240039414	0.000999000999000999	197	1.2575648858651964	SERPINB2,MXD1,HES1,ZC3H12A,IL1A,CXCL1,SMAD3,TRIP10,F3,SAT1,KLF4,PHLDA2,FOSL1,NFE2L2,JUNB,CDKN1A,ETS2,CXCL6,SGK1,GADD45A,IER5,SDC4,MAP3K8,LAMB3,IL18	65	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	TNF-alpha Signaling via NF-kB	200	0.002140716426430712	
HALLMARK_HYPOXIA	0.3159941253216836	1.58050241490056	0.000999000999000999	190	0.13315937208285042	SULT2B1,ANXA2,HS3ST1,PGM2,F3,PRDX5,ADORA2B,GPC1,EDN2,CDKN1A,CA12,ADM,SDC4,EFNA1,SLC2A1,MAFF,ALDOA,PKP1,NDRG1,BHLHE40,TPBG,ZFP36,CP,ANGPTL4,IER3	54	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Hypoxia	200	0.002140716426430712	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.34066200639813965	1.4758512050619477	0.007992007992007992	72	0.32642046364283434	S100A11,FABP5,ETHE1,CD9,MAL2,LGALS3,TNFRSF12A,GNAI1,NSDHL,MVK,JAG1,PLSCR1,LDLR,CXCL16,PLAUR,EBP,PMVK,FBXO6	18	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Cholesterol Homeostasis	74	0.01332001332001332	
HALLMARK_MITOTIC_SPINDLE	-0.36322786936749335	-1.6575728274070438	0.000999000999000999	196	-1.5493284840332622	BCL2L11,RANBP9,CCNB2,MAPRE1,ITSN1,HDAC6,SOS1,APC,CEP250,LRPPRC,DYNLL2,PLEKHG2,KIF11,ARHGAP29,TLK1,RACGAP1,KIF23,NUSAP1,AURKA,SSH2,PCGF5,CEP192,NDC80,ALMS1,CNTROB	81	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Mitotic Spindle	199	0.002140716426430712	
