dataset	unit_id	unit_type	tissue	status	n_malignant_locked	n_malignant_raw	n_qc	n_non_nt	n_kd	kd_quartile	n_Q1	n_Q2	n_Q3	n_Q4	q25	q50	q75	cldn4_pct	cldn4_mean_log1p	frac_zero_cldn4	k	ndims	n_hvg	n_universe	n_ifn	n_ifna	n_ifng	n_mhc	n_sperm	n_matched_ifn	n_matched_sperm	spearman_cldn4_ifn	spearman_p_cells	cosine_ifn	cosine_ifn_p	unmatched_ifn_q1_minus_q4	ifn_Q1	ifna_Q1	ifng_Q1	mhc_Q1	sperm_Q1	matched_Q1	delta_Q1	sperm_delta_Q1	unmatched_ifn_Q1	ifn_Q2	ifna_Q2	ifng_Q2	mhc_Q2	sperm_Q2	matched_Q2	delta_Q2	sperm_delta_Q2	unmatched_ifn_Q2	ifn_Q3	ifna_Q3	ifng_Q3	mhc_Q3	sperm_Q3	matched_Q3	delta_Q3	sperm_delta_Q3	unmatched_ifn_Q3	ifn_Q4	ifna_Q4	ifng_Q4	mhc_Q4	sperm_Q4	matched_Q4	delta_Q4	sperm_delta_Q4	unmatched_ifn_Q4
GSE123902	LX255B	donor	METASTASIS	ok	228	228	198	150	120	Q1	120	0	30	48	0.0	0.0	1.0	39.39393939393939	0.5098004150134473	0.6060606060606061	20	15	2000	2220	220	95	197	9	81	220	81	0.15357858449979528	0.06060609781891311	-0.09589084779778043	0.002	-0.10522353649139404	-0.09131912895280755	-0.09834781849037921	-0.09038231374724263	-0.23996815747684905	-0.026791473877052836	-0.0970360778226997	0.005716948869892142	0.00742401749225249	0.17625704407691956	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.0713735817688884	-0.08095568636530324	-0.06982899236598396	-0.18530624862070436	-0.01927339666419559	-0.0770673169150497	0.005693735146161282	0.019562552605636815	0.20404057204723358	-0.014387148088832019	-0.01202417849971537	-0.015660569867569887	-0.05036637531938376	-0.006106026164052908	-0.014971117669660033	0.0005839695808280152	0.0009681236596755036	0.2814805805683136
GSE123902	LX653	donor	PRIMARY	ok	145	145	139	105	35	Q1	35	41	29	34	0.5	2.0	6.0	74.82014388489209	1.3064675534853398	0.2517985611510791	20	15	2000	2218	218	94	195	9	88	218	88	0.3961302422912711	2.8770133892912556e-05	-0.09716258487786761	0.002	-0.11303934454917908	-0.09881744143769125	-0.09730125658417905	-0.10048444496406304	-0.14444651036035444	-0.025258366782943926	-0.09257837234755799	-0.006239069090133257	0.02266782722496367	0.21776464581489563	-0.07884976525559045	-0.06490037643235153	-0.08198490971844967	-0.0910328041893357	-0.029462610266094987	-0.0656727021720538	-0.013177063083536649	-0.0031824069812133944	0.2391633242368698	-0.04170562596316957	-0.032534707580868676	-0.04206984698719728	-0.029905164949738657	-0.009995931812027776	-0.03193137526738421	-0.009774250695785363	0.007383797773186316	0.28068307042121887	-0.0038985251662654614	-0.002784708365611499	-0.003975343758164489	0.007833447429089766	-0.004337139747648396	-0.003176479574737199	-0.0007220455915282619	-0.0014667836314236574	0.3308039903640747
GSE123902	LX661	donor	PRIMARY	ok	117	117	112	84	43	Q1	43	18	23	28	0.0	1.0	3.25	61.60714285714286	0.8958946652274395	0.38392857142857145	20	15	2000	2221	221	95	198	9	95	221	95	-0.12189772198085254	0.2693346240082484	-0.03594742017545183	0.002	-0.04442158341407776	-0.040399602626005525	-0.06465576478944705	-0.042168211294279036	-0.11401633683409187	-0.02730492436608602	-0.078056789995005	0.03765718736899949	-0.019019775247632216	0.280561625957489	-0.04855451158628564	-0.04368638869440347	-0.047793855336646304	-0.035118630638828995	-0.004588181486255244	-0.030938899025598203	-0.017615612560687444	-0.006797548352974898	0.2766627073287964	-0.051202661777583945	-0.062332603096689206	-0.05406130614069191	-0.08794519305229187	0.010284108032623746	-0.026890042879767668	-0.02431261889781629	0.009551703834424575	0.2762669026851654	-0.007366122688758582	-0.011403996088451012	-0.007885444576047026	-0.01714452178705306	0.004267812783556775	0.003157586374626517	-0.0105237090633851	0.0013454671080847431	0.3249832093715668
GSE123902	LX666	donor	METASTASIS	ok	786	786	752	578	224	Q1	224	209	145	174	0.0	2.0	4.0	70.2127659574468	1.0372641442366093	0.2978723404255319	20	15	2000	2217	217	94	194	9	92	217	92	0.3005799189407813	1.5572527796537493e-13	-0.10579008148738231	0.002	-0.07039451599121094	-0.052191482265902915	-0.06778272410532167	-0.05094823199365458	-0.03617433043167232	-0.016853681370516176	-0.03063508672081793	-0.021556395545084987	-0.006446243919430716	0.3302290141582489	-0.015309114037644463	-0.023162650193965607	-0.014356641270025864	-0.02305585366180132	-0.004826909020257909	-0.007203804759409607	-0.008105309278234859	-0.004450799898863061	0.38105493783950806	-0.006917253431437714	-0.010829599415411955	-0.005707703184348342	-0.006663240555145733	-0.0014776243486147053	0.000590394037849248	-0.007507647469286962	-0.00463065316026536	0.3920062482357025	-0.003706700179748183	-0.0037155037708935788	-0.003879858617241426	-0.000505849538254402	0.001030412463723556	0.0010072196465729718	-0.004713919826321154	-0.0011403481126937458	0.40062353014945984
GSE123902	LX675	donor	PRIMARY	ok	618	618	582	456	390	Q1	390	0	66	126	0.0	0.0	2.0	32.98969072164948	0.6166380564764493	0.6701030927835051	20	15	2000	2221	221	95	198	9	104	221	104	0.00760735957614582	0.8713017436260353	-0.02625189709790811	0.206	-0.06397712230682373	-0.03098877905703211	-0.042226653613562364	-0.0308860447168026	-0.04533822494015055	-0.01669055443602436	-0.03153980741064902	0.0005510283536169114	-0.007876310271947577	0.29254984855651855	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.030382469844547594	-0.03256178427921338	-0.029246561501185427	-0.07216586318080273	-0.016762287985524794	-0.028182677420980722	-0.0021997924235668694	-0.011926192566665597	0.3002670109272003	-0.0025662011512071754	-0.006485529409825753	-0.0025476210789313874	-0.006251466370186057	-0.0018460996010055328	-0.004528647880397345	0.0019624467291901662	-0.0010187326997554932	0.3565269708633423
GSE123902	LX676	donor	PRIMARY	ok	147	147	145	111	83	Q1	83	0	28	34	0.0	0.0	4.0	42.758620689655174	0.84285746806662	0.5724137931034483	20	15	2000	2220	220	95	197	9	92	220	92	0.0382120882494196	0.690499360319361	-0.020447560196982528	0.002	-0.03131723403930664	-0.030096596172987305	-0.049775095866991886	-0.031047854845022312	-0.08240339527008844	-0.02877825393593704	-0.08840671956604437	0.05831012339305707	-0.0054610827640128295	0.27471044659614563	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.02233499977979567	-0.025488942278955214	-0.01938548649541704	-0.11820452589364279	-0.006639768681864932	-0.04320173977644413	0.020866739996648457	0.006233394244303986	0.2841852307319641	-0.0026866731836515324	-0.0003546893135312895	-0.002240141107853436	0.008842890948251962	0.018271208147677926	0.007299336715337426	-0.009986009898988957	0.008912433801061664	0.30602768063545227
GSE123902	LX679	donor	PRIMARY	ok	497	497	450	351	235	Q1	235	0	116	99	0.0	0.0	2.0	47.77777777777778	0.6233166630006362	0.5222222222222223	20	15	2000	2220	220	95	197	9	93	220	93	0.0004640068819133024	0.9930886849535052	-0.03355186027195316	0.002	-0.05395708978176117	-0.02842927778878283	-0.042865319333444916	-0.02868141572379708	-0.13134047094529963	-0.01405570709941944	-0.05905953882856572	0.030630261039782884	0.00047618478410469225	0.2248217910528183	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.032450352324505674	-0.044977340398325884	-0.032217719069028844	-0.03495214055952441	-0.010906220447758271	-0.02043236970177452	-0.01201798262273116	0.0008448282445611379	0.24074268341064453	-0.0036736750356079905	-0.004957895036360991	-0.004177745191560601	-0.03011112344920568	-0.0013861691422838987	-0.005854419738574243	0.0021807447029662517	-0.0013043484150346983	0.27877888083457947
GSE123902	LX680	donor	PRIMARY	ok	258	258	220	165	61	Q1	61	54	50	55	2.0	11.0	25.25	83.63636363636363	2.162594969190635	0.16363636363636364	20	15	2000	2219	219	95	196	9	101	219	101	0.2677574753760641	0.0005071197162103292	-0.03524523438337029	0.002	-0.04658383131027222	-0.049253892960243406	-0.04712817090868023	-0.04983716841454329	-0.24412047656724584	-0.08022533024582185	-0.120388849819034	0.0711349568587906	-0.014417202262556446	0.23188281059265137	-0.02782382995032597	-0.02807629753274527	-0.02673968762787269	-0.09663067402417767	-0.03685396536501676	-0.045049817020187885	0.017225987069861906	-0.015401519493476177	0.2523459792137146	-0.006726275238476389	-0.006080339980752845	-0.005356239759344229	0.0013836077517933327	-0.00799920632107423	-0.011681269374612259	0.0049549941361358716	-0.00011911772855437624	0.2700694501399994	0.0021194732514851415	0.0030765117669219614	0.002319374450366661	-0.006328127570826599	-0.0009008415988927267	-0.0017944057337126332	0.003913878985197773	0.0008894767367442801	0.2784666419029236
GSE123902	LX681	donor	METASTASIS	ok	1207	1207	934	718	271	Q1	271	248	199	216	1.0	4.0	9.0	80.83511777301928	1.514604936322767	0.19164882226980728	20	15	2000	2217	217	95	194	9	90	217	90	0.3525712439259341	1.9274706069494684e-22	-0.08228054753391711	0.002	-0.08617202937602997	-0.061376531019854755	-0.09049640562284755	-0.058982540178221625	-0.1592089088542777	-0.035889731116620374	-0.05936863634350255	-0.0020078946763522026	-0.0034690234463397676	0.22025065124034882	-0.024879949329905757	-0.0321804285308754	-0.023006789450074377	-0.05262258833467853	-0.009460554171794205	-0.018065832756316836	-0.006814116573588923	0.0013275756490647155	0.2667548954486847	-0.012394146526747076	-0.017416688171652567	-0.011036399149579138	-0.021439055892956586	-0.008799664413276696	-0.01337010025842821	0.0009759537316811323	-0.0016575118496656288	0.2847478687763214	0.0012150598775114109	-0.0005279483240947395	0.0014044306379305167	-0.0038764947956358964	0.0017565852912610448	0.0003762172764276235	0.0008388426010837873	0.00040910953632843365	0.3064226806163788
GSE123902	LX682	donor	PRIMARY	ok	421	421	388	311	311	Q1	311	0	0	77	0.0	0.0	0.0	19.84536082474227	0.4969811395970405	0.8015463917525774	20	15	2000	2221	221	95	198	9	105	221	105	nan	nan	-0.05618930148290873	0.198	-0.10115298628807068	-0.041122052222704944	-0.07023538410673691	-0.0436559661832293	-0.06848222444252526	-0.013999886886300692	-0.030058564821293984	-0.011063487401410959	-0.004802160604115815	0.38629043102264404	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.011778743412979843	-0.023096998195817675	-0.0114916268412122	-0.04539651140936181	0.0026578295171887476	-0.011165007890205992	-0.0006137355227738547	0.0044099215415796525	0.4874434173107147
