score	quartile	n_units	mean	median	sd
ifn	Q1	60	-0.0691488180607564	-0.0590352177925869	0.05742885773124506
ifn	Q2	41	-0.04851134455182135	-0.03432649394851434	0.040114143426310554
ifn	Q3	59	-0.026318211459558653	-0.01742715919339979	0.022980838349150438
ifn	Q4	60	-0.001641032450940535	-0.0014585167254770972	0.004431731600769321
ifna	Q1	60	-0.07462204155280158	-0.06389946453933859	0.06300069683090134
ifna	Q2	41	-0.05183841617078362	-0.03737103439399464	0.044989165228944056
ifna	Q3	59	-0.02774865738631587	-0.020046921908946806	0.026311436423025594
ifna	Q4	60	-0.002376205561352443	-0.0018877073420269603	0.006088011681479468
ifng	Q1	60	-0.06891878475092146	-0.059069676238686135	0.05747956418853649
ifng	Q2	41	-0.04797698175026097	-0.030035884373076784	0.04039292272695961
ifng	Q3	59	-0.026108439165818294	-0.01892269758419439	0.023319985461512982
ifng	Q4	60	-0.0016363949077368009	-0.0013210118342119879	0.0044444902876437835
mhc	Q1	60	-0.16474413706022303	-0.14732488023421925	0.1507188744345399
mhc	Q2	41	-0.08871813616064804	-0.05956631101747994	0.10009326515704017
mhc	Q3	59	-0.04770561922212787	-0.029905164949738657	0.05889910621885813
mhc	Q4	60	-0.002773342827468819	-0.0011771631699523662	0.013919886035593557
sperm	Q1	60	-0.02295108075943991	-0.02339964596098957	0.01444739758255103
sperm	Q2	41	-0.013281955874594594	-0.010106016321298492	0.010705316711694739
sperm	Q3	59	-0.007357621671560023	-0.0053303313364160936	0.007995856261692592
sperm	Q4	60	6.696253492427473e-05	0.00012454057263051177	0.0036467985741669025
delta	Q1	60	0.004064840984597026	-0.0014121294370424318	0.030641343017347132
delta	Q2	41	-0.003514351853595823	-0.005405021215327673	0.016427231813727697
delta	Q3	59	-0.00032594184623419166	-0.0017892102409748179	0.011653751847190856
delta	Q4	60	0.0004931101182249745	0.0007064960254287017	0.0037990154767691127
sperm_delta	Q1	60	0.005211359747070535	0.003737453953221704	0.011600146241230779
sperm_delta	Q2	41	0.002399601001035914	0.0019259596630778256	0.005768669962349555
sperm_delta	Q3	59	0.002938181949027725	0.0020298893039515974	0.006131605670831555
sperm_delta	Q4	60	0.00018184273727113725	0.0002642588458403888	0.0020860615885686965
unmatched_ifn	Q1	60	0.2327709924429655	0.23011477291584015	0.07459530996344162
unmatched_ifn	Q2	41	0.26229302439747787	0.2523459792137146	0.07891979912807004
unmatched_ifn	Q3	59	0.2847335159273471	0.28025802969932556	0.07846699974845682
unmatched_ifn	Q4	60	0.3225623058776061	0.3102859705686569	0.08443738278628497
