probe,symbol,raw_symbol,mapped_via,alias_note,description,GSM558700_deposited,GSM558701_deposited,GSM558702_deposited,GSM558700_ch1_cy3,GSM558700_ch2_cy5,GSM558700_scan_log2,GSM558701_ch1_cy3,GSM558701_ch2_cy5,GSM558701_scan_log2,GSM558702_ch1_cy3,GSM558702_ch2_cy5,GSM558702_scan_log2
26941,B2M,B2M,ORF,,B2M--Beta-2-microglobulin,-2.5564,2.2296,-3.1844,14897.00,2471.00,-2.5919,59835.00,18445.00,-1.6978,14934.00,1406.00,-3.4089
2180,CALR,CALR,ORF,,CALR--Calreticulin,0.2141,0.5261,0.6599,3063.00,3035.00,-0.0132,434.00,200.00,-1.1177,2038.00,2442.00,0.2609
23563,CALR,CALR,ORF,,CALR--Calreticulin,0.4542,-0.9434,0.5059,2802.00,3266.00,0.2211,500.00,740.00,0.5656,4419.00,5718.00,0.3718
3753,CANX,CANX,ORF,,CANX--Calnexin,-1.3219,0.8400,-0.2009,42796.00,22184.00,-0.9480,9252.00,6216.00,-0.5738,9345.00,8418.00,-0.1507
3755,CANX,CANX,ORF,,CANX--Calnexin,-1.0893,1.5261,-0.6666,41177.00,24861.00,-0.7280,4700.00,1719.00,-1.4511,8477.00,5188.00,-0.7084
3757,CANX,CANX,ORF,,CANX--Calnexin,-1.1203,0.5753,-0.6666,44481.00,26608.00,-0.7413,16960.00,15090.00,-0.1685,24214.00,19116.00,-0.3411
3759,CANX,CANX,ORF,,CANX--Calnexin,-1.3219,0.8718,-1.7370,20684.00,9281.00,-1.1562,24808.00,18636.00,-0.4127,22851.00,7643.00,-1.5800
10823,CANX,CANX,ORF,,CANX--Calnexin,-0.5564,1.8032,-1.6897,33451.00,29389.00,-0.1868,31994.00,12489.00,-1.3571,29512.00,11169.00,-1.4018
22654,CANX,CANX,ORF,,CANX--Calnexin,-1.2863,0.6415,-1.3959,52271.00,28260.00,-0.8872,65500.00,65393.00,-0.0024,32103.00,15384.00,-1.0613
22656,CANX,CANX,ORF,,CANX--Calnexin,-1.1520,0.9030,-1.2176,50336.00,30373.00,-0.7288,65448.00,53797.00,-0.2828,34681.00,19105.00,-0.8602
22658,CANX,CANX,ORF,,CANX--Calnexin,-0.6439,1.9030,-1.3585,39029.00,32773.00,-0.2520,38094.00,14120.00,-1.4318,34818.00,17436.00,-0.9978
22660,CANX,CANX,ORF,,CANX--Calnexin,-1.0000,0.7485,-1.2863,49040.00,33178.00,-0.5637,65461.00,60507.00,-0.1135,46747.00,26546.00,-0.8164
25678,CANX,CANX,ORF,,CANX--Calnexin,-1.9434,0.5460,-0.4941,40711.00,12882.00,-1.6601,61582.00,65397.00,0.0867,19525.00,16760.00,-0.2203
25680,CANX,CANX,ORF,,CANX--Calnexin,-2.7370,0.6415,-0.8365,52254.00,9496.00,-2.4601,64600.00,64379.00,-0.0049,31133.00,22733.00,-0.4537
25682,CANX,CANX,ORF,,CANX--Calnexin,-2.0589,0.8319,-1.4344,43681.00,13188.00,-1.7278,14401.00,10359.00,-0.4753,52624.00,27544.00,-0.9340
25684,CANX,CANX,ORF,,CANX--Calnexin,-1.6897,0.7312,-1.5564,40893.00,15759.00,-1.3757,65353.00,61147.00,-0.0960,47836.00,22363.00,-1.0970
30970,CANX,CANX,ORF,,CANX--Calnexin,-1.1203,4.2920,-3.8365,56093.00,35358.00,-0.6658,65435.00,4458.00,-3.8756,33955.00,2357.00,-3.8486
30972,CANX,CANX,ORF,,CANX--Calnexin,-1.2515,4.7871,-6.6439,62946.00,36249.00,-0.7962,28874.00,1216.00,-4.5696,52885.00,402.00,-7.0395
30974,CANX,CANX,ORF,,CANX--Calnexin,-1.2863,4.7398,-5.6439,63824.00,36333.00,-0.8128,47118.00,2203.00,-4.4187,55360.00,1133.00,-5.6106
30976,CANX,CANX,ORF,,CANX--Calnexin,-1.0893,1.5993,-3.8365,56880.00,36679.00,-0.6330,48928.00,23405.00,-1.0638,58028.00,4517.00,-3.6833
17169,CLDN4,CLDN4,ORF,,CLDN4--Claudin 4,,-1.7370,-0.7131,89.00,-39.00,,251.00,584.00,1.2183,1031.00,330.00,-1.6435
1461,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--Major histocompatibility complex, class I, A",-1.2515,0.4542,-3.0589,40298.00,21517.00,-0.9052,31606.00,33257.00,0.0735,18524.00,2167.00,-3.0956
2020,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR",-1.3959,0.0426,-0.6439,29717.00,13582.00,-1.1296,1378.00,1241.00,-0.1511,26604.00,21874.00,-0.2824
4836,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--Major histocompatibility complex, class I, A",-1.9434,1.3334,-1.7859,12232.00,3037.00,-2.0099,408.00,104.00,-1.9720,57189.00,22717.00,-1.3320
7509,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--Major histocompatibility complex, class I, A",-3.8365,1.3505,-6.6439,6091.00,318.00,-4.2596,2441.00,907.00,-1.4283,18607.00,136.00,-7.0961
8068,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR",2.3132,-0.8625,1.3448,429.00,1264.00,1.5589,1234.00,2173.00,0.8163,1549.00,2959.00,0.9338
10884,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--Major histocompatibility complex, class I, A",0.1506,0.6690,-0.6439,37594.00,56952.00,0.5992,65465.00,64065.00,-0.0312,65467.00,65058.00,-0.0090
