panel,symbol,measured,n_probes_annotated,n_arrays_with_value,GSM558700,GSM558701,GSM558702,mean_log2_KD_over_ctrl,median_log2_KD_over_ctrl,t_1samp,p_1samp,q_BH_within_panel,direction,mapping_note
APM,HLA-A,yes,11,3,-1.5995,0.7975,-1.7370,-0.8463,-1.5995,-1.0285,0.4118,0.7932,DOWN,DESCRIPTION_PREFIX
APM,HLA-B,yes,1,3,-1.5564,2.3277,-2.1203,-0.4497,-1.5564,-0.3216,0.7783,0.8249,DOWN,DESCRIPTION_PREFIX
APM,HLA-C,yes,3,3,-1.2515,1.0566,-1.2515,-0.4821,-1.2515,-0.6267,0.5949,0.7932,DOWN,DESCRIPTION_PREFIX
APM,B2M,yes,1,3,-2.5564,2.2296,-3.1844,-1.1704,-2.5564,-0.6846,0.5643,0.7932,DOWN,ORF
APM,NLRC5,no,0,0,,,,,,,,,NA,
APM,TAP1,yes,2,3,-1.9030,2.3537,-1.4717,-0.3403,-1.4717,-0.2516,0.8249,0.8249,DOWN,ORF
APM,TAP2,yes,3,3,-0.5564,-3.0589,-0.1681,-1.2611,-0.5564,-1.3922,0.2985,0.7932,DOWN,ORF
APM,TAPBP,yes,3,3,-1.3585,0.5460,-0.5601,-0.4575,-0.5601,-0.8286,0.4945,0.7932,DOWN,ORF
APM,PSMB8,yes,2,3,0.3274,1.0575,-0.1330,0.4173,0.3274,1.2040,0.3518,0.7932,UP,ORF
APM,PSMB9,yes,2,3,0.9381,3.0522,1.7093,1.8999,1.7093,3.0757,0.09144,0.7932,UP,ORF
APM,PSMB10,yes,1,3,-0.3771,-0.0893,0.2141,-0.0841,-0.0893,-0.4927,0.671,0.8052,DOWN,ORF
APM,ERAP1,no,0,0,,,,,,,,,NA,
APM,ERAP2,no,0,0,,,,,,,,,NA,
APM,CALR,yes,2,3,0.3342,-0.2087,0.5829,0.2361,0.3342,1.0104,0.4187,0.7932,UP,ORF
APM,CANX,yes,17,3,-1.2515,0.8718,-1.3959,-0.5919,-1.2515,-0.8074,0.5042,0.7932,DOWN,ORF
APM,PDIA3,no,0,0,,,,,,,,,NA,
