gsm,title,cell_line,ch1_Cy3,ch2_Cy5,deposited_value
GSM558700,CLDN4 Replicate 1,SKOV-3-IP-Luc,CLDN4 overexpression (control),CLDN4 knockdown (lentiviral siRNA),log2 ratio knockdown/control
GSM558701,CLDN4 Replicate 2,SKOV-3-IP-Luc,CLDN4 overexpression (control),CLDN4 knockdown (lentiviral siRNA),log2 ratio knockdown/control
GSM558702,CLDN4 Replicate 3,SKOV-3-IP-Luc,CLDN4 overexpression (control),CLDN4 knockdown (lentiviral siRNA),log2 ratio knockdown/control
