symbol,deposited_median,deposited_direction,scanarray_median,scanarray_direction,GSM558700_deposited,GSM558701_deposited,GSM558702_deposited,GSM558700_scan,GSM558701_scan,GSM558702_scan,sign_agreement
IFI27,-2.3219,DOWN,-2.4052,DOWN,-2.6439,2.8420,-2.3219,-2.5515,-2.4052,-2.1874,yes
OAS2,0.1110,UP,-1.5287,DOWN,-0.2863,2.8115,0.1110,-1.5287,-3.3840,-0.7270,no_or_NA
IFIT1,-2.1203,DOWN,-3.6923,DOWN,-2.8365,-1.1203,-2.1203,-4.1381,,-3.2465,yes
MX1,0.3584,UP,-0.5622,DOWN,-0.0740,,0.7908,-1.3358,,0.2115,no_or_NA
ISG15,0.7137,UP,-1.6894,DOWN,0.7137,1.7949,-1.0589,0.6182,-2.2689,-1.6894,no_or_NA
HLA-A,-1.5995,DOWN,-1.1958,DOWN,-1.5995,0.7975,-1.7370,-1.1958,-0.7309,-1.2644,yes
CLDN4,-1.2250,DOWN,-0.2126,DOWN,,-1.7370,-0.7131,,1.2183,-1.6435,yes
