panel,symbol,measured,n_probes_annotated,n_arrays_with_value,GSM558700,GSM558701,GSM558702,mean_log2_KD_over_ctrl,median_log2_KD_over_ctrl,t_1samp,p_1samp,q_BH_within_panel,direction,mapping_note
IFN_IMMUNE,ISG15,yes,1,3,0.7137,1.7949,-1.0589,0.4832,0.7137,0.5809,0.62,0.9453,UP,G1P2->ISG15;ORF
IFN_IMMUNE,MX1,yes,1,2,-0.0740,,0.7908,0.3584,0.3584,0.8289,0.5594,0.9453,UP,ORF
IFN_IMMUNE,MX2,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,OAS1,yes,1,3,0.7398,-0.6897,0.6323,0.2275,0.6323,0.4949,0.6697,0.9453,UP,ORF
IFN_IMMUNE,OAS2,yes,1,3,-0.2863,2.8115,0.1110,0.8787,0.1110,0.9030,0.4618,0.9453,UP,ORF
IFN_IMMUNE,OAS3,yes,1,3,1.2265,-0.3585,0.5753,0.4811,0.5753,1.0459,0.4054,0.9453,UP,ORF
IFN_IMMUNE,OASL,yes,1,2,-2.2515,0.8400,,-0.7058,-0.7058,-0.4566,0.7273,0.9453,DOWN,ORF
IFN_IMMUNE,RSAD2,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,IFIT1,yes,1,3,-2.8365,-1.1203,-2.1203,-2.0257,-2.1203,-4.0703,0.05539,0.9028,DOWN,ORF
IFN_IMMUNE,IFIT2,yes,1,3,-1.5146,1.6736,-1.3219,-0.3876,-1.3219,-0.3756,0.7433,0.9453,DOWN,ORF
IFN_IMMUNE,IFIT3,yes,1,3,-0.5995,-0.7859,1.3448,-0.0135,-0.5995,-0.0199,0.986,0.9860,DOWN,ORF
IFN_IMMUNE,IFIT5,yes,1,3,0.1635,-0.1520,-0.0291,-0.0059,-0.0291,-0.0639,0.9549,0.9860,DOWN,ORF
IFN_IMMUNE,IFITM1,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,IFITM2,yes,2,3,0.7527,2.7302,-0.2542,1.0762,0.7527,1.2277,0.3444,0.9453,UP,ORF
IFN_IMMUNE,IFITM3,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,IFI6,yes,1,3,0.9336,-0.8625,0.1110,0.0607,0.1110,0.1169,0.9176,0.9676,UP,G1P3->IFI6;ORF
IFN_IMMUNE,IFI27,yes,1,3,-2.6439,2.8420,-2.3219,-0.7079,-2.3219,-0.3983,0.7289,0.9453,DOWN,ORF
IFN_IMMUNE,IFI35,yes,1,3,-1.4344,0.2388,-1.4344,-0.8767,-1.4344,-1.5718,0.2566,0.9453,DOWN,ORF
IFN_IMMUNE,IFI44,yes,1,2,-1.3585,,-2.0000,-1.6793,-1.6793,-5.2354,0.1202,0.9028,DOWN,ORF
IFN_IMMUNE,IFI44L,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,IFI16,yes,2,3,-0.0367,1.1243,-1.0291,0.0195,-0.0367,0.0313,0.9778,0.9860,DOWN,ORF
IFN_IMMUNE,DDX58,yes,1,2,,-0.6439,-2.2515,-1.4477,-1.4477,-1.8011,0.3227,0.9453,DOWN,ORF
IFN_IMMUNE,IFIH1,yes,1,3,-0.4941,-0.9714,-1.3219,-0.9291,-0.9714,-3.8730,0.06066,0.9028,DOWN,ORF
IFN_IMMUNE,DDX60,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,XAF1,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,HERC5,yes,1,3,-0.0439,0.0704,1.5607,0.5291,0.0704,1.0236,0.4137,0.9453,UP,ORF
IFN_IMMUNE,USP18,yes,1,3,2.3306,-3.6439,3.2095,0.6321,2.3306,0.2936,0.7967,0.9453,UP,ORF
IFN_IMMUNE,CMPK2,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,BST2,yes,1,3,-0.8625,0.9782,-0.8110,-0.2318,-0.8110,-0.3830,0.7386,0.9453,DOWN,ORF
IFN_IMMUNE,GBP1,yes,1,3,-2.8365,-0.3585,-3.6439,-2.2796,-2.8365,-2.3063,0.1475,0.9028,DOWN,ORF
IFN_IMMUNE,GBP2,yes,1,3,0.4114,-0.7131,-1.0589,-0.4535,-0.7131,-1.0218,0.4143,0.9453,DOWN,ORF
IFN_IMMUNE,GBP4,yes,1,2,0.4222,-0.7370,,-0.1574,-0.1574,-0.2716,0.8312,0.9453,DOWN,ORF
IFN_IMMUNE,GBP5,yes,2,3,-1.6258,0.6400,-1.9040,-0.9633,-1.6258,-1.1957,0.3544,0.9453,DOWN,ORF
IFN_IMMUNE,EIF2AK2,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,ZBP1,yes,1,3,0.8319,-0.5995,-1.0589,-0.2755,-0.5995,-0.4839,0.6763,0.9453,DOWN,ORF
IFN_IMMUNE,STAT1,yes,3,3,0.1110,0.8237,0.4824,0.4723,0.4824,2.2952,0.1486,0.9028,UP,ORF
IFN_IMMUNE,STAT2,yes,2,3,-0.7041,-0.0491,-0.6695,-0.4742,-0.6695,-2.2285,0.1557,0.9028,DOWN,ORF
IFN_IMMUNE,IRF1,yes,1,3,-1.0291,-0.0439,0.3448,-0.2427,-0.0439,-0.5937,0.6129,0.9453,DOWN,ORF
IFN_IMMUNE,IRF7,yes,2,3,-0.1419,0.5423,0.4182,0.2729,0.4182,1.2966,0.3242,0.9453,UP,ORF
IFN_IMMUNE,IRF9,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,JAK2,yes,2,3,1.8032,2.3683,1.2044,1.7919,1.8032,5.3324,0.03342,0.9028,UP,ORF
IFN_IMMUNE,SOCS1,yes,1,2,-0.4344,,-1.5564,-0.9954,-0.9954,-1.7743,0.3267,0.9453,DOWN,ORF
IFN_IMMUNE,SOCS3,yes,1,3,0.2987,-0.5995,3.7060,1.1351,0.2987,0.8656,0.478,0.9453,UP,ORF
IFN_IMMUNE,B2M,yes,1,3,-2.5564,2.2296,-3.1844,-1.1704,-2.5564,-0.6846,0.5643,0.9453,DOWN,ORF
IFN_IMMUNE,TAP1,yes,2,3,-1.9030,2.3537,-1.4717,-0.3403,-1.4717,-0.2516,0.8249,0.9453,DOWN,ORF
IFN_IMMUNE,TAP2,yes,3,3,-0.5564,-3.0589,-0.1681,-1.2611,-0.5564,-1.3922,0.2985,0.9453,DOWN,ORF
IFN_IMMUNE,PSMB8,yes,2,3,0.3274,1.0575,-0.1330,0.4173,0.3274,1.2040,0.3518,0.9453,UP,ORF
IFN_IMMUNE,PSMB9,yes,2,3,0.9381,3.0522,1.7093,1.8999,1.7093,3.0757,0.09144,0.9028,UP,ORF
IFN_IMMUNE,NLRC5,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,HLA-A,yes,11,3,-1.5995,0.7975,-1.7370,-0.8463,-1.5995,-1.0285,0.4118,0.9453,DOWN,DESCRIPTION_PREFIX
IFN_IMMUNE,HLA-B,yes,1,3,-1.5564,2.3277,-2.1203,-0.4497,-1.5564,-0.3216,0.7783,0.9453,DOWN,DESCRIPTION_PREFIX
IFN_IMMUNE,HLA-C,yes,3,3,-1.2515,1.0566,-1.2515,-0.4821,-1.2515,-0.6267,0.5949,0.9453,DOWN,DESCRIPTION_PREFIX
IFN_IMMUNE,HLA-E,yes,1,3,0.8718,-1.5564,1.7991,0.3715,0.8718,0.3713,0.746,0.9453,UP,DESCRIPTION_PREFIX
IFN_IMMUNE,HLA-F,yes,2,3,-1.8929,1.1540,-1.3251,-0.6880,-1.3251,-0.7355,0.5386,0.9453,DOWN,DESCRIPTION_PREFIX
IFN_IMMUNE,TAPBP,yes,3,3,-1.3585,0.5460,-0.5601,-0.4575,-0.5601,-0.8286,0.4945,0.9453,DOWN,ORF
IFN_IMMUNE,CXCL10,yes,1,2,,6.5048,-0.4540,3.0254,3.0254,0.8695,0.5444,0.9453,UP,ORF
IFN_IMMUNE,CXCL11,yes,1,3,-3.6439,1.6960,2.9241,0.3254,1.6960,0.1614,0.8866,0.9523,UP,ORF
IFN_IMMUNE,CXCL9,yes,1,1,,,-0.1361,-0.1361,-0.1361,,,,DOWN,ORF
IFN_IMMUNE,CCL5,yes,1,1,,,-0.8625,-0.8625,-0.8625,,,,DOWN,ORF
IFN_IMMUNE,CCL2,yes,1,3,1.1763,0.6599,0.2510,0.6957,0.6599,2.5988,0.1216,0.9028,UP,ORF
IFN_IMMUNE,IL6,yes,2,3,-1.2176,1.2388,-0.7180,-0.2323,-0.7180,-0.3099,0.786,0.9453,DOWN,ORF
IFN_IMMUNE,TNF,yes,1,3,-0.4941,1.6088,-0.5778,0.1790,-0.4941,0.2502,0.8258,0.9453,DOWN,ORF
IFN_IMMUNE,NFKB1,yes,1,3,-0.6215,0.6960,-2.1844,-0.7033,-0.6215,-0.8448,0.4872,0.9453,DOWN,ORF
IFN_IMMUNE,RELA,yes,1,3,1.8520,-2.3959,2.5084,0.6548,1.8520,0.4260,0.7116,0.9453,UP,ORF
IFN_IMMUNE,IL15,yes,3,3,0.9184,-0.3585,0.6323,0.3974,0.6323,1.0272,0.4123,0.9453,UP,ORF
IFN_IMMUNE,IL32,no,0,0,,,,,,,,,NA,
IFN_IMMUNE,IFNB1,yes,1,2,,4.4919,-3.0589,0.7165,0.7165,0.1898,0.8806,0.9523,UP,ORF
IFN_IMMUNE,IFNG,yes,1,3,-0.2688,-0.8110,-3.4739,-1.5179,-0.8110,-1.5325,0.2651,0.9453,DOWN,ORF
IFN_IMMUNE,IFNAR1,yes,1,3,-1.3585,-1.2176,-0.1844,-0.9202,-1.2176,-2.4861,0.1308,0.9028,DOWN,ORF
IFN_IMMUNE,IFNAR2,yes,1,3,0.0841,1.2449,-2.6439,-0.4383,0.0841,-0.3803,0.7403,0.9453,UP,ORF
IFN_IMMUNE,IFNGR1,yes,1,3,0.6415,0.1375,-2.2515,-0.4908,0.1375,-0.5501,0.6375,0.9453,UP,ORF
IFN_IMMUNE,IFNGR2,yes,1,3,-1.7859,1.0496,1.2869,0.1835,1.0496,0.1859,0.8696,0.9523,UP,ORF
IFN_IMMUNE,IFNL1,no,0,0,,,,,,,,,NA,
