method	split	family	n	mean_sum	median_sum	mean_per_ligand	frac_pos	p_wilcox	p_signflip	n_GSE123902	mean_GSE123902	n_GSE131907	mean_GSE131907	n_GSE205335	mean_GSE205335	n_GSE189357	mean_GSE189357	n_cohorts_pos	meta_mean	i2	p_meta	ifn_sum	ifn_mean	ifn_cohorts_pos	separates	cohorts_ok	sig	positive	trim_ok	lig4	lig3
expr_prop_pp	decile	barrier	60	111.05167367454546	110.07848544307154	27.762918418636364	0.95	3.693949861431933e-11	9.999000099990002e-05	11	85.20517693179842	19	112.30845885618544	21	132.4006100529876	9	90.17443831585366	4	103.32710342777067	38.91878122026713	2.422628516057738e-22	14.72957808536493	2.945915617072986	4	True	True	True	True	True	True	True
expr_prop_pp	q4q1	barrier	64	102.4175522729827	94.64285714285714	25.604388068245676	0.96875	4.908681071049331e-12	9.999000099990002e-05	13	85.30823238663946	21	87.0805911970832	21	129.7495990496804	9	99.14248102917172	4	99.54647768852026	34.485956863138675	2.642638353090298e-22	15.141996004957907	3.0283992009915806	4	True	True	True	True	True	True	True
conn_z	decile	barrier	60	3.930094939200617	3.754780217049991	0.9825237348001542	0.9333333333333333	4.796327819478128e-11	9.999000099990002e-05	11	3.2932637717746474	19	4.191492820128134	21	3.994374581270906	9	4.006618341488039	4	3.879692435446558	0.0	4.79972657062749e-47	0.7699493231668502	0.15398986463337005	4	True	True	True	True	True	False	True
conn_z	q4q1	barrier	64	3.4502215739143676	3.1905591915485743	0.8625553934785919	0.921875	1.572950757315325e-11	9.999000099990002e-05	13	2.919714229874319	21	3.2255483336201243	21	3.7071160615343257	9	4.1413270493233245	4	3.4905727967141975	0.0	1.1759371276887249e-36	0.7261840487698715	0.1452368097539743	4	True	True	True	True	True	True	True
cp10k_delta_trim	decile	barrier	60	2.046630825154132	1.6952544088261436	0.511657706288533	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	1.3197839923483867	19	1.9333974194158987	21	2.6001724312947956	9	1.8824503963692096	4	1.9036351408163497	55.835248968602926	1.871386963538408e-12	0.15849817981139738	0.031699635962279475	4	True	True	True	True	True	True	True
cp10k_delta	decile	barrier	60	2.0127709689788342	1.5974809198674393	0.5031927422447086	0.95	7.259972123432285e-11	9.999000099990002e-05	11	1.0727243995367912	19	1.8575287752326615	21	2.673065262201	9	1.948763612020421	4	1.834158681223662	71.59919509718198	1.2437699037810014e-08	-0.13969900034289023	-0.02793980006857805	3	True	True	True	True	True	False	True
cp10k_log2fc_trim	decile	barrier	60	1.8192609720098476	1.4278228488247544	0.4548152430024619	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	1.2818386635136967	19	1.6864501019170308	21	2.1967440074477333	9	1.875695214346026	4	1.7450560386781506	43.78759934649415	9.050214753373235e-19	0.1528662041107536	0.030573240822150724	4	True	True	True	True	True	True	True
cp10k_delta_trim	q4q1	barrier	64	1.6972380654620944	1.2568880241094376	0.4243095163655236	0.96875	4.2606363816938895e-12	9.999000099990002e-05	13	1.101409151169332	21	1.396490275437105	21	2.334274804529787	9	1.7732056161186656	4	1.6155070004192547	68.96404265078712	1.582407273244301e-09	0.1386634177755985	0.0277326835551197	4	True	True	True	True	True	True	True
cp10k_log2fc_trim	q4q1	barrier	64	1.5414750148496457	1.2222107950538372	0.3853687537124114	0.96875	4.2606363816938895e-12	9.999000099990002e-05	13	1.1048621286545361	21	1.2295553106119979	21	2.0125669052948383	9	1.8007363048694234	4	1.5017416268349086	64.83361801214879	7.845714146024785e-12	0.13613594474720944	0.027227188949441886	4	True	True	True	True	True	True	True
cp10k_delta	q4q1	barrier	64	1.4785017667922564	1.1937131276640152	0.3696254416980641	0.9375	2.2700792012848116e-11	9.999000099990002e-05	13	0.8173235822049316	21	1.2227043885119062	21	2.0426362158651186	9	1.714083757124752	4	1.4203624002946895	72.05111180102121	7.243812518717964e-08	-0.008040387171817848	-0.001608077434363562	3	True	True	True	True	True	False	False
cp10k_log2fc	decile	barrier	60	1.4781446228494157	1.3422638508164662	0.36953615571235393	0.95	5.321920362796559e-11	9.999000099990002e-05	11	0.8514523418715573	19	1.4027502475532743	21	1.861922570687192	9	1.5077858802705066	4	1.3751325687086993	69.54537605764418	8.709052382606638e-11	0.03215234652750786	0.0064304693055015705	3	True	True	True	True	True	False	True
