cohort	patient	split	family	ligand	receptor	axis	detected	n_high	n_low	n_tnk	lig_prop_high	lig_prop_low	rec_prop	d_cellchat_hill	d_cellchat_hill_pop	d_cellchat_prod	d_cpdb_means	d_conn_prod	d_natmi_spec	d_sca_lrscore	d_liana_logfc	d_cp10k_log2fc	d_cp10k_log2fc_trim	d_cp10k_delta	d_cp10k_delta_trim	d_expr_prop_pp	d_conn_z
GSE123902	LX255B	q4q1	barrier	F11R	ITGAL_ITGB2	F11R-LFA1	False	57	57	1583	0.45614035087719296	0.0	0.018951358180669616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	F11R	F11R	F11R-F11R	False	57	57	1583	0.45614035087719296	0.0	0.003790271636133923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	NECTIN2	TIGIT	NECTIN2-TIGIT	False	57	57	1583	0.2631578947368421	0.03508771929824561	0.054958938723941884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	NECTIN2	CD96	NECTIN2-CD96	False	57	57	1583	0.2631578947368421	0.03508771929824561	0.07327858496525584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	CDH1	ITGAE_ITGB7	CDH1-integrin	False	57	57	1583	0.2807017543859649	0.017543859649122806	0.013897662665824383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	CDH1	KLRG1	CDH1-KLRG1	False	57	57	1583	0.2807017543859649	0.017543859649122806	0.012002526847757423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	LGALS9	HAVCR2	LGALS9-TIM3	False	57	57	1583	0.08771929824561403	0.10526315789473684	0.025268477574226154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	LGALS9	CD44	LGALS9-CD44	True	57	57	1583	0.08771929824561403	0.10526315789473684	0.1396083385975995	-0.008958231144897471	-0.00028068186273299503	-0.005637982246468953	-0.0662196396686639	-0.050377836864801157	-0.2615052900834292	-0.1305979743290755	-0.19106949151887087	-0.528076616384826	-0.08549525909835123	-0.48933747790633586	-0.06105192466192496	-1.7543859649122806	-1.7241464595416636
GSE123902	LX255B	q4q1	barrier	LGALS9	PTPRC	LGALS9-CD45	True	57	57	1583	0.08771929824561403	0.10526315789473684	0.2242577384712571	-0.023098955023873192	-0.0007237430714186607	-0.020774817403157817	-0.06621963966866384	-0.0844193571582394	-0.43569691299196034	-0.1394776227612763	-0.19106949151887087	-0.528076616384826	-0.08549525909835123	-0.48933747790633586	-0.06105192466192496	-1.7543859649122806	-1.9428109175293289
GSE123902	LX255B	q4q1	ifn_recruit	CXCL9	CXCR3	CXCL9-CXCR3	False	57	57	1583	0.0	0.0	0.027163613392293114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
