split	cohort	patient	family	ligand	n_edges	n_detected	n_high	n_low	n_tnk	cellchat_hill	cellchat_hill_pop	cellchat_prod	cpdb_means	conn_prod	natmi_spec	sca_lrscore	liana_logfc	cp10k_log2fc	cp10k_log2fc_trim	cp10k_delta	cp10k_delta_trim	expr_prop_pp	conn_z
q4q1	GSE123902	LX255B	barrier	F11R	2	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
q4q1	GSE123902	LX255B	barrier	NECTIN2	2	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
q4q1	GSE123902	LX255B	barrier	CDH1	2	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
q4q1	GSE123902	LX255B	barrier	LGALS9	3	2	57	57	1583	-0.016028593084385333	-0.0005022124670758278	-0.013206399824813385	-0.06621963966866387	-0.06739859701152028	-0.34860110153769475	-0.1350377985451759	-0.19106949151887087	-0.528076616384826	-0.08549525909835123	-0.48933747790633586	-0.06105192466192496	-1.7543859649122806	-1.8334786885354961
q4q1	GSE123902	LX255B	ifn_recruit	CXCL9	1	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
q4q1	GSE123902	LX255B	ifn_recruit	CXCL10	1	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
q4q1	GSE123902	LX255B	ifn_recruit	CXCL11	1	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
q4q1	GSE123902	LX255B	ifn_recruit	CCL5	2	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
q4q1	GSE123902	LX255B	ifn_recruit	CXCL16	1	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
q4q1	GSE123902	LX255B	mhc_cd8	HLA-A	1	0	57	57	1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
