family	row	interaction_name	ligand	receptor	axis	thesis_expect	split	n_units	n_gse123902	n_gse131907	n_gse205335	mean_delta	median_delta	se	wilcoxon_p	meta_p	I2	n_pos	n_neg	observed_direction	agrees_thesis
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	median	34	5	12	17	0.16627141977223792	0.10641370645657125	0.024774404182918375	1.1641532182693481e-10	1.9274009281050658e-11	0.0	34	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	median	28	9	0	19	0.12512260046504162	0.10494677870073776	0.01983045097042372	7.450580596923828e-09	2.79722285028664e-10	1.3158198810372224e-14	28	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	median	39	6	15	18	0.08400667512236694	0.05295340558752043	0.012827025056402966	3.637978807091713e-12	5.784845572898271e-11	0.0	39	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	median	29	2	10	17	0.0696799146019961	0.05376974893422751	0.012403325841201723	3.725290298461914e-09	1.9335811158740024e-08	0.0	29	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	median	24	6	9	9	0.01710749822580727	0.006491643620221706	0.005337222742860447	0.0002624503030412823	0.0013491315292817156	1.5446581212176087e-14	21	2	high>low	yes
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	median	44	10	16	18	0.05648513712039983	0.060488004043825344	0.016936738335561148	8.696077900145188e-05	0.000852792115224669	1.6524249668839537e-14	36	7	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	median	43	10	16	17	0.0731681802860756	0.06559841129540778	0.022963360398957904	0.00012061312193998489	0.0014410454061037066	3.383536836952857e-14	35	7	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	median	50	11	18	21	0.07690518244887913	0.0576892954625785	0.009592270499330986	5.453415496958769e-13	1.0799660075044326e-15	0.0	47	3	high>low	yes
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	tertile	35	6	13	16	0.18176425984729044	0.12439637929450244	0.02639707025920729	5.820766091346741e-11	5.747417743479545e-12	0.0	35	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	tertile	28	10	0	18	0.14638996415621836	0.1076553770850257	0.02334064117459724	7.450580596923828e-09	3.5668858845665806e-10	1.3158198810372224e-14	28	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	tertile	38	6	15	17	0.09681351253187505	0.0781783634477893	0.014366368210336182	7.275957614183426e-12	1.5959065942576814e-11	1.9203857723245947e-14	38	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	tertile	28	2	10	16	0.07872402494083397	0.05690165854174789	0.013798178685161625	7.450580596923828e-09	1.1607530923745563e-08	1.3158198810372224e-14	28	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	tertile	26	8	9	9	0.01894082066751467	0.004544782756025064	0.00704767683876282	0.00206416568518245	0.00719833168599534	0.0	21	4	high>low	yes
