leiden	n_cells	n_samples	n_nLung	n_tLung	top_subtype	mean_CLDN4	mean_AT2	mean_barrier_keratin	mean_IFN	mean_sling	frac_cldn4_high
0	414	20	352	61	AT1	0.998301064622575	0.708290697655816	1.4329581635189805	0.26600357690033877	0.936479878578228	0.28019323671497587
1	377	4	1	376	tS1	1.599860970000057	1.6505974897773892	1.238368947444291	0.3981566723823688	0.25051423692881947	0.4270557029177719
2	2354	21	1934	419	AT2	0.9175763575323781	3.9197514177569337	0.6513928829414569	0.09460636538031186	0.011639970803347032	0.10067969413763807
3	382	28	316	37	Club	1.4689252621528366	0.8238157288286752	1.06241766691702	0.1293903291731096	0.2518029960452067	0.38481675392670156
4	80	1	0	0	Malignant cells	0.11088661812245845	0.03300069856146971	1.981926578780015	0.4867419421672821	0.6232570976238136	0.0125
5	659	28	543	57	Ciliated	1.8022337300824467	0.32948568001668377	0.9743560541215786	0.27327127761723036	0.8998926855177154	0.5584218512898331
6	356	1	0	0	Malignant cells	1.317928114926882	0.42924352492509266	1.6030613409585497	0.46308030196377575	0.5762933146880077	0.2556179775280899
7	399	1	0	0	Malignant cells	2.038827863850988	0.04468193234768428	1.5155332191079331	0.1566313028537518	0.9233693550886061	0.7268170426065163
8	228	29	141	77	AT2	0.8260216958690108	2.3106695040297964	0.7358693945608293	0.27014349999125314	0.7406635904708663	0.11842105263157894
9	798	29	5	133	Malignant cells	0.7290593586806068	0.46805051934680497	1.3746859842978276	0.29829935239714234	0.1536357671497387	0.19172932330827067
10	412	3	0	349	tS2	1.9350328802773096	0.1996336929940145	1.6662509933047747	0.49609252573042856	0.9527094168906634	0.5995145631067961
11	399	1	0	0	Malignant cells	1.0560613688370937	0.3305586514311376	1.3225319095285815	0.5499123153955804	0.6257067731871975	0.20300751879699247
12	390	1	0	0	Malignant cells	1.136605559480496	1.127270573345769	1.639951239513536	0.4080822723302973	0.9194762177548085	0.17435897435897435
13	140	2	0	140	tS2	1.3224271876471383	0.3902975236376127	2.019939427556736	0.18256951965707005	0.6480380511010768	0.2714285714285714
14	498	14	1	493	tS1	1.5027434441698604	1.7432915063966388	1.0593801359066284	0.20864243126843776	0.2021850244517774	0.39759036144578314
15	318	2	0	317	tS2	1.8858548224722065	0.8878208953082812	2.2006425535154044	0.4016752026024091	0.6261521695933081	0.6289308176100629
16	385	1	0	0	Malignant cells	2.260327916021471	0.5708451517603614	1.6082039589425186	0.19254707305003613	0.562007233747126	0.7714285714285715
17	375	1	0	0	Malignant cells	0.000682132879892985	0.023916532241635854	0.017404208256138698	0.24310894642199998	0.8212888854421958	0.0
18	400	1	0	0	Malignant cells	2.0065067636966707	0.2618861192278564	1.9687749133196968	0.23633875906329466	0.9541461903992366	0.715
19	398	1	0	0	Malignant cells	1.6745842523760532	0.7287215114800475	1.5073457526064895	0.11208126106570379	0.4353816042032744	0.5452261306532663
20	399	14	12	387	tS1	1.082298431629525	2.474122753629808	1.0036434807574242	0.24009694897380474	0.14396825900175408	0.22807017543859648
21	397	1	0	0	Malignant cells	1.2221808121246416	2.9930543169742063	0.969962913940225	0.2930657222709923	0.16306497958250396	0.3198992443324937
22	262	1	0	0	Malignant cells	1.2079976664017176	1.3258313570626592	1.967419183199263	0.55908304013908	0.7457684291235362	0.1183206106870229
23	397	1	0	0	Malignant cells	1.2788857127016677	0.03919207150199452	1.3475583143325838	0.09478242542691635	0.3429477314162969	0.327455919395466
24	178	3	0	0	Malignant cells	0.7958814843317096	0.16272976527109126	0.7265899031656736	0.12640484587393647	0.36263776172214734	0.0898876404494382
25	399	1	0	0	Malignant cells	1.3335682719871216	0.5812202158696023	1.3166639110915297	0.37570582527124724	0.7208110993730421	0.23057644110275688
26	199	1	0	0	Malignant cells	1.8523916754890326	1.2824309336480184	1.3209798433997326	0.3930598967264046	0.6293460304647155	0.5728643216080402
27	274	2	0	274	tS2	2.1562806222125563	0.57552771464244	1.6243517432824104	0.5224356129423093	0.641056405062529	0.7591240875912408
28	394	1	0	0	Malignant cells	1.7663424586886682	0.2676903234886135	1.01594322263665	0.07275326477448102	0.5089581789319851	0.5355329949238579
29	169	1	0	0	Malignant cells	1.3509557174860374	0.33795338383411044	2.213062408385721	0.8376700799963647	0.9820457028004478	0.16568047337278108
30	201	1	0	0	Malignant cells	1.4014539379089033	0.5047429153204557	1.4437859128314265	0.4544950326695634	0.8687391135939063	0.36318407960199006
