lineage	bin	bin_lo	bin_hi	n_cells	n_samples	mean_pseudotime	mean_CLDN4	mean_barrier_keratin	mean_IFN	mean_AT2	mean_TACSTD2
Lineage1	0	0.0	0.125	2040	20	0.010826184823544997	0.8985863206287225	0.596623242271492	0.08466895154975598	3.949292468311253	0.7089033596801991
Lineage1	1	0.125	0.25	239	20	0.18554473138840122	0.8802178833773944	0.8069587986048627	0.13372609049298867	3.597864761927802	0.9934256727725392
Lineage1	2	0.25	0.375	165	17	0.31242297628940147	0.9662466450171037	0.9567895031336582	0.15969050166716614	3.130471262064847	1.1195564425352849
Lineage1	3	0.375	0.5	122	17	0.44008785185421184	1.0835775581539655	0.9558483140919702	0.20855649969182596	2.7539543054102222	1.541645414516574
Lineage1	4	0.5	0.625	100	10	0.5614093722110315	1.1150691676139832	1.0758121556043625	0.25929771591115874	2.5843334411581353	1.5908601424098014
Lineage1	5	0.625	0.75	80	14	0.6856733760360709	1.2357856296002865	1.1813627316306037	0.29330610297620296	2.4505890181909002	1.598413859307766
Lineage1	6	0.75	0.875	72	19	0.8039613784917763	1.1804463420477178	1.0545006215020463	0.28130267525222075	2.2131642733045194	1.4689440408514605
Lineage1	7	0.875	1.0	163	27	0.980191012727325	0.918205742455699	0.853608643868462	0.3310963789547499	2.19826793135858	1.0027300764812281
Lineage2	0	0.0	0.125	2354	22	0.011841040988825196	0.9072124380982317	0.627909415705629	0.09110522965651116	3.867209932773976	0.7615800863393
Lineage2	1	0.125	0.25	323	22	0.18398554792536603	1.076986216908269	0.845401503245651	0.17662182631069964	2.8546928463751686	1.2319163250111205
Lineage2	2	0.25	0.375	290	15	0.31332696834819035	1.2063574322338761	0.980060938077754	0.23001241788629673	2.5717991323991756	1.2993373238834842
Lineage2	3	0.375	0.5	701	29	0.4361056574849707	1.5063857156437916	1.2154789127930254	0.28858241064821083	1.8869882633292243	1.603713628653963
Lineage2	4	0.5	0.625	214	25	0.563728550306604	1.4469144266342449	1.0913420287526656	0.16643736417853075	1.4003842307539	1.7435900190166225
Lineage2	5	0.625	0.75	147	21	0.6828861822310395	1.3260353085946064	0.9837748420481779	0.1353658298140781	1.4165590775121097	1.6743002683937955
Lineage2	6	0.75	0.875	49	15	0.8069560128321035	1.551334640201257	1.1652791248697811	0.1717494459018866	1.4139489330807513	1.6568700135970602
Lineage2	7	0.875	1.0	366	18	0.9908595509168747	0.9015382075570321	1.4286196589035633	0.25645668992531057	0.5664565785497916	2.1854838162172037
Lineage3	0	0.0	0.125	3988	32	0.005978440803216248	1.0831475970498776	0.8061239228371202	0.14476199874761594	3.1415567933144293	1.0617901415768694
Lineage3	1	0.125	0.25	34	10	0.17646821385306616	1.6396934144637163	0.9832942749501444	0.24536412696238433	1.231425065802885	1.7574902755372666
Lineage3	2	0.25	0.375	24	10	0.30487382780361383	1.6933444514870644	0.8640475167582432	0.18196123242838147	1.1142017530898254	1.9822517434755962
Lineage3	3	0.375	0.5	17	9	0.45222822118080863	2.0047085074817432	1.0060963448064	0.15796338917772756	0.7250317766093741	1.9741791697109448
Lineage3	4	0.5	0.625	26	12	0.5695179770088887	1.952266968213595	1.0793908609984777	0.20363876648098658	0.5827904728551705	1.7394867493556097
Lineage3	5	0.625	0.75	58	12	0.690896467154023	1.7205060042183975	1.0262555419199768	0.24039766886110966	0.3494367288618252	1.50554299971153
Lineage3	6	0.75	0.875	62	13	0.8199729935483928	1.7422128838877524	1.0779858230743355	0.2403979308128784	0.38636551805401365	1.758795085453218
Lineage3	7	0.875	1.0	480	27	0.9905686314543518	1.8032444227486848	0.9456380739083721	0.2946207166741383	0.2784632306804673	1.5988593827312192
Lineage4	0	0.0	0.125	3048	27	0.015865736118860878	0.959288422966723	0.6944792777070106	0.11448117747035193	3.579891398295676	0.8754916859893348
Lineage4	1	0.125	0.25	776	26	0.19109562395280558	1.3732353069809908	1.0779696743698517	0.2926036054343156	1.9110389725301942	1.326672775190823
Lineage4	2	0.25	0.375	380	15	0.2998720591778828	1.4917664404762419	1.289627631237371	0.3340921120046408	1.3755594878996673	1.3747163727879523
Lineage4	3	0.375	0.5	196	7	0.44370080068095885	1.4154034448521478	0.9791216382465396	0.11897142404353897	0.27214416964169663	0.43311185435372956
Lineage4	4	0.5	0.625	257	4	0.5571922097955937	1.7756469342495218	1.0741735128867023	0.09879361388104023	0.29340658059534547	1.0613836140484199
Lineage4	5	0.625	0.75	113	3	0.6894713926778502	1.6138453573252247	1.216799534110017	0.2598719674469955	0.4608073970605139	0.940464278897353
Lineage4	6	0.75	0.875	287	2	0.7885974400759145	1.5095648846559824	1.4020825790048823	0.4031957618325876	0.5694839842184842	0.7819538504300633
Lineage4	7	0.875	1.0	338	1	0.9915017999381769	2.088580979045326	1.5437966666608696	0.16473495443773042	0.046363694343488124	0.9824094528541762
Lineage5	0	0.0	0.125	4590	42	0.02035594400817193	1.0437361440237831	0.8457744065388095	0.17221944988685303	2.8640986578229253	0.9495123836664333
Lineage5	1	0.125	0.25	716	24	0.17571773522177675	1.267140259269063	1.5040962379963398	0.23121026428807553	0.5351344393132674	0.9966995199757248
Lineage5	2	0.25	0.375	415	19	0.32008915195700893	1.1862473397369844	1.36666581916462	0.16174219022407324	0.14310358703794726	1.4395484105291136
Lineage5	3	0.375	0.5	126	7	0.4298469756499226	1.0556245919257876	1.1555645057251531	0.12033626594652434	0.10035894759906033	1.3130502502123516
Lineage5	4	0.5	0.625	39	2	0.5574571161754652	0.07351755637388963	0.09361100044005956	0.1432046208739394	0.026401685853289746	0.18532453439174554
Lineage5	5	0.625	0.75	32	1	0.6767666719545583	0.0	0.011377248757829268	0.16644975094607584	0.018794265886147816	0.0
Lineage5	6	0.75	0.875	17	1	0.8222978841681167	0.0	0.008513798900679045	0.20332447843613966	0.01246147354443868	0.0
Lineage5	7	0.875	1.0	236	1	0.9945939522144113	0.0010838975845757178	0.021792453276993192	0.2971052084391737	0.028520714791523197	0.0
Lineage6	0	0.0	0.125	2785	24	0.013903935367274346	0.931375575258231	0.6652164204731664	0.1046300176646261	3.7017202797039834	0.8259055878465437
Lineage6	1	0.125	0.25	589	20	0.18903706541547488	1.2296543511955766	1.0110630965588725	0.23150438581713562	2.0938451416162223	1.2806612766760517
Lineage6	2	0.25	0.375	618	21	0.3092705384378903	1.444753325197689	1.1692610163534987	0.29734781379288483	1.7363997015382737	1.2711774875141657
Lineage6	3	0.375	0.5	344	17	0.43521102654116073	1.3433687491992186	1.2295890209705445	0.2694429670004086	0.9588961789326729	0.9090999551983767
Lineage6	4	0.5	0.625	205	14	0.5594341507723046	1.2750413721654472	1.4099068612950605	0.28532192134167983	0.6088214444678004	0.8360092177623656
Lineage6	5	0.625	0.75	270	10	0.6860236074564992	1.402057546708319	1.4908710907178897	0.2955382283904752	0.5542404326943703	0.9673912631140815
Lineage6	6	0.75	0.875	254	11	0.8092814078699814	1.3290039353717968	1.644476761420568	0.4420083428503004	0.4604308774396582	1.083385519272699
Lineage6	7	0.875	1.0	555	6	0.9797289332756309	1.8090720252947765	1.9750589261049623	0.32371120391277464	0.30441278929377463	0.971736589423171
Lineage7	0	0.0	0.125	2719	23	0.012207806702039246	0.9266742553593438	0.6582778799039878	0.10286713886918308	3.7323101066099498	0.8185555422270986
Lineage7	1	0.125	0.25	510	18	0.1875009267007551	1.2054556992708467	0.9853766923149426	0.21823198834708746	2.2246890554874157	1.2670824474563787
Lineage7	2	0.25	0.375	586	22	0.31347997436214936	1.344651421284106	1.1166272394706638	0.27670680580752766	1.8108974038300116	1.2229048974888317
Lineage7	3	0.375	0.5	396	17	0.4311005594649867	1.399784170241669	1.2468283947820615	0.3022610800967228	1.2754147538557798	1.208787443737189
Lineage7	4	0.5	0.625	283	18	0.5611753376224248	1.3514455293598107	1.2697670581027674	0.2624378349008461	0.6030975866830252	0.8126216242254413
Lineage7	5	0.625	0.75	237	14	0.6884581678526096	1.3327889312923207	1.4174189348135315	0.31961184063354947	0.5122973309140837	0.9895069377834786
Lineage7	6	0.75	0.875	306	14	0.8170927897058712	1.3988543583287134	1.5806286738848636	0.3858151232570778	0.50135913549685	1.171482238115049
Lineage7	7	0.875	1.0	1070	15	0.9705672992705103	1.7932142934231001	1.695302340473016	0.5026679060852891	0.4187063333772796	1.6513584801944616
Lineage8	0	0.0	0.125	2953	27	0.013843630754851517	0.9474968241506861	0.681255526622022	0.11124806940885253	3.6233329029682526	0.8521199335173514
Lineage8	1	0.125	0.25	738	25	0.19067749526985314	1.2649460281056117	1.0629028384594792	0.25227658582519813	1.9259065867863534	1.1862528634669012
Lineage8	2	0.25	0.375	586	21	0.30195719315046526	1.474127839297158	1.2439792636777691	0.27269306572465196	1.325978798357361	1.2712540079302348
Lineage8	3	0.375	0.5	347	16	0.44065881958335196	1.4370902519061173	1.3735936234609425	0.2663649189117841	0.5615721589721933	1.012391457038929
Lineage8	4	0.5	0.625	811	13	0.5691872226595951	1.5418271257389342	1.6447221377517673	0.37042188682960153	0.5350034859412696	1.3103355215414532
Lineage8	5	0.625	0.75	471	17	0.6799246279106426	2.1084202207830556	1.694613840749984	0.39973469747786555	0.6855773513099234	1.769890556796088
Lineage8	6	0.75	0.875	148	14	0.7986310626318168	1.7927104562923715	1.4587539757291474	0.5305164412793902	1.293189262484645	1.6877669841051102
Lineage8	7	0.875	1.0	414	5	0.9860872172532315	1.26136458762314	1.5183975255047835	0.3874482830733429	1.0442771072081034	1.0663866752731628
Lineage9	0	0.0	0.125	3215	28	0.01579335945506045	0.9679811408137831	0.7085692783969249	0.12081631846152159	3.5025930774079015	0.8876872198021801
Lineage9	1	0.125	0.25	883	22	0.18424194024378673	1.3508769468839954	1.1561022831634018	0.2781401983563879	1.624506901354779	1.1859475820075345
Lineage9	2	0.25	0.375	508	20	0.3058673461729303	1.3497390789896484	1.3090406672447292	0.28680523061192165	0.7746362318590361	0.9361915752643676
Lineage9	3	0.375	0.5	612	17	0.4402593347887463	1.457281867857852	1.5290947222436955	0.3638275950967623	0.569608764298877	1.1233141343626711
Lineage9	4	0.5	0.625	503	15	0.5572261061169768	1.554193534031066	1.7758460386037196	0.4661810213507789	0.5022619451594281	1.622617579744777
Lineage9	5	0.625	0.75	416	11	0.6886281920335542	1.6692632901339004	1.9467511096049865	0.5044496140994684	0.8481265605182554	1.8856603847458386
Lineage9	6	0.75	0.875	269	9	0.8004329010242178	1.5911105849042702	2.1704129480942624	0.5882123290444067	1.0115173111867062	1.89485423532782
Lineage9	7	0.875	1.0	193	7	0.980772388559749	1.3988851231614543	2.228224903119918	0.8223435597072818	0.4325599683149491	2.446533830363516
