contrast	n	rho	p	q
CLDN4 vs Slingshot	43	0.4187556629417094	0.005193780452822231	0.006925040603762975
CLDN4 vs AT2 score	43	-0.18514044095439447	0.23460437232069967	0.273709209160571
CLDN4 vs club score	43	0.11107335682020433	0.4782668005791681	0.4782668005791681
CLDN4 vs basal score	43	0.4835397160978557	0.0010205127925767858	0.0017494505015602042
CLDN4 vs barrier/keratin (no CLDN4)	43	0.43506493506493504	0.003549956572102954	0.005324934858154431
CLDN4 vs IFN (no CLDN4)	43	0.17894895801872546	0.25090010839719007	0.273709209160571
CLDN4 vs malignant-like score	43	0.636665659921474	4.44301961906203e-06	1.777207847624812e-05
CLDN4 vs TACSTD2 (comparator)	43	0.5070975536091815	0.0005197170695495508	0.0010394341390991017
SFTPC vs Slingshot (control)	43	-0.6529846805134003	2.0747030944305128e-06	1.2448218566583076e-05
AT2 score vs Slingshot (control)	43	-0.6800060404711568	5.291727748054435e-07	6.350073297665322e-06
IFN vs Slingshot	43	0.5422832980972516	0.0001724362909138973	0.0004732459289056402
barrier/keratin vs Slingshot	43	0.5382059800664452	0.0001971858037106834	0.0004732459289056402
