a	b	dist
0	3	7.81147620203692
1	14	2.6721845113299314
1	24	4.642770800993922
2	20	5.047452163376024
4	11	4.611904540146336
4	13	4.25543679312529
5	3	47.2079603170848
3	14	2.4661803608991173
6	15	4.385205230794044
6	27	4.865982258102638
7	25	10.450557076455038
8	20	4.819784094659286
9	19	4.3200310300905755
9	23	13.122842405596922
11	19	5.090422199480877
12	26	10.127477064792139
13	18	5.259724937540455
13	27	5.0838759006460545
14	21	2.4084047551610204
15	22	5.713861778432771
16	26	3.79867846561896
16	27	2.0126932336567296
17	23	33.808922482025274
19	24	6.228907696312423
20	21	3.0211740310242816
22	29	11.62472231108848
10	27	4.369139305738549
10	30	6.2093783264868465
24	28	5.54633153244533
25	28	8.445766140209935
