Sample	Sample_Origin	n_cells	n_author_AT2	n_author_club	n_author_tumor_state	n_cldn4_low	n_cldn4_mid	n_cldn4_high	mean_CLDN4	mean_TACSTD2	mean_sling	mean_dpt	mean_AT2	mean_club	mean_basal	mean_barrier_keratin	mean_IFN	mean_malignant_like	pct_CLDN4_pos	patient_id	mean_SFTPC
BRONCHO_11	mLN	204	0	0	203	54	77	73	1.3861455220509977	0.7367414361705967	0.8615850037033068	0.05471987649798393	0.4986182659304415	0.0007197834502637776	0.028405871634901155	1.4312643073499203	0.4520812035445598	1.4971422553671143	0.803921568627451	11	0.0
BRONCHO_58	tL/B	400	0	0	370	171	174	55	0.9838601107150317	1.3939093726873397	0.5484207005274329	0.12376131117343903	1.1792068014573305	0.15623998744413256	0.0675794494850561	1.8301336801362533	0.4970600537127918	0.5376057296867173	0.7275	58	0.0
EBUS_06	tL/B	400	0	0	398	127	142	131	1.2784338043630123	1.7129846908152104	0.34608427952355386	0.05545687675476074	0.038898130965729555	0.3762621661710242	0.026625119689851998	1.3441511483925086	0.09610385878356519	0.2941702179300289	0.7175	06	0.0
EBUS_10	mLN	400	0	0	367	126	171	103	1.2918903576955199	1.149765465669334	0.5858035758268398	0.060038402676582336	0.3895367005094886	0.108727885975192	0.04250866889022291	1.5200740270502866	0.4529442219360283	0.13667755657806993	0.835	10	0.011464284248650074
EBUS_12	mLN	262	0	0	257	62	134	66	1.3447416358776676	2.30730460527289	0.8747205734127562	0.07536842674016953	0.3146453404860718	0.028481956106864166	0.16601394104792644	1.9960524449859558	0.7473745114210302	1.3815276540019585	0.8740458015267175	12	0.0
EBUS_13	mLN	381	0	0	376	381	0	0	0.0006713906298159301	0.0	0.8102762684550687	0.2228783667087555	0.023539893938617967	0.0	0.00844634457777335	0.01763116553986375	0.24537061132534818	0.07297714132805821	0.0026246719160104987	13	0.0005448981924006945
EBUS_15	mLN	263	0	0	256	163	46	54	0.7904148159031632	1.0897941379152776	0.19387053871856819	0.04983671382069588	0.31532000878256844	0.0025409654972671104	0.015257752383616487	1.5233773880500077	0.41693182913262544	0.16023650406582424	0.4600760456273764	15	0.0007943091170416133
EBUS_19	mLN	228	0	0	217	25	85	118	1.6810788799796188	1.6227580570338065	0.5807726624923454	0.05370115116238594	1.1790740877629546	1.373742508652963	0.048075234836065454	1.249694163687745	0.38450745681132525	1.1311472879276117	0.9078947368421053	19	0.259380819733467
EBUS_28	tL/B	400	0	0	384	28	66	306	2.2411963871121405	1.4292180805653334	0.563329871334468	0.10029485821723938	0.5528334647292892	0.5200356461107731	0.08209539257921278	1.6020824903932713	0.20234449717733596	0.4753499101102352	0.945	28	0.0
EBUS_49	tL/B	122	0	0	114	77	27	18	0.7470961122727785	0.6313251129916457	0.2450128215374047	0.04552850127220154	0.054080320959859866	0.17626743755542518	0.07666429742926457	1.2090742027824697	0.07121712115039662	0.061257385328167775	0.5	49	0.05830172021858028
EBUS_51	mLN	400	0	0	390	144	187	69	1.1217425397783518	1.195644579306245	0.9088564060763358	0.16313868761062622	1.1090635708657404	1.586305765248835	0.21108995646238327	1.6213616944352784	0.40498952795923854	0.9832414506251613	0.825	51	0.001458091288805008
LUNG_N01	nLung	199	145	17	0	112	65	22	0.8613431125729527	0.8439859887163843	0.19780242378735802	0.03760608658194542	3.0957929221804017	1.8144429650288731	0.028921432325139117	0.7093190946546032	0.1644005195684724	0.06838819694079745	0.7386934673366834	01	5.887922969894793
LUNG_N06	nLung	178	91	18	0	83	56	39	1.0707142567366696	1.062635786412807	0.3928348068131085	0.07435572892427444	2.299432923619667	1.212812701135539	0.010731343870584885	0.6987108032494672	0.1414651406329719	0.1343667973181728	0.6685393258426966	06	4.674219633421202
LUNG_N08	nLung	299	137	26	0	144	98	57	0.9900552311469879	1.3059482276439667	0.4675125902911653	0.06198710948228836	2.13641375836936	1.6058905893311717	0.02362573409708447	0.8077774907367816	0.16517427458641154	0.1896175053074474	0.6789297658862876	08	4.345150311056986
LUNG_N09	nLung	384	330	12	0	198	149	37	0.9422674750288328	0.998580634361133	0.12081030004767446	0.019547564908862114	3.655174626929996	0.7668573355509175	0.038954427475497745	0.7420230584102683	0.08329843526798082	0.12889509860219228	0.7838541666666666	09	6.343362948857248
