Sample	Sample_Origin	n_high	n_low	AT2_high	AT2_low	barrier_high	barrier_low	IFN_high	IFN_low	malignant_high	malignant_low	sling_high	sling_low	dpt_high	dpt_low
BRONCHO_11	mLN	73	54	0.5201292435498269	0.4055866911823368	1.5264316997979874	1.2667841197531902	0.5344455996249485	0.3396222317598974	1.7054281115327798	0.9225846262257775	0.9527209464752149	0.6081913455405279	0.055785179138183594	0.05224146321415901
BRONCHO_58	tL/B	55	171	0.9498100582848897	1.1329021742149867	1.9847004641186106	1.6326363503671528	0.4837472162563793	0.43869033675961144	0.4380982687075932	0.43290339896843916	0.568057066530184	0.34094418849364255	0.12058413028717041	0.10072647035121918
EBUS_06	tL/B	131	127	0.021257438779863087	0.029089662972397692	1.4002838251832632	1.1932183742679638	0.12185507161968806	0.05407942469525386	0.3204245115168222	0.16314023545407874	0.3497040356157245	0.30135284845997035	0.05573267862200737	0.051958370953798294
EBUS_10	mLN	103	126	0.3821769091978814	0.2922842604300333	1.717295217451347	1.298653468351673	0.4841375496105854	0.36812680874946246	0.15375156536650117	0.08726585823944005	0.6174452522239567	0.4602477235472257	0.06805466115474701	0.04832632467150688
EBUS_12	mLN	66	62	0.32696339856795587	0.2476951620912039	1.9712146986275911	1.785665431250167	0.7622078345162433	0.6229259860629536	1.1895404755316599	1.1408545387688505	0.9439253575883406	0.6080922206241522	0.06360580027103424	0.07079242914915085
EBUS_15	mLN	54	163	0.35861181989772084	0.2851787014637744	1.806817087908218	1.3905766089361138	0.50052784422134	0.3672877173719285	0.17600543465879231	0.10636059238988685	0.20627015498301754	0.18251796980761026	0.051233138889074326	0.04892744868993759
EBUS_19	mLN	118	25	1.1842721753180194	0.5608078626791637	1.3570266132805981	0.7142705925305686	0.38526321976338623	0.28813993114012254	1.2526443827539515	0.46201289931933087	0.6499491291328967	0.1494624438730238	0.052031010389328	0.03971908241510391
EBUS_28	tL/B	306	28	0.5447005698201703	0.4663769868867738	1.652757852604057	1.2960157412148656	0.20491125520126666	0.1520904113770162	0.5075992391584745	0.3070747181773185	0.574289759872354	0.4335817367339644	0.10156641155481339	0.09059075266122818
EBUS_49	tL/B	18	77	0.04233319602078862	0.0652956027876247	1.603115450038954	0.9985648151083945	0.09362533047733973	0.05414841921499224	0.15165686165844952	0.028742090319142193	0.29846818247408263	0.20582015663826575	0.04005356505513191	0.04214443266391754
EBUS_51	mLN	69	144	1.132609267165695	1.008473962407421	1.6811764988562332	1.5284221472770527	0.40653297267514277	0.36290617503701045	1.0306370192103917	0.8932998482206906	0.9574870073114919	0.7884052370288762	0.16800490021705627	0.14905568957328796
