lineage	clusters	n_clusters	n_cells_assigned	n_samples_assigned	mean_CLDN4	mean_barrier	mean_IFN	start_cluster	end_cluster
Lineage1	2>20>8	3	2981	30	0.9326215251625404	0.7050019514345089	0.12750579830386044	2	8
Lineage2	2>20>21>14>3>0	6	4444	33	1.0800652404045008	0.8653392007743771	0.15713449051303696	2	0
Lineage3	2>20>21>14>3>5	6	4689	35	1.1887791247021087	0.8305445442974182	0.16384430943760947	2	5
Lineage4	2>20>21>14>1>24>28>25>7	9	5395	32	1.2255279544551025	0.9217804560520084	0.17653855750802633	2	7
Lineage5	2>20>21>14>1>24>19>9>23>17	10	6171	42	1.0251897027722983	0.9206137627005828	0.18194845571748294	2	17
Lineage6	2>20>21>14>1>24>19>11>4>13>18	11	5620	32	1.1841040546571657	1.0318766421102616	0.20185341010862254	2	18
Lineage7	2>20>21>14>1>24>19>11>4>13>27>10>30	13	6107	33	1.231670011523626	1.0534477679239977	0.24214371070883453	2	30
Lineage8	2>20>21>14>1>24>19>11>4>13>27>16>26>12	14	6468	34	1.2561860438263484	1.0788997584154092	0.23106518984430552	2	12
Lineage9	2>20>21>14>1>24>19>11>4>13>27>6>15>22>29	15	6599	32	1.2208780299277717	1.154216499985711	0.26726220959142727	2	29
