PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.Completeness	PG.MolecularWeight	[1] 4351_WP_01.htrms.PG.NrOfStrippedSequencesIdentified	[2] 4351_WP_02.htrms.PG.NrOfStrippedSequencesIdentified	[3] 4351_WP_03.htrms.PG.NrOfStrippedSequencesIdentified	[4] 4351_WP_04.htrms.PG.NrOfStrippedSequencesIdentified	[5] 4351_WP_05.htrms.PG.NrOfStrippedSequencesIdentified	[6] 4351_WP_06.htrms.PG.NrOfStrippedSequencesIdentified	[7] 4351_WP_07.htrms.PG.NrOfStrippedSequencesIdentified	[8] 4351_WP_08.htrms.PG.NrOfStrippedSequencesIdentified	[9] 4351_WP_09.htrms.PG.NrOfStrippedSequencesIdentified	[10] 4351_WP_10.htrms.PG.NrOfStrippedSequencesIdentified	[11] 4351_WP_11.htrms.PG.NrOfStrippedSequencesIdentified	[12] 4351_WP_12.htrms.PG.NrOfStrippedSequencesIdentified	[13] 4351_WP_13.htrms.PG.NrOfStrippedSequencesIdentified	[14] 4351_WP_14.htrms.PG.NrOfStrippedSequencesIdentified	[15] 4351_WP_15.htrms.PG.NrOfStrippedSequencesIdentified	[16] 4351_WP_16.htrms.PG.NrOfStrippedSequencesIdentified	[1] 4351_WP_01.htrms.PG.Quantity	[2] 4351_WP_02.htrms.PG.Quantity	[3] 4351_WP_03.htrms.PG.Quantity	[4] 4351_WP_04.htrms.PG.Quantity	[5] 4351_WP_05.htrms.PG.Quantity	[6] 4351_WP_06.htrms.PG.Quantity	[7] 4351_WP_07.htrms.PG.Quantity	[8] 4351_WP_08.htrms.PG.Quantity	[9] 4351_WP_09.htrms.PG.Quantity	[10] 4351_WP_10.htrms.PG.Quantity	[11] 4351_WP_11.htrms.PG.Quantity	[12] 4351_WP_12.htrms.PG.Quantity	[13] 4351_WP_13.htrms.PG.Quantity	[14] 4351_WP_14.htrms.PG.Quantity	[15] 4351_WP_15.htrms.PG.Quantity	[16] 4351_WP_16.htrms.PG.Quantity	[1] 4351_WP_01.htrms.PG.IBAQ	[2] 4351_WP_02.htrms.PG.IBAQ	[3] 4351_WP_03.htrms.PG.IBAQ	[4] 4351_WP_04.htrms.PG.IBAQ	[5] 4351_WP_05.htrms.PG.IBAQ	[6] 4351_WP_06.htrms.PG.IBAQ	[7] 4351_WP_07.htrms.PG.IBAQ	[8] 4351_WP_08.htrms.PG.IBAQ	[9] 4351_WP_09.htrms.PG.IBAQ	[10] 4351_WP_10.htrms.PG.IBAQ	[11] 4351_WP_11.htrms.PG.IBAQ	[12] 4351_WP_12.htrms.PG.IBAQ	[13] 4351_WP_13.htrms.PG.IBAQ	[14] 4351_WP_14.htrms.PG.IBAQ	[15] 4351_WP_15.htrms.PG.IBAQ	[16] 4351_WP_16.htrms.PG.IBAQ
Q3UQ84	Tars2	Threonine--tRNA ligase, mitochondrial	22	100	81700.29	20	21	18	20	21	20	21	20	21	18	19	22	21	21	21	16	359871.21875	319385.46875	286810	283968.8125	324344.03125	332384.4375	334097.59375	341051.71875	302335.375	296865	283402.375	263938.0625	293087.625	286837.4375	307283.28125	232083.15625	84687.2	82857	71560.6	74202.9	108069.3	92536.2	91568.9	86062.4	83655.4	67885.3	73876.4	70597.4	80809.6	76462	86610.3	50536.6
Q3UQA7	Selenoh	Selenoprotein H	1	81.2	12973.87	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	191375.84375	123467.6875	101403.875	180681.0625	92231.5546875	75377.8046875	95358.4921875	101513.4375	156115.25	178463.109375	136178.375	148987.453125	NaN	81911.796875	NaN	NaN	31896	20577.9	16900.6	30113.5	15371.9	12563	15893.1	16918.9	26019.2	29743.9	22696.4	24831.2	NaN	13652	NaN	NaN
Q3UQN2	Fcho2	F-BAR domain only protein 2	12	100	88734.24	11	11	11	11	12	10	12	10	12	10	12	10	9	8	8	7	329028.90625	330635.5625	309281.9375	304557.28125	336495.53125	323625.0625	312204.09375	280092.65625	312423.1875	338903.03125	308264.90625	269090.4375	185688.84375	175329.875	216234.203125	186584.5	69499.7	76315.7	74554.8	69506.6	83872.3	54287.6	78748.3	61495.3	75721.6	75919.5	82398.2	57545.2	34743	38087.2	37827.1	38824.4
Q3UQU0	Brd9	Bromodomain-containing protein 9	2	100	66840.24	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	51656.4609375	67281.65625	35597.6875	30669.763671875	81518.5	111160.09375	59914.28125	75428.2578125	41217.96875	40798.57421875	58284.34765625	66789.1484375	105540.3515625	91486.2109375	67114.40625	73214.359375	3494.1	2755.5	2676.7	2542.2	5405.2	8280.4	4097.5	5646.7	2742.3	2826.4	2387	4431.1	7122.3	6114.4	4790.5	5057.3
Q3UR70	Tgfbrap1	Transforming growth factor-beta receptor-associated protein 1	5	100	97303.2	3	3	2	3	5	3	3	3	4	4	3	4	3	4	3	1	91454.3984375	106210.4609375	100349.390625	74260.8046875	111026.8671875	99725.578125	114700.0234375	72345.3515625	100821.28125	88112.65625	110751.859375	91456.21875	48435.421875	62697.875	43037.78515625	53151.12890625	7475.9	8700.4	3710.6	4658.7	9522.7	6397.3	7328.4	2717.6	8271.7	8730	7778.1	7380.9	4193.8	4920	3298.4	1263.2
Q3UR97	Snx21	Sorting nexin-21	1	25	40308.14	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49559.58984375	79213.3359375	53657.33984375	73379.46875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2608.4	4169.1	2824.1	3862.1
Q3URD3	Slmap	Sarcolemmal membrane-associated protein	12	100	96933.4	6	9	8	9	9	6	8	7	10	6	8	7	5	5	7	4	242595.203125	214493.59375	225163.09375	95713.7421875	165082.734375	129849.5390625	173123.03125	202796.4375	194076.1875	165492.625	199067.21875	167313.515625	81464.546875	136664.125	128314.3046875	79012.046875	24676.5	33345.2	61095.3	14551.1	21426.9	9868.9	22171.8	53568	25737.7	18348	23622.7	16802.5	8793.3	13757.1	14608.1	4887
Q3URE1	Acsf3	Malonate--CoA ligase ACSF3, mitochondrial	15	100	65076.69	11	11	11	10	13	11	14	12	12	11	14	11	11	11	13	10	172754.125	181137.921875	178226.25	152504.046875	252357.203125	234575.484375	258791.140625	237173	213101.0625	196212.6875	235377.046875	194335.28125	191976.921875	206460.875	185068.546875	191455.109375	50167.5	41144.3	50650.8	61174.6	69307.7	101797	73338.8	83333.5	43439.6	35497.9	94948.2	51017.3	40886.2	75277	76175.5	36347.8
Q3URQ0	Tex10	Testis-expressed protein 10	15	100	105209.26	13	13	12	13	12	11	14	14	14	12	15	13	13	13	13	14	225339.546875	220895.5	225811.171875	191162.515625	187785.71875	224879.734375	190948.9375	194051.9375	221805.34375	160537.5	221234.578125	222096.265625	209263.09375	234572.390625	224357.265625	204096.984375	52807.2	54079.8	53166.6	45687	38998.9	45960.4	46309.3	49383.9	52943.1	38993.3	53627.3	50232.8	44415.6	56020	46299.2	52239.5
Q3URQ7	Mthfsd	Methenyltetrahydrofolate synthase domain-containing protein	2	100	40788.98	2	2	2	2	2	2	2	1	1	2	2	2	1	2	2	2	36812.515625	53198.4375	57403.7109375	58692.98046875	46161.765625	81362.0390625	56850.05078125	41514.11328125	29644.701171875	58173.9296875	48745.72265625	56896.43359375	70729.484375	60624.8203125	64555.97265625	41701.6640625	3368.5	5134.3	5314	5447.7	4352.4	8564.4	5251.7	2380.4	1699.8	5741.5	4460.1	5206.2	2515.4	5578.5	5955.4	3821.8
Q3URS9	Ccdc51	Mitochondrial potassium channel	9	100	45132.49	8	9	8	9	9	7	9	9	7	6	9	8	7	9	7	7	477348.25	440199.46875	526793.1875	512570.75	664122.375	533649.75	588588.0625	507336.1875	630968.9375	743382.5625	620244.625	578769.3125	408883.5	392886.4375	234148.875	322881	58548.4	38107.6	82199.4	66429.6	89546.6	106670.7	98986.9	88062.7	92533.1	95742	99197.1	92936.1	67749.2	70768.2	73644.1	46641.5
Q3US17	Znf48	Zinc finger protein 48	2	100	64599.25	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	69822.953125	104491	51805.453125	99465.1015625	26017.251953125	78335.3203125	42238.9609375	113026.234375	81723.203125	82632.1875	95449.8046875	117994.296875	34057.67578125	64066.8515625	50547.28125	38939.7890625	4563.3	5528.2	162.1	6399.1	1147.1	4028.6	2419.3	7966	6023.6	4876.3	6259.1	8279.6	106.6	6130.2	3994	5000.9
Q3US41	Esrp1	Epithelial splicing regulatory protein 1	12	100	75549.32	10	11	10	11	11	10	10	10	8	10	11	10	2	2	1	2	87403.125	65633.4921875	63084.4375	52853.93359375	83781.546875	82517.3125	88459.0859375	92869.1796875	70367.3828125	59375.22265625	61816.96875	45426.6484375	43845.21484375	92085.8671875	58196.4453125	60813.78515625	40021	48618	54773.6	47170.9	70931.6	68793	69256.5	83575.8	54701.1	47471.2	51728	49815	1365	2535	960.6	1792
Q3USH5	Sfswap	Splicing factor, suppressor of white-apricot homolog	9	100	104190.05	6	8	5	6	5	5	6	5	6	5	4	6	6	6	4	7	188862.84375	183414.296875	234975.09375	133942.546875	148534.140625	145122.46875	165117.0625	182311.3125	163601.40625	129883.53125	155629.03125	114347.59375	127369.2421875	146216	132850.765625	140402.53125	19365.4	21994	22392.6	13185.9	14478.2	13999.5	14591.4	19159	17081.2	10455.9	14697.1	13913	11314.8	14820.2	11520.9	16301.5
Q3USZ8	Dipk2a	Divergent protein kinase domain 2A	3	75	49462.91	3	0	1	0	3	2	2	2	2	0	0	3	3	3	3	3	2620008	NaN	1042051.375	NaN	3521288	3114066.75	3884292	4122173.5	3591070	NaN	NaN	2492206.75	4273033.5	5114558.5	5731677	6522714	574347.1	NaN	913	NaN	311543.7	391836.4	440102.8	531655.6	433832.6	NaN	NaN	424234	413352.6	494088.4	546957.2	695007.8
Q3UTJ2	Sorbs2	Sorbin and SH3 domain-containing protein 2	36	100	132348.73	35	36	36	35	36	34	36	36	35	36	35	35	16	21	19	27	2497072	2263357.75	2390010.25	3476670.5	3573765.25	3456165	3526841.5	3798709.5	2515035	2610102.75	2599369.75	2542024.25	205588.328125	183219.25	206094.828125	376165.34375	597967.8	556499	583434.3	836682.1	847617.1	811680.5	865313	908335.7	637961.6	643205.1	633767.7	602914.9	30047.2	39173.4	36986.4	82720.2
Q3UU96	Cdc42bpa	Serine/threonine-protein kinase MRCK alpha	13	100	195536.18	11	11	12	10	10	10	12	8	12	12	12	10	8	9	9	9	68342.1875	69752.171875	63928.59765625	84542.4453125	60398.8515625	50554.765625	64064.69921875	56618.1953125	69382.3515625	67567.875	61545.328125	65390.75390625	55166.046875	57210.45703125	52065.84375	49639.3359375	16713.5	16074.4	13701.8	14081.3	15057.7	10977.6	15197.9	12160.7	17631.2	17063.7	15522.3	13619.3	8338	11704.4	9353	7415.1
Q3UUJ4	Strada	STE20-related kinase adapter protein alpha	6	100	48235.89	3	4	3	3	4	3	3	3	5	2	3	2	3	4	2	5	149839.484375	129540.5859375	235203.625	105208.5390625	148186.390625	127358.25	102561.9140625	97365.796875	97913.3203125	142319.53125	146924.015625	128182.9375	50964.875	80000	60968.5390625	104515.1484375	15408.6	17068.1	25419	9784.8	20379.8	14587.5	12660.9	9932.7	18545	11257.6	14173.7	10033.8	3590.4	9898.4	5596.5	12169.6
Q3UUQ7	Pgap1	GPI inositol-deacylase	19	100	104578.2	15	18	16	18	17	16	18	17	17	17	17	16	4	6	6	6	159503.875	192497.0625	208461.28125	153234.84375	227657.921875	191794.78125	172315.421875	212489.984375	237488.15625	230484.359375	307575.5	200630.53125	20134.228515625	20751.3359375	21912.779296875	25162.09765625	111495.9	98347.4	96162	65441.5	141700.1	83857.3	75671.7	130565.1	138887.7	121833	134143.9	106121.6	4404.8	6457.8	5545.6	7421.1
Q3UV16	Itpripl2	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2	9	100	58665.16	6	7	6	5	7	6	9	5	5	7	6	6	5	5	6	4	71223.9453125	85893.890625	78948.3671875	83028.2578125	100023.5546875	122822.5390625	96645.0859375	86799.2109375	90317.453125	92531.6015625	124308.9765625	96681.8125	34659.0625	48715.20703125	68458.265625	31124.591796875	9695.5	17814.1	11728.1	13304.6	18780.4	19781.2	19825.8	8374.7	11160.3	18985.7	19033.7	18812.7	3843.5	6675.8	7759.6	4589.8
Q3UV70	Pdp1	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	10	100	61180.27	8	8	8	7	9	4	7	8	7	7	7	9	6	7	8	8	85999.640625	90288.7890625	97412.7734375	53340.53125	96273.265625	90544.65625	93717.890625	84778.0859375	82973.2578125	88491.6328125	88462.5234375	62296.265625	87265.375	133175.390625	112350.296875	120647.09375	25774.8	29595.9	25247.6	19072.6	30706.3	8481.8	16805.8	15228.2	25202.8	39867.4	15311.8	14602.6	15207.7	35998.7	21708.7	39290.9
Q3UVG3	Fam91a1	Protein FAM91A1	22	100	93463.53	16	18	15	20	18	18	18	16	15	17	19	19	20	20	20	20	386247.90625	413672.09375	403904.25	313783.75	305880.34375	328340.21875	316464.46875	307431.78125	311034.90625	319417.65625	322084.28125	299987.09375	303633.34375	358566.5	342395.15625	322835.0625	89345.1	101709.8	190416.1	81009.9	82028.4	82915.3	88875.6	141008.1	85683.3	68743.6	81843.8	80160	93471.9	89424.4	88881.1	83424.2
Q3UVK0	Ermp1	Endoplasmic reticulum metallopeptidase 1	10	100	100148.28	7	8	8	7	10	7	9	9	8	9	9	7	6	6	1	5	147619.1875	131188.140625	126208.6796875	140817.65625	134593.171875	119727.328125	149430.28125	163999.46875	153389.953125	162728.03125	148985.3125	126696.546875	47357.29296875	55367.015625	65895.5078125	48255.3828125	25207.3	24097	14665.5	24471.7	25864.4	16209.1	27372.7	30544.1	24345.2	24583.6	28036	18922.5	5792.8	10951.3	1983.5	5780.5
Q3UVL4	Vps51	Vacuolar protein sorting-associated protein 51 homolog	16	100	86187.43	12	13	13	15	16	16	16	16	14	14	15	15	16	12	13	13	86638.359375	98600.078125	84468.671875	66987.3359375	92415.9140625	115265.5703125	87918.21875	90403.234375	100752.2578125	81246.1484375	99040.4765625	94678.7265625	63817.75390625	72404.84375	73575.3671875	57697.52734375	40464.6	44574.2	36631	32512.1	54669.9	64866.7	54358.1	49807.3	52716.6	48559.3	53448.3	43103.5	31968.9	26779.9	29049	23577.9
Q3UW53	Niban1	Protein Niban 1	33	100	102649.07	23	23	19	23	31	32	32	29	25	23	29	28	3	5	6	6	245839.625	250090.40625	226237.78125	287659.40625	631488.8125	654849	681643.5625	730937.4375	427277.125	480210.0625	425230.96875	465224.78125	254266.734375	319443.78125	275862.3125	263999.875	89192.9	77271.9	68746.2	126884.5	349702.7	335893.9	364823.4	393643.6	205947	186759.3	222448.1	218772.4	3621.4	45694.9	22383.8	24029.9
Q3UX61	Naa11	N-alpha-acetyltransferase 11	2	75	24670.63	0	1	2	2	0	0	2	1	2	2	0	1	1	2	2	2	NaN	237866.015625	418791.9375	178176.9375	NaN	NaN	412345.40625	358102.3125	426486.96875	439467.3125	NaN	733029.3125	467546.875	268085.15625	135780.59375	174820.375	NaN	18496.9	91597.7	37026.3	NaN	NaN	96420.9	27846.7	88915.3	82497.9	NaN	67960.9	36357.3	44949.4	22523	30199.9
Q3UY34	Custos	Protein CUSTOS	7	100	27631.07	4	5	6	7	6	6	7	7	5	6	6	6	5	5	6	6	145366.5625	137067.765625	129050.5078125	100059.8984375	101609.0703125	142340.5	121585.703125	121401.171875	135242.8125	176354.234375	125312.890625	137806.46875	65582.09375	67826.9375	87561.90625	113557.078125	87823.2	78391.9	87884.4	56043.5	67574.6	66296.3	79665.4	69423.7	82585.6	99243.7	68479.4	76836.5	31492.8	36866.6	45537.9	66540.5
Q3UYI5	Rgl3	Ral guanine nucleotide dissociation stimulator-like 3	13	100	77945.13	10	11	9	11	12	11	10	12	13	11	12	12	7	8	6	8	195374.859375	184599.234375	163034.6875	167053.09375	204492.71875	211493.078125	233830.609375	228320	203448.5	224955.671875	218478.25	210457.515625	76152.7109375	83576.09375	81207.4375	106630.046875	38868.3	60299.6	28841.9	33978.2	50881	62726.4	46586.5	88287	57697.6	68096.8	78629.2	70749.1	45874.2	13419.3	16120.4	22207
Q3UYV9	Ncbp1	Nuclear cap-binding protein subunit 1	25	100	91926.68	18	21	21	21	17	20	19	19	21	23	20	22	21	23	24	22	298196.5625	327344.53125	340593.40625	270734.78125	253276.984375	339878.5	270893.9375	290626.5	287423.46875	296641.75	301265.3125	281388.84375	445648.375	432992.84375	458681.28125	397371.3125	106076.2	89680.1	107813	91786.9	91911.9	87485.7	91684.4	91228.9	101081	101042.3	94947.5	94819.8	127767.8	141034.4	167338.8	123135.5
Q3UZ01	Rnpc3	RNA-binding region-containing protein 3	6	100	57972.06	5	4	5	5	3	3	3	5	5	5	2	5	5	5	6	5	147386.125	142331.953125	140337.25	124036.2734375	93425.9375	108691.5859375	111383.015625	117733.6953125	122828.2578125	119296.90625	102555.390625	105723.7734375	119259.859375	149429.078125	187106.453125	192872.703125	35252.7	17198.8	25775.5	15688	10343.1	11804.7	10984.5	27486.1	27829.1	22380.4	8586.9	22536.7	25088.1	20121.8	43204.2	43924.2
Q3UZ18	Ice2	Little elongation complex subunit 2	3	87.5	109879.32	1	2	2	2	1	2	2	1	1	2	0	2	2	0	1	2	49683.44921875	45351.67578125	35952.28125	23164.25	17305.900390625	24335.740234375	38137.52734375	31636.65234375	32975.5234375	36988.625	NaN	30295.1171875	37661.4765625	NaN	19616.576171875	20808.021484375	1482.1	1539.3	1301.8	732.8	516.2	726	1160.5	943.7	983.7	1481.9	NaN	1015.8	1147	NaN	86.4	1046.7
Q3UZ39	Lrrfip1	Leucine-rich repeat flightless-interacting protein 1	18	100	79249.12	16	18	18	16	17	16	18	17	18	15	17	18	18	18	15	17	1433763	1514665.375	1527117.75	1617372.75	1689028	1813552	1622932.625	1632934.125	1540888.375	1685997.375	1809609.75	1930497.25	1292222.25	1146675	1454831.375	1363189.75	485523.2	470294.9	537939.8	494037.4	518928.6	803066.7	532516.6	820672.4	595473	546587.1	777412.5	605656.2	594408.1	381259.8	462354.7	770058.5
Q3UZW7	Eef2kmt	Protein-lysine N-methyltransferase EEF2KMT	2	100	36940.32	2	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	70668.8203125	25171.9375	49363.328125	61793.33984375	60128.15625	29880.404296875	64881.86328125	66366.2890625	65514.4609375	71432.0859375	63160.609375	55615.2265625	24897.4765625	22233.248046875	40201.21484375	33061.84765625	14279.1	3615	2928.9	3666.4	3567.6	4152.9	21820.3	20532.7	15188	15621.7	10698	10179.6	1477.2	1319.2	2385.3	1961.7
Q3V009	Tmed1	Transmembrane emp24 domain-containing protein 1	3	100	25262.75	2	3	2	3	3	3	3	3	3	2	3	3	2	3	3	3	96036.78125	84891.828125	98115.953125	72601.78125	92827.96875	91128.609375	78753.3515625	94041.2890625	84631.75	88068.9296875	98919.828125	74104.8125	88022.75	97359.2421875	126254.6171875	104537.6171875	21724.9	54255	50434	24917.3	57717.1	51552	52717.6	67558.8	54907.7	17119.5	64100.5	48661.8	49420.8	63954.3	80300.1	66185.2
Q3V038	Ttc9	Tetratricopeptide repeat protein 9A	6	75	24350.73	5	6	6	6	5	5	5	5	5	6	6	5	0	0	0	0	210768.578125	230992.4375	256976.3125	242529	222181.1875	232856.734375	236602.671875	171401.09375	213845.921875	213664.921875	221364.46875	230336.703125	NaN	NaN	NaN	NaN	123678.9	129154.9	152679.8	150544.7	101352.4	119449.3	120949.3	76678	121138.4	126810.5	140682.6	121342.7	NaN	NaN	NaN	NaN
Q3V080	Znf583	Zinc finger protein 583	1	68.8	65709.41	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	NaN	NaN	84646.4921875	74943.578125	82253.4765625	63336.1484375	101160.15625	NaN	67417.7421875	81420.4453125	59198.91015625	NaN	NaN	44743.09765625	67870.25	25819.76171875	NaN	NaN	2730.5	2417.5	2653.3	2043.1	3263.2	NaN	2174.8	2626.5	1909.6	NaN	NaN	1443.3	2189.4	832.9
Q3V0C5	Usp48	Ubiquitin carboxyl-terminal hydrolase 48	8	100	120630.68	6	4	6	5	7	5	7	5	6	3	6	5	8	6	6	5	130557.625	93866.8125	109920.25	81095.8125	72813.4140625	81391.7578125	74384.21875	83865.953125	86260.7578125	68463.859375	90100.53125	95511.21875	106719.796875	120246.6796875	117956.28125	100974.6875	11075.3	5469.4	10172.5	7296.5	6945.2	7394.3	6914.5	5731.2	6767.8	3677.7	7408.5	7414.6	15639.6	11929.2	7668.7	7149.8
Q3V0J1	Tmem237	Transmembrane protein 237	1	6.2	47342.63	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	38366.921875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2019.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3V0K9	Pls1	Plastin-1	16	93.8	70407.59	14	14	12	15	15	13	15	14	13	14	14	14	3	5	6	0	65164.109375	70980.3203125	98555.0390625	88919.5546875	92433.859375	125133.640625	96017.40625	92583.78125	99969.0703125	87985.84375	102626.1171875	84483.515625	113455.953125	86687.5703125	98116.875	NaN	51829.2	46069.5	48902.3	48633.2	57895.1	62233.6	62456.5	52014.1	52416.9	49652.1	62450.4	47965	4683.6	13461	15552.4	NaN
Q3V1H1	Ckap2	Cytoskeleton-associated protein 2	10	100	74029.19	5	6	3	8	4	4	6	7	8	7	7	9	10	8	8	9	136602.3125	145594.609375	148506.71875	152703.921875	71913.5625	102665.3828125	53680.27734375	112420.6875	139895.90625	84865.53125	123843.8203125	159009.5625	240826.15625	226918.5625	242351.734375	280069.5625	12304.3	20093.8	10649.2	24373.6	8365	11580.9	7539.5	21599.9	22855.1	12471.8	16869.1	27913.1	41105.8	37359.5	40028.5	45930.2
Q3V1I0	Lyg2	Lysozyme g-like protein 2	2	75	23761.54	0	1	2	2	1	2	1	2	0	0	2	2	1	2	2	0	NaN	18843.951171875	12372.451171875	11942.9189453125	12040.2080078125	14270.255859375	6031.72216796875	14954.43359375	NaN	NaN	10723.318359375	11371.7275390625	6890.0341796875	9754.6689453125	10679.7392578125	NaN	NaN	1126.3	2002.3	2215.3	1237.3	2350.5	619.8	2481.9	NaN	NaN	1883.4	1868.7	708	1613.6	1743.3	NaN
Q3V1L4	Nt5c2	Cytosolic purine 5'-nucleotidase	33	100	64808.62	28	31	31	32	32	30	32	31	32	32	31	28	29	30	25	29	2935272.5	2903271.5	2656240.25	2904120.5	2953685.25	3288379.5	3068839.5	3307039.75	2916324.5	2921093.75	2678892	2902075.5	1139441.5	1113338	1366883.75	1299681.375	1859406.7	1822780.4	1698487.9	1625433.1	1848484.2	1820040.1	1821679.2	2011975	1708761.9	1725974.6	1588205.7	1694194.6	638050.9	677702.7	753130.3	743948
Q3V1L6	Mtmr11	Myotubularin-related protein 11	1	93.8	78396.21	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	44104.54296875	8284.3291015625	19654.404296875	25904.97265625	75050.0078125	53339.453125	40017.78515625	75531.625	49066.09765625	33567.9765625	46538.45703125	31461.3125	NaN	25409.154296875	25460.052734375	8100.8876953125	1260.1	236.7	561.6	740.1	2144.3	1524	1143.4	2158	1401.9	959.1	1329.7	898.9	NaN	726	727.4	231.5
Q3V1T4	P3h1	Prolyl 3-hydroxylase 1	2	31.2	83651.14	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64564.9375	71804.09375	116870.9453125	120062.03125	87539.6875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1851.8	4110.4	2859.3	2937.4	4489.2
Q3V1V3	Esf1	ESF1 homolog	22	100	98048.31	19	21	21	21	18	16	19	19	20	20	20	20	19	20	20	20	413983.8125	362624.90625	376858.3125	297084.46875	207016.578125	171172.3125	210649.59375	230704.828125	305693.46875	323318.25	309000.21875	313585.25	258673.625	271641.65625	263913.1875	375555.4375	235867	207604.6	192938	156571.7	114441.2	75242.1	119733	123871.2	178455.3	188184.8	174604.5	168814.9	134648.4	129336.7	134361.1	208563.3
Q3V300	Kif22	Kinesin-like protein KIF22	20	100	73189.82	18	17	14	18	12	12	14	13	15	18	16	13	20	18	19	16	168377.6875	143332.53125	161160.96875	188164.046875	74177.4453125	79403.1875	98588.296875	69901.4375	130795.7734375	126087.15625	134118.515625	118616.3828125	185167.5625	194545.5625	220546.546875	191970.609375	225737.8	216998.7	152953.2	171217.6	186700.4	2247126.5	2004961	46047.8	209198.4	1324931.9	189576.4	175884.5	206380.5	88728.7	210634.4	239828.4
Q3V384	Afg1l	AFG1-like ATPase	4	87.5	54313.22	0	2	3	2	4	3	1	3	3	2	4	2	1	2	1	0	NaN	26692.005859375	23831.265625	27720.73046875	10617.267578125	46450.30859375	80632.9140625	36653.51953125	31903.041015625	25221.76953125	60639.52734375	34827.125	25895.771484375	29260.955078125	34755.7265625	NaN	NaN	1876.8	3505	2586.3	4554.7	2999.8	1228.7	3006.8	2790.6	2721.3	5034.4	2569.4	394.6	2073	529.6	NaN
Q3V3Q7	Pacs2	Phosphofurin acidic cluster sorting protein 2	5	100	94932.12	4	5	4	4	4	4	5	5	4	4	5	4	4	5	4	3	88432.859375	72832.3125	86784.390625	63788.37109375	85355.5	83221.5546875	99603.3046875	76360.3515625	73884.8671875	92702.09375	121063.4296875	92302.8828125	38153.3828125	54235.2421875	60388.51953125	62077.234375	9316.6	8023.8	5259.1	6214.1	6242.5	7158	9934.7	8996.5	7071.1	8309.8	12556.4	9169.2	3278.5	5535.6	6190.4	7448.8
Q3V3R1	Mthfd1l	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	49	100	105728.82	39	41	41	42	48	42	44	40	44	43	42	40	41	44	42	39	613271	674192.3125	668391	753710.1875	1097135.625	1204166.375	1094631	1029163.625	891655.4375	908361.3125	917694.875	898629.5	1054518.75	1036619.8125	1085515.75	804527.75	326931.3	333734.2	322507	345644.4	549621	550997.3	526735.6	513555.7	441470.3	434266.6	455866.7	411515.9	469121.6	496203.8	521621.3	378113.5
Q3V4B5	Commd6	COMM domain-containing protein 6	3	100	9795.24	2	2	2	1	3	2	2	2	2	2	3	3	3	2	3	2	124001.390625	131173.5	75357.484375	89088.953125	65880.4140625	29448.271484375	97275.2578125	70875.2890625	87713.7421875	110115.7421875	68807.53125	101761.3203125	112964.0703125	119460.6953125	75505.53125	161148.609375	33860.3	22624	16452	13075.6	41146.4	25469.3	37392.2	18202.6	28061.8	26747.6	33529	53063.4	55310.5	39957.4	42735.3	45637.2
Q3ZK22	Vezt	Vezatin	1	62.5	87986.68	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	160661.984375	173762.328125	NaN	NaN	146874.546875	125926.28125	133304.546875	137337.984375	110149	102426.0625	161859.390625	102108.484375	NaN	NaN	NaN	NaN	4725.4	5110.7	NaN	NaN	4319.8	3703.7	3920.7	4039.4	3239.7	3012.5	4760.6	3003.2	NaN	NaN	NaN	NaN
