PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.Completeness	PG.MolecularWeight	[1] 4351_WP_01.htrms.PG.NrOfStrippedSequencesIdentified	[2] 4351_WP_02.htrms.PG.NrOfStrippedSequencesIdentified	[3] 4351_WP_03.htrms.PG.NrOfStrippedSequencesIdentified	[4] 4351_WP_04.htrms.PG.NrOfStrippedSequencesIdentified	[5] 4351_WP_05.htrms.PG.NrOfStrippedSequencesIdentified	[6] 4351_WP_06.htrms.PG.NrOfStrippedSequencesIdentified	[7] 4351_WP_07.htrms.PG.NrOfStrippedSequencesIdentified	[8] 4351_WP_08.htrms.PG.NrOfStrippedSequencesIdentified	[9] 4351_WP_09.htrms.PG.NrOfStrippedSequencesIdentified	[10] 4351_WP_10.htrms.PG.NrOfStrippedSequencesIdentified	[11] 4351_WP_11.htrms.PG.NrOfStrippedSequencesIdentified	[12] 4351_WP_12.htrms.PG.NrOfStrippedSequencesIdentified	[13] 4351_WP_13.htrms.PG.NrOfStrippedSequencesIdentified	[14] 4351_WP_14.htrms.PG.NrOfStrippedSequencesIdentified	[15] 4351_WP_15.htrms.PG.NrOfStrippedSequencesIdentified	[16] 4351_WP_16.htrms.PG.NrOfStrippedSequencesIdentified	[1] 4351_WP_01.htrms.PG.Quantity	[2] 4351_WP_02.htrms.PG.Quantity	[3] 4351_WP_03.htrms.PG.Quantity	[4] 4351_WP_04.htrms.PG.Quantity	[5] 4351_WP_05.htrms.PG.Quantity	[6] 4351_WP_06.htrms.PG.Quantity	[7] 4351_WP_07.htrms.PG.Quantity	[8] 4351_WP_08.htrms.PG.Quantity	[9] 4351_WP_09.htrms.PG.Quantity	[10] 4351_WP_10.htrms.PG.Quantity	[11] 4351_WP_11.htrms.PG.Quantity	[12] 4351_WP_12.htrms.PG.Quantity	[13] 4351_WP_13.htrms.PG.Quantity	[14] 4351_WP_14.htrms.PG.Quantity	[15] 4351_WP_15.htrms.PG.Quantity	[16] 4351_WP_16.htrms.PG.Quantity	[1] 4351_WP_01.htrms.PG.IBAQ	[2] 4351_WP_02.htrms.PG.IBAQ	[3] 4351_WP_03.htrms.PG.IBAQ	[4] 4351_WP_04.htrms.PG.IBAQ	[5] 4351_WP_05.htrms.PG.IBAQ	[6] 4351_WP_06.htrms.PG.IBAQ	[7] 4351_WP_07.htrms.PG.IBAQ	[8] 4351_WP_08.htrms.PG.IBAQ	[9] 4351_WP_09.htrms.PG.IBAQ	[10] 4351_WP_10.htrms.PG.IBAQ	[11] 4351_WP_11.htrms.PG.IBAQ	[12] 4351_WP_12.htrms.PG.IBAQ	[13] 4351_WP_13.htrms.PG.IBAQ	[14] 4351_WP_14.htrms.PG.IBAQ	[15] 4351_WP_15.htrms.PG.IBAQ	[16] 4351_WP_16.htrms.PG.IBAQ
A2A6Q5	Cdc27	Cell division cycle protein 27 homolog	10	100	91842.42	9	9	9	9	10	8	8	8	9	6	9	8	8	9	8	5	106071.796875	108972.625	122723.328125	97740.15625	63149.65625	79825.265625	58422.7734375	61355.11328125	65320.65234375	61837.390625	77404.9921875	66085.59375	65257.74609375	56582.04296875	79073.3515625	65420.4140625	21717.4	21981.7	22303.9	17451.9	14161.5	9338.8	10459.5	12190.1	11339.9	9390.7	14370.4	10868	11952.1	11394.9	11517.8	10057.7
A2A6T1	Cdr2l	Cerebellar degeneration-related protein 2-like	5	75	53212.5	4	0	0	0	2	2	4	4	3	2	1	0	5	5	5	4	148928.296875	NaN	NaN	NaN	147357.5	307992.21875	134155.953125	119920.609375	194419.6875	95323.453125	57520.8828125	NaN	341216.4375	350914.125	333359.3125	247311.109375	46491.7	NaN	NaN	NaN	12182.4	64745.4	75935.4	69944.9	61385.9	1545.6	1485.9	NaN	26438.2	44708.5	46121.2	48232.1
A2A791	Zmym4	Zinc finger MYM-type protein 4	4	100	172437.55	2	3	3	3	2	3	4	2	3	2	4	3	3	3	4	2	27291.46875	23665.3671875	28256.296875	26124.837890625	29261.103515625	24799.0625	26817.1328125	24393.248046875	31837.8125	30330.416015625	30320.67578125	32844.984375	43153.6015625	38519.38671875	44483.60546875	29090.5078125	792.2	854.6	1217	956.5	480.3	888.8	1218.3	762.4	1286.9	787.4	1388.2	1183.3	1105.3	1386.2	1935.4	753.2
A2A7S8	Kiaa1522	Uncharacterized protein KIAA1522	12	100	104842.14	10	10	11	7	6	5	8	11	8	6	9	7	8	9	9	10	128726.8984375	117334.03125	127525.9453125	103166.21875	82641.3671875	65709.625	84418.7421875	92360.1953125	68763.3515625	85052.4296875	78037.6484375	83223.453125	89091.0546875	125936.4375	102433.1640625	129098.5625	31606.7	22251.9	31393.9	18101.1	9845.2	9572.7	21355.3	21073.5	7210.2	6570.5	19720.9	10552.8	13099.4	33075	16354.3	28863.5
A2A863	Itgb4	Integrin beta-4	55	93.8	201650.47	51	53	53	51	51	49	53	50	52	51	53	53	0	8	5	3	816713.9375	832943.6875	875204.625	834790.5	824434.4375	735942.625	822747.4375	837998.1875	754897.125	778956.8125	784081.5	649189.25	NaN	227336.296875	231297.125	134007.765625	187647.6	172776.8	192811	164858.1	208305.2	178496.9	196336.2	200382.7	166622.6	144138.1	185564	121978.4	NaN	33371.9	33893.9	2657.7
A2A8L1	Chd5	Chromodomain-helicase-DNA-binding protein 5	1	56.2	222514.65	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	45791.83203125	NaN	49257.7734375	44912.56640625	NaN	NaN	25691.38671875	29174.181640625	28670.294921875	NaN	25567.8203125	NaN	15514.568359375	10094.1337890625	NaN	NaN	448.9	NaN	482.9	440.3	NaN	NaN	251.9	286	281.1	NaN	250.7	NaN	152.1	99	NaN	NaN
A2A8L5	Ptprf	Receptor-type tyrosine-protein phosphatase F	13	100	211489.31	6	4	5	4	10	7	10	9	5	8	6	3	4	10	8	12	52897.27734375	60417.48828125	85676.1171875	38126.1640625	101661.4296875	59030.3125	103027.609375	86834.84375	61114.43359375	38495.11328125	45882.1796875	39955.87890625	57054.3984375	78506.28125	74169.140625	156309.96875	1218	2450.8	10321.4	1847.6	6931.2	3927.4	15961.6	5503.5	3450.1	14232.1	2735.3	1690.1	1561.1	8974.9	6101.1	14113.1
A2A8U2	Tmem201	Transmembrane protein 201	2	93.8	72499.66	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	158959.921875	153784.125	206245.46875	144725.234375	190037.296875	156670.296875	193277.8125	208456.796875	183118.90625	209626.203125	190424.28125	144971.4375	229133.078125	NaN	322852.53125	159477.421875	5891.6	5699.8	7644.2	5364	7043.5	5806.8	7163.6	7726.2	6787	7769.5	7057.8	5373.2	8492.5	NaN	12164.8	5910.8
A2A8Z1	Osbpl9	Oxysterol-binding protein-related protein 9	18	100	83109.47	17	17	16	17	16	16	16	16	17	18	18	18	17	16	17	15	120822.015625	118880.4921875	115996.8828125	101760.7265625	140017.90625	146273.859375	135642.375	131759.921875	115401.7890625	125052.2265625	115251.5625	115622.7578125	90215.1953125	99200.6953125	99822.5	96136.7421875	97967.1	111019.7	99489.4	88483.3	121562.8	199867.6	123593.3	123402.6	97451.7	113556.9	108255.7	115192.3	76334.2	95668.3	90463.4	76332.4
A2A9C3	Szt2	KICSTOR complex protein SZT2	1	50	377627.02	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	7675.125	NaN	9831.59765625	14904.5693359375	NaN	14167.0419921875	16121.0732421875	NaN	11038.09375	NaN	13215.029296875	NaN	6649.685546875	NaN	NaN	NaN	47.1	NaN	60.3	91.4	NaN	86.9	98.9	NaN	67.7	NaN	81.1	NaN	40.8	NaN	NaN	NaN
