accession	disposition	reason	n_samples_metadata	title	geo_url	entrez_verified	pubmed
GSE110390	already_finished_elsewhere	PR 76 / 11 (21-gene IFN-γ panel; genes absent)	159	Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110390	False	29716923
GSE111414	already_finished_elsewhere	PR 36 / 115 (PBMC CD8; genes ~0)	20	KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111414	True	30765392
GSE161537	already_finished_elsewhere	PR 51 (HTG 2560-gene panel; TACSTD2/CLDN4 absent)	82	Immunologically hot phenotype is associated with response to second-line PD-1/PD-L1 inhibition in patients with advanced non-small cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161537	True	36111282;36038492
GSE162520	already_finished_elsewhere	PR 51 (HTG 2560-gene panel; TACSTD2/CLDN4 absent; ICI-naive comparator)	92	Immunologically active phenotype is associated with response to PD-1/PD-L1 inhibitors in patients with advanced non-small cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162520	True	36111282;36038492
GSE182328	already_finished_elsewhere	PR 36 (Akkermansia surrogate, not RECIST)	44	Intestinal Akkermansia muciniphila predicts clinical response to PD1 blockade in advanced non-small cell lung cancer patients [RNA-seq].	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182328	True	
GSE202417	already_finished_elsewhere	PR 115 (CD8 PBMC array)	28	Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202417	False	
GSE216297	already_finished_elsewhere	PR 115 (platelet RNA; genes filtered from public matrix)	286	Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216297	True	37270827
GSE233203	already_finished_elsewhere	PR 35 (scRNA, n=7)	7	The single-cell level molecular characteristics according to combination immunotherapy response of non-small cell lung cancer patients.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233203	False	40843133
GSE249262	already_finished_elsewhere	PR 115 (CTC)	76	Circulating tumor cell analysis from stage III lung cancer patients	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249262	False	
GSE261345	already_finished_elsewhere	PR 35 (GeoMx CTA; TACSTD2 only)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261345	False	
